序号,日期,股票,代码,买卖,操作摘要,交易结果,成交价,数量(股),成交金额(元),手续费税费滑点(元),买卖理由,本次已实现盈亏(元),本次收益率(%),交易后持股(股),持仓状态,现金变化(元),选股理由,买卖依据对照,结构比例,锚点低/高,锚点日期
15,2026-01-30,金诚信,sh.603979,卖出,"卖出金诚信(sh.603979) 3600股，成交价78.22，成交金额281,592.00元，现金+281,286.47元，本次亏损-12,609.36元，收益率-4.29%，清仓","亏损-12,609.36元 (-4.29%)",78.22,3600,281592.0,305.53,收盘条件止损；14:55收盘代理价成交,-12609.36,-4.2904,0,清仓,281286.47,,,,,
16,2026-02-02,赤峰黄金,sh.600988,卖出,"卖出赤峰黄金(sh.600988) 1700股，成交价38.55，成交金额65,535.00元，现金+65,463.89元，本次盈利+6,490.42元，收益率+11.01%，剩余5200股","盈利6,490.42元 (+11.01%)",38.55,1700,65535.0,71.11,止盈条件=volume_node_break:2026-01-29；14:55收盘代理价成交,6490.42,11.0057,5200,持有5200股,65463.89,,,,,
17,2026-02-02,赤峰黄金,sh.600988,买入,"买入赤峰黄金(sh.600988) 2300股，成交价38.55，成交金额88,665.00元，现金-88,716.87元，交易后持股7500股",建仓成本51.87元,38.55,2300,88665.0,51.87,浮盈加仓50%；上涨波段50.0%拉回支撑5%区域；共振=MA10；close_confirmed,-51.87,,7500,持有7500股,-88716.87,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+38.3%；60日强度+47.7%；120日强度+75.4%；距120日高点-10.0%；MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,0.5,26.02 / 51.07,2025-09-04 → 2026-01-29
18,2026-02-03,赤峰黄金,sh.600988,卖出,"卖出赤峰黄金(sh.600988) 1700股，成交价39.45，成交金额67,065.00元，现金+66,992.23元，本次盈利+8,018.76元，收益率+13.60%，剩余5800股","盈利8,018.76元 (+13.60%)",39.45,1700,67065.0,72.77,止盈条件=volume_node_break:2026-01-23；14:55收盘代理价成交,8018.76,13.5972,5800,持有5800股,66992.23,,,,,
19,2026-02-04,赤峰黄金,sh.600988,卖出,"卖出赤峰黄金(sh.600988) 2300股，成交价38.21，成交金额87,883.00元，现金+87,787.65元，本次亏损-929.22元，收益率-1.05%，剩余3500股",亏损-929.22元 (-1.05%),38.21,2300,87883.0,95.35,收盘条件止损；14:55收盘代理价成交,-929.22,-1.0474,3500,持有3500股,87787.65,,,,,
20,2026-02-05,赤峰黄金,sh.600988,卖出,"卖出赤峰黄金(sh.600988) 1700股，成交价36.52，成交金额62,084.00元，现金+62,016.64元，本次盈利+3,043.16元，收益率+5.16%，剩余1800股","盈利3,043.16元 (+5.16%)",36.52,1700,62084.0,67.36,止盈条件=volume_node_break:2026-02-03；14:55收盘代理价成交,3043.16,5.1602,1800,持有1800股,62016.64,,,,,
21,2026-02-06,赤峰黄金,sh.600988,卖出,"卖出赤峰黄金(sh.600988) 1800股，成交价36.7，成交金额66,060.00元，现金+65,988.32元，本次盈利+3,545.82元，收益率+5.68%，清仓","盈利3,545.82元 (+5.68%)",36.7,1800,66060.0,71.68,止盈条件=maximum_profit_half；14:55收盘代理价成交,3545.82,5.6785,0,清仓,65988.32,,,,,
22,2026-02-27,株冶集团,sh.600961,买入,"买入株冶集团(sh.600961) 12500股，成交价23.85，成交金额298,125.00元，现金-298,299.40元，交易后持股12500股",建仓成本174.40元,23.85,12500,298125.0,174.4,33未三日下行首仓；回调波段50%收盘放量向上突破；close_confirmed,-174.4,,12500,持有12500股,-298299.4,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.32倍；基本面硬条件通过且多周期强度居前；20日强度+8.3%；60日强度+52.7%；120日强度+73.3%；距120日高点-13.0%；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.32倍,MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.32倍,0.5,11.13 / 27.48,2025-07-31 → 2026-01-29
23,2026-03-03,株冶集团,sh.600961,卖出,"卖出株冶集团(sh.600961) 2500股，成交价23.41，成交金额58,525.00元，现金+58,461.47元，本次亏损-1,198.41元，收益率-2.01%，剩余10000股","亏损-1,198.41元 (-2.01%)",23.41,2500,58525.0,63.53,止盈条件=profit_floor；14:55收盘代理价成交,-1198.41,-2.0087,10000,持有10000股,58461.47,,,,,
24,2026-03-05,株冶集团,sh.600961,卖出,"卖出株冶集团(sh.600961) 10000股，成交价22.61，成交金额226,100.00元，现金+225,854.68元，本次亏损-12,784.84元，收益率-5.36%，清仓","亏损-12,784.84元 (-5.36%)",22.61,10000,226100.0,245.32,收盘条件止损；14:55收盘代理价成交,-12784.84,-5.3574,0,清仓,225854.68,,,,,
