code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,buy_close_raw,end_close_raw,raw_return,qfq_return
sh.601717,中创智领,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,15.37,100.0,100.0,74.8,88.2,67.0,88.0,79.6,83.8,"价值线=34.22, 现价/价值=0.45, 扣非EPS=2.03, akshare东方财富扣非净利润同比=6.9%, 市值=273.4亿",-0.009664948453608324,0.21023622047244106,273.3831762517656,34.22439389727171,0.4490948779439235,2.026,2.026,1.0,年报扣非EPS,,,,,低估且高质量,深度低估且高质量,83.8,低估且高质量,15.37,18.1,0.1776187378009111,0.2565971236173874
sh.603979,金诚信,B11开采专业及辅助性活动,资源金属,VALUE,基本价值线,37.11,85.0,79.4,100.0,47.1,61.8,83.4,75.0,79.2,"价值线=53.44, 现价/价值=0.69, 扣非EPS=2.54, akshare东方财富扣非净利润同比=51.6%, 市值=229.4亿",-0.0957602339181286,-0.058838447882323064,229.4203877750291,53.442296440370114,0.6943938129868095,2.54,2.54,1.0,年报扣非EPS,,,,,低估价值,深度低估,83.4,低估价值,37.11,63.2,0.7030450013473459,0.7205029447274955
sz.000333,美的集团,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,74.05,85.0,72.3,93.0,33.4,96.2,83.4,72.2,77.8,"价值线=99.57, 现价/价值=0.74, 扣非EPS=5.04, akshare东方财富扣非净利润同比=38.0%, 市值=5251.3亿",-0.025144813059505,0.02548123528597146,5251.293656547619,99.56930836134207,0.7437030669256915,5.04,5.04,1.0,年报扣非EPS,,,,,低估价值,深度低估,83.4,低估价值,74.05,82.83,0.11856853477380147,0.17999805343771547
sz.300724,捷佳伟创,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,56.71,100.0,100.0,79.9,26.2,63.6,82.9,59.6,71.3,"价值线=119.05, 现价/价值=0.48, 扣非EPS=7.37, akshare东方财富扣非净利润同比=15.5%, 市值=197.4亿",-0.08384491114701131,-0.07698567708333326,197.44536497609715,119.04679386948479,0.4763673019382041,7.37,7.37,1.0,年报扣非EPS,,,,,低估价值,深度低估,82.9,低估价值,56.71,88.44,0.5595133133486156,0.5951522038878787
sh.600866,星湖科技,C14食品制造业,消费,PE,PE低估,7.7,100.0,100.0,47.5,95.5,62.0,82.6,69.1,75.9,"PE=10.97, 低估均值=19.14, 比值=0.57, 分位=4%",0.1809815950920246,0.21069182389937113,,,,,,,,10.973479,19.144063499999998,0.5732053176693652,0.04254007398273736,低估价值,价值线内/历史低位,82.6,低估价值,7.7,5.58,-0.2753246753246753,-0.23570193504107473
sh.603236,移远通信,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,77.61,85.0,61.6,92.5,45.5,78.0,82.6,73.5,78.1,"价值线=94.77, 现价/价值=0.82, 扣非EPS=2.01, akshare东方财富扣非净利润同比=290.8%, 市值=205.5亿",-0.0702048640230023,-0.09703315881326358,205.48522015281196,94.77324506024333,0.8189020007773989,2.01,2.01,1.0,年报扣非EPS,,,,,低估价值,深度低估,82.6,低估价值,77.61,74.7,-0.037495168148434455,-0.026963999515187353
sz.000039,中集集团,C33金属制品业,资源金属,VALUE,基本价值线,7.79,100.0,100.0,70.5,48.1,63.7,82.3,63.1,72.7,"价值线=23.35, 现价/价值=0.33, 扣非EPS=0.62, akshare东方财富扣非净利润同比=132.4%, 市值=433.6亿",-0.08995327102803741,-0.037082818294190356,433.5642606451613,23.34660346325718,0.33366737959377607,0.62,0.62,1.0,年报扣非EPS,,,,,低估价值,深度低估,82.3,低估价值,7.79,11.53,0.4801026957637997,0.5118731991711829
sh.601766,中国中车,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,7.05,100.0,100.0,71.2,31.8,75.9,82.1,59.6,70.9,"价值线=20.68, 现价/价值=0.34, 扣非EPS=0.35, akshare东方财富扣非净利润同比=320.2%, 市值=2043.1亿",0.017316017316017396,-0.038199181446111896,2043.102287142857,20.6812539219362,0.34088842130225977,0.35,0.35,1.0,年报扣非EPS,,,,,低估价值,深度低估,82.1,低估价值,7.05,5.88,-0.16595744680851066,-0.12941189952684873
sh.600482,中国动力,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,21.63,100.0,100.0,76.5,27.6,62.7,82.0,58.5,70.2,"价值线=56.79, 现价/价值=0.38, 扣非EPS=0.56, akshare东方财富扣非净利润同比=600.4%, 市值=476.1亿",-0.013229927007299414,-0.12108898821617231,476.0921345273249,56.79080600433402,0.3808715093487015,0.56,0.56,1.0,年报扣非EPS,,,,,低估价值,深度低估,82.0,低估价值,21.63,35.98,0.6634304207119741,0.684759475674007
sz.002396,星网锐捷,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,19.85,100.0,100.0,70.4,53.2,53.6,81.8,63.4,72.6,"价值线=562.62, 现价/价值=0.04, 扣非EPS=0.62, akshare东方财富扣非净利润同比=8829.0%, 市值=115.3亿",-0.01243781094527363,0.011722731906218087,115.3251258762271,562.6199692159504,0.03528136412872501,0.6173,0.6173,1.0,年报扣非EPS,,,,,低估价值,深度低估,81.8,低估价值,19.85,31.41,0.582367758186398,0.6029707411220395
