code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,buy_close_raw,end_close_raw,raw_return,qfq_return
sh.601900,南方传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,17.61,91.8,91.8,89.2,84.6,50.6,86.2,81.9,84.1,"价值线=28.98, 现价/价值=0.61, 市值=155.0亿",0.10754716981132062,0.04759071980963725,155.0445652173913,28.983196790123458,0.6075934317225118,,,,,低估且高质量,深度低估且高质量,84.1,低估且高质量,17.61,12.59,-0.28506530380465644,-0.25787225912345824
sh.601717,中创智领,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,15.37,100.0,100.0,74.8,88.2,67.0,88.0,79.6,83.8,"价值线=34.22, 现价/价值=0.45, 市值=273.4亿",-0.009664948453608324,0.21023622047244106,273.3525316455696,34.224627587188614,0.4490918114695129,,,,,低估且高质量,深度低估且高质量,83.8,低估且高质量,15.37,18.93,0.23162003903708528,0.3142200856396209
sh.603979,金诚信,B11开采专业及辅助性活动,资源金属,VALUE,基本价值线,37.11,85.0,79.6,100.0,47.1,61.8,83.4,75.0,79.2,"价值线=53.56, 现价/价值=0.69, 市值=228.7亿",-0.0957602339181286,-0.058838447882323064,228.72466926070038,53.55665681818182,0.6929110628765315,,,,,低估价值,深度低估,83.4,低估价值,37.11,69.52,0.8733495014820802,0.8925532392002449
sh.600866,星湖科技,C14食品制造业,消费,PE,PE低估,7.7,100.0,100.0,47.5,95.5,62.0,82.6,69.1,75.9,"PE=10.97, 低估均值=19.14, 比值=0.57, 分位=4%",0.1809815950920246,0.21069182389937113,,,,10.973479,19.144063499999998,0.5732053176693652,0.04254007398273736,低估价值,价值线内/历史低位,82.6,低估价值,7.7,5.92,-0.23116883116883125,-0.18913180205074598
sh.601766,中国中车,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,7.05,100.0,100.0,71.3,31.8,75.9,82.2,59.6,70.9,"价值线=13.01, 现价/价值=0.54, 市值=2031.1亿",0.017316017316017396,-0.038199181446111896,2031.0558139534883,13.01147562156926,0.5418293977597084,,,,,低估价值,深度低估,82.2,低估价值,7.05,6.07,-0.13900709219858154,-0.10128065138230813
sh.601336,新华保险,J68保险业,金融,PE,PE低估,48.6,99.4,99.4,55.5,52.3,78.9,81.7,60.1,70.9,"PE=5.58, 低估均值=9.20, 比值=0.61, 分位=0%",-0.06735751295336789,0.03602643359624813,,,,5.580256,9.1956168,0.606838684274012,0.0008163265306122449,低估价值,价值线内/历史低位,81.7,低估价值,48.6,64.05,0.3179012345679011,0.37226773780422895
sh.600741,华域汽车,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,17.76,100.0,100.0,67.2,56.7,57.2,81.5,63.6,72.6,"价值线=39.57, 现价/价值=0.45, 市值=560.0亿",-0.011686143572620877,0.08094948265368229,560.0331138287867,39.56968835859188,0.4488284021611133,,,,,低估价值,深度低估,81.5,低估价值,17.76,18.04,0.015765765765765716,0.060886321923493636
sh.600323,瀚蓝环境,N77生态保护和环境治理业,N77生态保护和环境治理业,VALUE,基本价值线,23.28,94.2,94.2,78.3,54.0,50.5,81.1,66.4,73.7,"价值线=39.43, 现价/价值=0.59, 市值=189.9亿",-0.035225859925403946,0.044883303411131115,189.89176470588234,39.431875000000005,0.5903853164476708,,,,,低估价值,深度低估,81.1,低估价值,23.28,30.97,0.3303264604810996,0.38763003020859355
sh.600031,三一重工,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,19.68,75.0,38.6,78.3,91.0,82.3,78.3,83.1,80.7,"价值线=20.08, 现价/价值=0.98, 市值=1665.4亿",0.016528925619834656,0.24478178368121428,1665.445865302643,20.083383394358627,0.9799145698492249,,,,,低估且高质量,低估且高质量,80.7,低估且高质量,19.68,21.39,0.08689024390243905,0.123970014686962
sh.600487,亨通光电,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,15.77,91.8,91.8,78.9,32.9,72.1,80.1,62.4,71.2,"价值线=25.96, 现价/价值=0.61, 市值=383.0亿",-0.044242424242424305,0.030718954248365904,383.045,25.960206890574213,0.6074681941662747,,,,,低估价值,深度低估,80.1,低估价值,15.77,75.43,3.783132530120483,3.8560855026264393
sh.603833,欧派家居,C21家具制造业,C21家具制造业,VALUE,基本价值线,66.4,85.8,85.8,92.5,37.4,52.5,79.6,66.9,73.3,"价值线=102.24, 现价/价值=0.65, 市值=402.3亿",0.06718097074895546,0.03555832813474735,402.2694638694639,102.23655415159675,0.649474158739171,,,,,低估价值,深度低估,79.6,低估价值,66.4,47.52,-0.28433734939759037,-0.2361074665106747
sh.601098,中南传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,14.14,86.4,86.4,84.0,55.5,53.5,79.3,69.6,74.4,"价值线=21.91, 现价/价值=0.65, 市值=255.3亿",-0.014634146341463317,0.05917602996254678,255.2642105263158,21.91039443148688,0.6453557942197408,,,,,低估价值,深度低估,79.3,低估价值,14.14,11.6,-0.17963224893917973,-0.1448659176887328
sh.603799,华友钴业,C32有色金属冶炼和压延加工业,资源金属,PB,PB低估,34.46,96.7,96.7,45.0,61.7,81.7,78.8,59.0,68.9,"PB=1.59, 低估均值=3.43, 比值=0.46, 分位=10%",0.015022091310751051,0.1618341200269724,,,,1.585617,3.426135333333333,0.4628004575806794,0.10244897959183673,低估价值,价值线内/历史低位,78.8,低估价值,34.46,62.8,0.8224027858386533,0.8491545040487263
sh.603129,春风动力,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,167.5,75.0,51.4,100.0,45.0,66.0,78.6,74.4,76.5,"价值线=188.09, 现价/价值=0.89, 市值=253.1亿",-0.12441191845269217,-0.14836282285946722,253.14168377823407,188.09390402173915,0.8905126451128422,,,,,低估价值,价值线内/历史低位,78.6,低估价值,167.5,263.58,0.5736119402985074,0.6080055714666066
