code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,raw_return,qfq_return
sz.002532,天山铝业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,7.58,100.0,100.0,76.6,45.0,67.7,88.6,30.3,45.3,"Q1价值线=19.68, 现价/价值=0.39, akshare东方财富扣非净利润同比=47.1%, 市值=351.2亿",-0.14253393665158365,-0.155902004454343,351.175644020228,19.67692395933441,0.3852228130608886,0.93,0.93,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,88.6,价值线左侧确认,0.4714054718037,7.58,14.82,7.13881368,14.82,0.9551451187335092,1.0759751779934392
sz.002299,圣农发展,C13农副食品加工业,消费,VALUE,基本价值线,15.91,100.0,100.0,76.5,60.2,64.8,88.3,70.2,77.8,"Q1价值线=36.51, 现价/价值=0.44, akshare东方财富扣非净利润同比=399.6%, 市值=196.2亿",0.037834311806914656,0.11336599020293914,196.16701999621696,36.51221949488671,0.43574453210734254,0.5604,0.5604,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,88.3,价值线左侧确认,3.9956662954319597,15.91,17.74,15.4159945,17.74,0.11502199874292884,0.1507528755280756
sz.002353,杰瑞股份,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,31.38,91.8,91.8,87.4,25.0,64.0,87.4,62.3,71.6,"Q1价值线=51.63, 现价/价值=0.61, akshare东方财富扣非净利润同比=28.4%, 市值=318.1亿",-0.14589003810560708,-0.19373072970195282,318.055340025524,51.63319760278908,0.6077485311176029,2.37,2.37,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,87.4,价值线左侧确认,0.28368579474667,31.38,139.15,30.65741274,139.15,3.4343530911408546,3.538869642396314
sz.002487,大金重工,C33金属制品业,资源金属,VALUE,基本价值线,27.9,97.3,97.3,72.0,100.0,65.6,85.3,82.1,84.5,"Q1价值线=49.06, 现价/价值=0.57, akshare东方财富扣非净利润同比=448.5%, 市值=177.6亿",0.18824531516183973,0.4307692307692308,177.6356653028823,49.060487506684076,0.5686857472869356,0.68,0.68,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,85.3,价值线左侧确认,4.4847272408631,27.9,78.93,27.7478892,78.93,1.8290322580645166,1.844540693927811
sz.002396,星网锐捷,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,19.85,100.0,100.0,70.4,53.2,53.6,85.0,63.4,72.6,"Q1价值线=562.62, 现价/价值=0.04, akshare东方财富扣非净利润同比=8829.0%, 市值=115.3亿",-0.01243781094527363,0.011722731906218087,115.3251258762271,562.6199692159504,0.03528136412872501,0.6173,0.6173,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,85.0,价值线左侧确认,88.2904963792795,19.85,31.41,19.59486795,31.41,0.582367758186398,0.6029707411220395
sz.002311,海大集团,C13农副食品加工业,消费,VALUE,基本价值线,54.38,75.0,50.8,92.5,86.9,74.3,81.4,86.9,84.1,"价值线=60.78, 现价/价值=0.89, 扣非EPS=2.73, akshare东方财富扣非净利润同比=68.6%, 市值=904.2亿",0.08586261980830678,0.10979591836734692,904.1550951366771,60.776992382525435,0.8947464800123164,2.73,2.73,1.0,年报扣非EPS,,,,,低估且高质量,低估且高质量,84.1,低估且高质量,,54.38,46.37,53.19658244,46.37,-0.14729680029422587,-0.12832746253388838
sz.002594,比亚迪,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,359.96,0.0,0.0,100.0,66.7,100.0,46.7,83.3,65.0,"价值线=210.26, 现价/价值=1.71, 扣非EPS=6.36, akshare东方财富扣非净利润同比=117.8%, 市值=10473.9亿",-0.001497919556172067,0.2728429985855727,10473.926046042485,210.26021672033738,1.7119738846211459,6.355,12.71,2.0,年报扣非EPS送转可比口径(原始12.71/月度加权2.0000),,,,,高质量趋势,估值有约束的高质量,83.3,高质量趋势,,359.96,94.51,118.57334372,94.51,-0.737443049227692,-0.20294058483180977
sz.002683,广东宏大,B11开采专业及辅助性活动,B11开采专业及辅助性活动,VALUE,基本价值线,30.56,8.9,8.9,90.3,87.8,55.7,45.9,80.2,63.0,"价值线=25.73, 现价/价值=1.19, 扣非EPS=1.11, akshare东方财富扣非净利润同比=53.2%, 市值=232.2亿",0.03208375548801068,0.16908951798010707,232.198125820284,25.733575890705147,1.1875535731914404,1.1126,1.1126,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,80.2,高质量趋势,,30.56,37.36,29.60689472,37.36,0.2225130890052356,0.2618682355351045
sz.002705,新宝股份,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,14.04,100.0,100.0,68.0,46.9,42.7,79.4,58.4,68.9,"价值线=25.66, 现价/价值=0.55, 扣非EPS=1.33, akshare东方财富扣非净利润同比=15.3%, 市值=114.6亿",-0.1370620774431469,-0.06149732620320869,114.56217502496501,25.663922221944603,0.5470714834069569,1.3289,1.3289,1.0,年报扣非EPS,,,,,低估价值,深度低估,79.4,低估价值,,14.04,13.26,13.46507604,13.26,-0.05555555555555547,-0.01523021774186728
sz.002595,豪迈科技,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,57.19,0.0,0.0,90.5,83.9,50.7,40.6,77.7,59.1,"价值线=44.74, 现价/价值=1.28, 扣非EPS=2.37, akshare东方财富扣非净利润同比=33.7%, 市值=454.6亿",-0.060611038107753035,0.1623983739837398,454.642396559962,44.73582710063503,1.2783937105119083,2.3732,2.3732,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,77.7,高质量趋势,,57.19,57.35,38.7193457,57.35,0.0027976919041792225,0.48117172341577064
