code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,raw_return,qfq_return,buy_trade_date,end_trade_date
sz.000968,蓝焰控股,B07石油和天然气开采业,B07石油和天然气开采业,PB,PB低估,6.35,96.8,96.8,20.0,33.2,28.2,64.4,29.7,47.0,"PB=1.00, 低估均值=1.57, 比值=0.64, 分位=3%",-0.0275650842266463,0.0241935483870967,,,,,,,,1.003123,1.574266222222222,0.637200357753976,0.0257918552036199,低估价值,价值线内/历史低位,64.4,低估价值,,6.35,8.6,6.32357765,8.6,0.35433070866141736,0.3599896254930941,2025-05-06,2026-05-18
sz.001979,招商蛇口,K70房地产业,K70房地产业,PB,PB低估,9.16,100.0,100.0,6.2,4.8,73.7,64.4,20.5,42.5,"PB=0.84, 低估均值=1.53, 比值=0.55, 分位=4%",-0.0192719486081369,-0.0507772020725388,,,,,,,,0.835101,1.5283137777777778,0.5464198596797749,0.0414462081128747,低估价值,价值线内/历史低位,64.4,低估价值,,9.16,8.7,8.9635638,8.7,-0.05021834061135377,-0.029403907405668228,2025-05-06,2026-05-18
sh.600998,九州通,F51批发业,F51批发业,PE,PE低估,5.26,87.7,87.7,29.8,36.9,48.1,64.2,37.9,51.0,"PE=9.02, 低估均值=12.60, 比值=0.72, 分位=9%",0.0333988212180746,0.0499001996007983,,,,,,,,9.022875,12.59979788888889,0.7161126773276901,0.0857142857142857,低估价值,价值线内/历史低位,64.2,低估价值,,5.26,4.87,5.06225556,4.87,-0.07414448669201512,-0.037978240671831975,2025-05-06,2026-05-18
sh.601619,嘉泽新能,D44电力、热力生产和供应业,D44电力、热力生产和供应业,PB,PB低估,3.76,80.2,80.2,24.5,86.5,53.4,64.2,53.3,58.8,"PB=1.33, 低估均值=1.76, 比值=0.75, 分位=15%",0.0473537604456824,0.1325301204819278,,,,,,,,1.327242,1.7605765555555557,0.7538678143883295,0.1513227513227513,低估价值,价值线内/历史低位,64.2,低估价值,,3.76,5.69,3.6042608,5.69,0.5132978723404258,0.5786870916777167,2025-05-06,2026-05-18
sh.603558,健盛集团,C18纺织服装、服饰业,C18纺织服装、服饰业,PE,PE低估,8.76,79.4,79.4,69.2,0.0,32.5,64.2,40.0,52.1,"PE=10.22, 低估均值=12.20, 比值=0.84, 分位=1%",-0.124,-0.1805425631431244,,,,,,,,10.216741,12.20056585714286,0.8373989468708599,0.0144993203443588,低估价值,价值线内/历史低位,64.2,低估价值,,8.76,12.45,8.04409776,12.45,0.4212328767123288,0.5477186343891474,2025-05-06,2026-05-18
sz.002460,赣锋锂业,C32有色金属冶炼和压延加工业,资源金属,PB,PB低估,30.72,99.6,99.6,0.0,26.5,67.9,64.2,24.5,44.3,"PB=1.50, 低估均值=4.98, 比值=0.30, 分位=6%",-0.0948733058338243,-0.069090909090909,,,,,,,,1.496732,4.983698166666667,0.3003255714824088,0.056734693877551,低估价值,价值线内/历史低位,64.2,低估价值,,30.72,79.38,30.58430976,79.38,1.583984375,1.5954484708959473,2025-05-06,2026-05-18
sz.000498,山东路桥,E48土木工程建筑业,E48土木工程建筑业,PB,PB低估,5.66,87.9,87.9,45.8,6.9,36.3,64.1,32.8,48.5,"PB=0.58, 低估均值=0.79, 比值=0.74, 分位=2%",-0.0471380471380471,0.0125223613595706,,,,,,,,0.583862,0.790004125,0.7390619637587336,0.0159183673469387,低估价值,价值线内/历史低位,64.1,低估价值,,5.66,5.31,5.47269362,5.31,-0.0618374558303888,-0.029728252903732044,2025-05-06,2026-05-18
sz.000708,中信特钢,C31黑色金属冶炼和压延加工业,资源金属,PB,PB低估,11.82,75.0,56.9,49.9,52.3,51.7,64.1,52.3,58.2,"PB=1.42, 低估均值=1.49, 比值=0.96, 分位=24%",-0.0596658711217183,0.0305143853530949,,,,,,,,1.422365,1.4868324999999998,0.95664104732712,0.2420408163265306,低估价值,价值线内/历史低位,64.1,低估价值,,11.82,14.62,11.15232366,14.62,0.2368866328257191,0.310937562943721,2025-05-06,2026-05-18
sz.300568,星源材质,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,PB,PB低估,9.46,99.7,99.7,3.5,28.1,55.4,64.1,24.7,44.4,"PB=1.28, 低估均值=2.80, 比值=0.46, 分位=5%",-0.0851063829787233,-0.0376398779247201,,,,,,,,1.283821,2.800342285714286,0.4584514566484627,0.0543052837573385,低估价值,价值线内/历史低位,64.1,低估价值,,9.46,16.58,9.41395818,16.57000226,0.7526427061310779,0.7601525249180572,2025-05-06,2026-05-18
sh.600420,国药现代,C27医药制造业,医药医疗,PE,PE低估,10.31,76.0,76.0,59.5,26.5,46.3,64.0,46.8,55.4,"PE=12.41, 低估均值=14.17, 比值=0.88, 分位=1%",-0.0400372439478584,-0.1180496150556029,,,,,,,,12.414926,14.165169777777775,0.8764403247376852,0.0065306122448979,低估价值,价值线内/历史低位,64.0,低估价值,,10.31,9.13,10.03384665,9.13,-0.11445198836081472,-0.09007977513788279,2025-05-06,2026-05-18
