source,scale,bucket_set,score_floor,top_n,ptv_cap,count,mean_return,median_return,win_rate,min_return,max_return,names,codes
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=8|ptv<=none,strict_all,50,8,none,8,0.09042136910101592,0.013469085678905653,0.5,-0.3776825353147141,0.8018939113947166,赤峰黄金、新华保险、中国人寿、紫金矿业、恒玄科技、中远海控、佐力药业、东鹏饮料,"sh.600988,sh.601336,sh.601628,sh.601899,sh.688608,sh.601919,sz.300181,sh.605499"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=8|ptv<=0.6,strict_all,50,8,0.6,8,0.28230766651600075,0.07785925869369255,0.875,-0.1107120108227717,1.2202243389304015,大博医疗、威孚高科、中国船舶、通富微电、海油发展、华域汽车、龙净环保、长江传媒,"sz.002901,sz.000581,sh.600150,sz.002156,sh.600968,sh.600741,sh.600388,sh.600757"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=8|ptv<=0.75,strict_all,50,8,0.75,8,0.2767361375369129,0.07785925869369255,0.875,-0.155284242655475,1.2202243389304015,大博医疗、博俊科技、威孚高科、中国船舶、通富微电、海油发展、华域汽车、龙净环保,"sz.002901,sz.300926,sz.000581,sh.600150,sz.002156,sh.600968,sh.600741,sh.600388"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=8|ptv<=0.85,strict_all,50,8,0.85,8,0.15994027930649515,0.07785925869369255,0.75,-0.4358672764941408,1.2202243389304015,大博医疗、博俊科技、匠心家居、威孚高科、中国船舶、通富微电、嘉益股份、海油发展,"sz.002901,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156,sz.301004,sh.600968"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=8|ptv<=1.0,strict_all,50,8,1.0,8,0.2026879502651672,0.09508003554825449,0.75,-0.155284242655475,1.2202243389304015,大博医疗、海大集团、博俊科技、匠心家居、威孚高科、中国船舶、通富微电、隆鑫通用,"sz.002901,sz.002311,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156,sh.603766"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=8|ptv<=1.1,strict_all,50,8,1.1,8,0.2026879502651672,0.09508003554825449,0.75,-0.155284242655475,1.2202243389304015,大博医疗、海大集团、博俊科技、匠心家居、威孚高科、中国船舶、通富微电、隆鑫通用,"sz.002901,sz.002311,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156,sh.603766"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=8|ptv<=1.25,strict_all,50,8,1.25,8,0.1377272005065592,0.04562448346343505,0.625,-0.3776825353147141,1.2202243389304015,恒玄科技、大博医疗、海大集团、博俊科技、匠心家居、威孚高科、中国船舶、通富微电,"sh.688608,sz.002901,sz.002311,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=8|ptv<=1.45,strict_all,50,8,1.45,8,0.1377272005065592,0.04562448346343505,0.625,-0.3776825353147141,1.2202243389304015,恒玄科技、大博医疗、海大集团、博俊科技、匠心家居、威孚高科、中国船舶、通富微电,"sh.688608,sz.002901,sz.002311,sz.300926,sz.301061,sz.000581,sh.600150,sz.002156"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=10|ptv<=none,strict_all,50,10,none,10,0.1439473221501261,0.14667792830945556,0.6,-0.3776825353147141,0.8018939113947166,赤峰黄金、新华保险、中国人寿、紫金矿业、恒玄科技、中远海控、佐力药业、东鹏饮料,"sh.600988,sh.601336,sh.601628,sh.601899,sh.688608,sh.601919,sz.300181,sh.605499"
q1_backtest_2025-05-06_2026-05-18_001251_returns_fixed.csv,strict_all|score>=50|top=10|ptv<=0.6,strict_all,50,10,0.6,10,0.19610642679951043,0.04562448346343505,0.7,-0.2172589818478142,1.2202243389304015,大博医疗、威孚高科、中国船舶、通富微电、海油发展、华域汽车、龙净环保、长江传媒,"sz.002901,sz.000581,sh.600150,sz.002156,sh.600968,sh.600741,sh.600388,sh.600757"
