code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,raw_return,qfq_return
sh.600584,长电科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,34.32,45.5,45.5,76.5,27.1,81.5,0.0,0.0,0.0,"Q1价值线=30.96, 现价/价值=1.11, akshare东方财富扣非净利润同比=79.3%, 市值=617.6亿",-0.025830258302582898,-0.13311442283404906,617.6104547862419,30.95649911533447,1.108652495624074,0.86,0.86,1.0,年报扣非EPS,,,,,财报后主线候选,价值线附近/业绩强,76.7,财报后主线候选,0.79264458811645,,,,
sh.601567,三星电气,C40仪器仪表制造业,C40仪器仪表制造业,VALUE,基本价值线,25.32,75.0,49.6,84.0,0.0,59.8,76.6,50.5,59.6,"Q1价值线=28.05, 现价/价值=0.90, akshare东方财富扣非净利润同比=22.6%, 市值=357.4亿",-0.14890756302521002,-0.12689655172413794,357.35264305985385,28.052460770578293,0.9025946139654127,1.56,1.56,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,76.6,价值线左侧确认,0.22622543647207,,,,
sh.600312,平高电气,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,16.75,75.0,55.3,80.8,29.5,64.4,76.0,60.1,65.6,"Q1价值线=19.41, 现价/价值=0.86, akshare东方财富扣非净利润同比=56.2%, 市值=227.3亿",-0.04667046101309047,-0.03513824884792627,227.29551686182498,19.414419030535498,0.862760815744997,0.7315,0.7315,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,76.0,价值线左侧确认,0.5622998738784,,,,
sh.601155,新城控股,K70房地产业,K70房地产业,PB,PB低估,13.29,94.1,94.1,35.0,91.1,59.7,75.6,61.3,68.4,"PB=0.49, 低估均值=1.77, 比值=0.28, 分位=14%",0.07524271844660202,0.20271493212669678,,,,,,,,0.49004,1.7711121666666667,0.27668490410874597,0.1426071741032371,低估价值,价值线内/历史低位,75.6,低估价值,,,,,
sh.603298,杭叉集团,C34通用设备制造业,C34通用设备制造业,VALUE,基本价值线,19.52,85.0,66.2,77.6,51.0,47.1,75.6,64.1,69.8,"价值线=24.82, 现价/价值=0.79, 扣非EPS=1.50, akshare东方财富扣非净利润同比=11.6%, 市值=255.7亿",-0.09124767225325892,0.020386826973340266,255.6945238207786,24.815759326747752,0.7865969258881512,1.5,1.5,1.0,年报扣非EPS,,,,,低估价值,深度低估,75.6,低估价值,,,,,
sh.601319,中国人保,J68保险业,金融,PE,PE低估,7.26,91.9,91.9,47.7,62.1,66.7,75.4,57.8,66.6,"PE=6.87, 低估均值=9.91, 比值=0.69, 分位=0%",0.03862660944205998,0.05065123010130246,,,,,,,,6.866991,9.905331749999998,0.6932620908936241,0.004469987228607918,低估价值,价值线内/历史低位,75.4,低估价值,,,,,
sh.601808,中海油服,B11开采专业及辅助性活动,B11开采专业及辅助性活动,VALUE,基本价值线,13.46,79.1,79.1,77.4,28.1,48.4,75.4,56.2,64.8,"Q1价值线=19.33, 现价/价值=0.70, akshare东方财富扣非净利润同比=46.4%, 市值=639.2亿",-0.04471256210078067,-0.06527777777777777,639.1520588235294,19.327238204800153,0.6964264556255662,0.68,0.68,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,75.4,价值线左侧确认,0.46438920237914,,,,
sh.601919,中远海控,G55水上运输业,G55水上运输业,PB,PB低估,14.56,93.6,93.6,48.5,34.7,83.1,75.4,51.1,63.2,"PB=0.93, 低估均值=1.95, 比值=0.48, 分位=15%",-0.0020562028786840214,0.03335699077359844,,,,,,,,0.932384,1.9497817499999999,0.4781991625472954,0.1510204081632653,低估价值,价值线内/历史低位,75.4,低估价值,,,,,
sh.601138,工业富联,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,18.81,75.0,53.3,71.4,27.8,90.2,75.3,59.2,64.9,"Q1价值线=21.46, 现价/价值=0.88, akshare东方财富扣非净利润同比=14.8%, 市值=3732.3亿",-0.05950000000000011,-0.05950000000000011,3732.3273844067794,21.45611960666216,0.8766729653277783,1.18,1.18,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,75.3,价值线左侧确认,0.1476458931112,,,,
sh.600216,浙江医药,C27医药制造业,医药医疗,PE,PE低估,13.47,100.0,100.0,45.0,28.0,57.9,74.8,43.7,59.3,"PE=8.87, 低估均值=14.81, 比值=0.60, 分位=0%",-0.0022222222222221255,-0.10199999999999998,,,,,,,,8.872422,14.809385777777777,0.5991080341301874,0.0012244897959183673,低估价值,价值线内/历史低位,74.8,低估价值,,,,,
sh.600731,湖南海利,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,PB,PB低估,6.68,94.8,94.8,38.0,85.4,43.2,74.5,58.2,66.4,"PB=1.16, 低估均值=1.90, 比值=0.61, 分位=12%",0.02297090352220521,0.1283783783783783,,,,,,,,1.160339,1.9019435999999998,0.6100806564400754,0.11795918367346939,低估价值,价值线内/历史低位,74.5,低估价值,,,,,
sh.600143,金发科技,C29橡胶和塑料制品业,资源金属,VALUE,基本价值线,11.11,85.0,63.6,61.4,57.6,68.8,73.6,62.3,67.9,"价值线=13.80, 现价/价值=0.81, 扣非EPS=0.26, akshare东方财富扣非净利润同比=168.6%, 市值=293.6亿",0.004520795660036159,0.08602150537634401,293.5711853944657,13.79912927375036,0.8051232639101509,0.2555,0.2555,1.0,年报扣非EPS,,,,,低估价值,深度低估,73.6,低估价值,,,,,
sh.603596,伯特利,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,60.01,0.0,0.0,93.4,62.2,64.9,40.7,73.5,57.1,"价值线=36.75, 现价/价值=1.63, 扣非EPS=1.84, akshare东方财富扣非净利润同比=38.6%, 市值=363.1亿",-0.015583989501312345,0.19351630867143976,363.080013957219,36.75294943561484,1.6327941273156243,1.84,1.84,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,73.5,高质量趋势,,,,,
sh.603529,爱玛科技,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,43.97,16.3,16.3,81.7,78.7,53.1,45.9,73.1,59.5,"价值线=38.71, 现价/价值=1.14, 扣非EPS=2.13, akshare东方财富扣非净利润同比=31.6%, 市值=369.8亿",-0.06387055567383437,0.061820816227964315,369.84122671022584,38.70859310340164,1.1359234855822233,2.13,2.13,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,73.1,高质量趋势,,,,,
sh.600066,宇通客车,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,26.72,19.9,19.9,78.1,75.4,68.2,47.8,72.8,60.3,"价值线=24.06, 现价/价值=1.11, 扣非EPS=1.57, akshare东方财富扣非净利润同比=12.5%, 市值=590.3亿",-0.010736764161421775,-0.044349070100143106,590.3270193121018,24.06032940962078,1.1105417363619186,1.57,1.57,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,72.8,高质量趋势,,,,,
sh.600583,海油工程,B11开采专业及辅助性活动,B11开采专业及辅助性活动,VALUE,基本价值线,5.34,100.0,100.0,54.8,6.2,57.3,72.8,40.4,56.6,"价值线=10.95, 现价/价值=0.49, 扣非EPS=0.41, akshare东方财富扣非净利润同比=19.3%, 市值=235.6亿",-0.059859154929577496,0.009451795841209698,235.57033595121948,10.953118171281861,0.4875324009560148,0.41,0.41,1.0,年报扣非EPS,,,,,低估价值,深度低估,72.8,低估价值,,,,,
sh.600827,百联股份,F52零售业,F52零售业,PE,PE低估,9.58,95.1,95.1,43.1,35.0,60.7,72.6,45.5,59.1,"PE=10.90, 低估均值=16.60, 比值=0.66, 分位=3%",0.03455723542116629,0.012684989429175397,,,,,,,,10.90347,16.597369999999998,0.6569396235668664,0.030406852248394005,低估价值,价值线内/历史低位,72.6,低估价值,,,,,
sh.600519,贵州茅台,C15酒、饮料和精制茶制造业,消费,PE,PE低估,1550.2,75.0,68.4,58.3,58.3,100.0,71.7,65.4,68.5,"PE=21.88, 低估均值=24.26, 比值=0.90, 分位=14%",0.0007617719590451433,0.10428836016526577,,,,,,,,21.877879,24.258029818181818,0.901881940288578,0.13591836734693877,低估价值,价值线内/历史低位,71.7,低估价值,,,,,
sh.600329,达仁堂,C27医药制造业,医药医疗,PE,PE低估,29.65,100.0,100.0,47.6,2.5,45.0,71.6,34.1,52.9,"PE=10.30, 低估均值=20.22, 比值=0.51, 分位=0%",-0.05241291147331417,-0.07053291536050155,,,,,,,,10.302645,20.223782363636364,0.5094321534296574,0.0024489795918367346,低估价值,价值线内/历史低位,71.6,低估价值,,,,,
sh.600300,维维股份,C15酒、饮料和精制茶制造业,消费,PE,PE低估,3.61,95.2,95.2,21.6,60.6,76.3,71.5,47.2,59.3,"PE=16.43, 低估均值=40.54, 比值=0.41, 分位=13%",0.07440476190476186,0.09393939393939399,,,,,,,,16.42833,40.53754375,0.40526209731195173,0.12571428571428572,低估价值,价值线内/历史低位,71.5,低估价值,,,,,
sh.603568,伟明环保,N77生态保护和环境治理业,N77生态保护和环境治理业,VALUE,基本价值线,19.59,85.0,60.9,71.3,29.0,45.6,71.3,53.3,62.3,"价值线=23.78, 现价/价值=0.82, 扣非EPS=1.55, akshare东方财富扣非净利润同比=0.7%, 市值=331.0亿",-0.08114446529080677,-0.019028542814221283,330.9945272449897,23.7772686151513,0.8238961470754005,1.55,1.55,1.0,年报扣非EPS,,,,,低估价值,深度低估,71.3,低估价值,,,,,
sh.601058,赛轮轮胎,C29橡胶和塑料制品业,C29橡胶和塑料制品业,VALUE,基本价值线,12.61,85.0,81.4,63.9,25.0,70.7,71.2,52.4,61.8,"价值线=18.55, 现价/价值=0.68, 扣非EPS=1.24, akshare东方财富扣非净利润同比=-0.7%, 市值=406.0亿",-0.129744651483782,-0.14682002706359942,405.99596575400244,18.546930710153845,0.6798968625626252,1.24,1.24,1.0,年报扣非EPS,,,,,低估价值,深度低估,71.2,低估价值,,,,,
sh.600153,建发股份,L72商务服务业,L72商务服务业,VALUE,基本价值线,10.44,100.0,100.0,24.0,84.4,54.6,71.1,53.5,62.3,"价值线=20.64, 现价/价值=0.51, 扣非EPS=0.46, akshare东方财富扣非净利润同比=-65.3%, 市值=432.3亿",0.02152641878669259,0.11063829787234036,432.3002915727391,20.639297427559374,0.5058311716589543,0.46,0.46,1.0,年报扣非EPS,,,,,低估价值,深度低估,71.1,低估价值,,,,,
sh.600582,天地科技,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,6.22,93.6,93.6,42.3,55.4,58.7,70.9,51.9,61.4,"价值线=10.45, 现价/价值=0.60, 扣非EPS=0.59, akshare东方财富扣非净利润同比=-29.0%, 市值=257.5亿",-0.029641185647425905,0.06872852233676974,257.5159760386091,10.451181523208323,0.5951480209378827,0.591,0.591,1.0,年报扣非EPS,,,,,低估价值,深度低估,70.9,低估价值,,,,,
sh.600276,恒瑞医药,C27医药制造业,医药医疗,PE,PE低估,51.0,75.0,58.1,45.2,86.1,96.4,70.8,68.7,69.8,"PE=47.55, 低估均值=47.74, 比值=1.00, 分位=17%",0.002949852507374562,0.1588275391956373,,,,,,,,47.551243,47.73868981818182,0.9960734821400477,0.1689795918367347,低估价值,价值线内/历史低位,70.8,低估价值,,,,,
sh.600352,浙江龙盛,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,PB,PB低估,9.9,88.4,88.4,40.0,61.3,58.9,70.7,52.7,61.7,"PB=0.93, 低估均值=1.38, 比值=0.67, 分位=13%",0.043203371970495175,0.03125,,,,,,,,0.929172,1.3785399999999999,0.6740261436012013,0.1310204081632653,低估价值,价值线内/历史低位,70.7,低估价值,,,,,
sh.601128,常熟银行,J66货币金融服务,金融,PE,PE低估,7.25,96.3,96.3,24.5,58.6,56.5,70.6,44.8,57.7,"PE=5.54, 低估均值=8.62, 比值=0.64, 分位=2%",0.026912181303116123,-0.009562841530054711,,,,,,,,5.541153,8.6174337,0.6430166094576394,0.02256361017762842,低估价值,价值线内/历史低位,70.6,低估价值,,,,,
sh.600301,华锡有色,B09有色金属矿采选业,资源金属,PB,PB低估,19.72,91.2,91.2,45.0,30.5,58.9,70.3,44.3,57.3,"PB=3.01, 低估均值=4.41, 比值=0.68, 分位=8%",-0.13204225352112675,0.10911136107986485,,,,,,,,3.006227,4.409224125,0.681804080440116,0.07681879801174876,低估价值,价值线内/历史低位,70.3,低估价值,,,,,
sh.601601,中国太保,J68保险业,金融,PE,PE低估,30.42,91.9,91.9,45.0,4.1,80.5,70.3,38.3,54.3,"PE=6.83, 低估均值=9.86, 比值=0.69, 分位=1%",-0.06140080222153643,-0.03305785123966942,,,,,,,,6.833165,9.860363699999999,0.6929932006463414,0.007346938775510204,低估价值,价值线内/历史低位,70.3,低估价值,,,,,
sh.600812,华北制药,C27医药制造业,医药医疗,PE,PE低估,6.09,94.2,94.2,30.7,56.0,46.1,69.7,45.0,57.4,"PE=62.82, 低估均值=94.79, 比值=0.66, 分位=6%",-0.025600000000000067,0.07787610619469021,,,,,,,,62.819114,94.78664777777777,0.6627422265979492,0.05600403632694248,低估价值,价值线内/历史低位,69.7,低估价值,,,,,
sh.601200,上海环境,N77生态保护和环境治理业,N77生态保护和环境治理业,VALUE,基本价值线,7.92,93.3,93.3,54.3,32.6,31.9,69.4,45.3,57.4,"价值线=13.27, 现价/价值=0.60, 扣非EPS=0.41, akshare东方财富扣非净利润同比=18.5%, 市值=106.6亿",-0.02822085889570558,0.012787723785166127,106.62226976950897,13.26827770615689,0.5969124384791008,0.40753,0.40753,1.0,年报扣非EPS,,,,,低估价值,深度低估,69.4,低估价值,,,,,
sh.601668,中国建筑,E48土木工程建筑业,E48土木工程建筑业,PB,PB低估,5.53,98.1,98.1,15.0,35.1,81.7,69.4,36.2,52.8,"PB=0.49, 低估均值=0.78, 比值=0.62, 分位=2%",0.04734848484848486,0.003629764065335772,,,,,,,,0.487989,0.7846811818181817,0.6218946131335565,0.015102040816326531,低估价值,价值线内/历史低位,69.4,低估价值,,,,,
sh.603218,日月股份,C34通用设备制造业,C34通用设备制造业,VALUE,基本价值线,12.17,85.0,61.7,62.9,31.8,43.1,68.9,50.1,59.5,"价值线=14.87, 现价/价值=0.82, 扣非EPS=0.33, akshare东方财富扣非净利润同比=49.4%, 市值=122.9亿",-0.060231660231660156,0.02011735121542335,122.90162673061211,14.874751379466964,0.8181649353009967,0.33,0.33,1.0,年报扣非EPS,,,,,低估价值,深度低估,68.9,低估价值,,,,,
sh.601033,永兴股份,N77生态保护和环境治理业,N77生态保护和环境治理业,VALUE,基本价值线,15.34,85.0,70.5,53.1,58.7,45.3,68.8,55.5,62.1,"价值线=20.28, 现价/价值=0.76, 扣非EPS=0.87, akshare东方财富扣非净利润同比=-3.5%, 市值=136.9亿",-0.032176656151419514,0.1371386212008896,136.8687527141701,20.27867751504123,0.7564595861156092,0.87,0.87,1.0,年报扣非EPS,,,,,低估价值,深度低估,68.8,低估价值,,,,,
sh.600528,中铁工业,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,7.39,100.0,100.0,37.5,28.5,45.6,68.7,38.7,53.7,"价值线=15.79, 现价/价值=0.47, 扣非EPS=0.70, akshare东方财富扣非净利润同比=-31.6%, 市值=173.3亿",-0.10532687651331718,-0.030183727034120755,173.25626412625567,15.79106689999665,0.467986111818801,0.7,0.7,1.0,年报扣非EPS,,,,,低估价值,深度低估,68.7,低估价值,,,,,
