code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,raw_return,qfq_return
sh.603993,洛阳钼业,B09有色金属矿采选业,资源金属,VALUE,基本价值线,7.1,100.0,100.0,77.8,30.0,87.6,91.0,48.1,56.3,"Q1价值线=14.88, 现价/价值=0.48, akshare东方财富扣非净利润同比=87.8%, 市值=1526.9亿",-0.05710491367861892,-0.016620498614958512,1526.9453146409674,14.88371468071948,0.4770314503003349,0.61,0.61,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,91.0,价值线左侧确认,0.8781700653068001,7.1,18.31,6.8822075,18.31,1.5788732394366196,1.6604835730396097
sh.688608,恒玄科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,437.59,75.0,35.7,100.0,90.8,76.1,84.2,91.9,88.1,"价值线=437.70, 现价/价值=1.00, 扣非EPS=1.97, akshare东方财富扣非净利润同比=1838.6%, 市值=730.6亿",0.1348288381742737,0.15003942181340335,730.5525425481248,437.6952717458463,0.9997594862164574,1.9696666666666667,2.3636,1.2,年报扣非EPS送转可比口径(原始2.36/月度加权1.2000),,,,,低估且高质量,低估且高质量,88.1,低估且高质量,,437.59,193.98,311.70585916,193.98,-0.5567083342855184,-0.3776825353147141
sh.603833,欧派家居,C21家具制造业,C21家具制造业,VALUE,基本价值线,66.4,85.7,85.7,92.5,37.4,52.5,84.8,66.9,73.3,"Q1价值线=102.19, 现价/价值=0.65, akshare东方财富扣非净利润同比=86.2%, 市值=402.6亿",0.06718097074895546,0.03555832813474735,402.5623814550367,102.1852627679209,0.6498001590582102,3.82,3.82,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,84.8,价值线左侧确认,0.8615972650891599,66.4,42.45,62.2077032,42.45,-0.3606927710843374,-0.31760862696502823
sh.603979,金诚信,B11开采专业及辅助性活动,资源金属,VALUE,基本价值线,37.11,79.4,79.4,100.0,47.1,61.8,84.8,75.0,79.2,"Q1价值线=53.44, 现价/价值=0.69, akshare东方财富扣非净利润同比=51.6%, 市值=229.4亿",-0.0957602339181286,-0.058838447882323064,229.4203877750291,53.442296440370114,0.6943938129868095,2.54,2.54,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,84.8,价值线左侧确认,0.51557290074965,37.11,63.2,36.73344483,63.2,0.7030450013473459,0.7205029447274955
sh.688596,正帆科技,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,37.83,75.0,38.4,100.0,28.9,52.9,81.5,66.8,71.2,"Q1价值线=38.56, 现价/价值=0.98, akshare东方财富扣非净利润同比=50.8%, 市值=106.1亿",-0.0596569724086502,0.06174571989896149,106.14157652515344,38.5613434805185,0.9810342842207253,1.74,1.74,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,81.5,价值线左侧确认,0.50771295286296,37.83,49.1,37.51585968,49.1,0.29791171028284436,0.30877981789060804
sh.688313,仕佳光子,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,28.73,100.0,100.0,50.2,85.0,75.6,81.1,68.7,74.9,"价值线=125.89, 现价/价值=0.23, 扣非EPS=0.11, akshare东方财富扣非净利润同比=11456.3%, 市值=129.9亿",0.6568627450980393,0.7391041162227603,129.86578892757746,125.89172324161581,0.22821198455485733,0.1065,0.1065,1.0,年报扣非EPS,,,,,低估价值,深度低估,81.1,低估价值,,28.73,173.42,28.68325629,173.42,5.036199095022624,5.046035995587445
sh.688336,三生国健,C27医药制造业,医药医疗,PE,PE低估,28.74,100.0,100.0,45.0,91.7,41.9,79.6,63.6,71.6,"PE=24.74, 低估均值=92.19, 比值=0.27, 分位=4%",-0.008965517241379395,0.2784697508896796,,,,,,,,24.743201,92.19421633333333,0.2683812714513411,0.0365296803652968,低估价值,价值线内/历史低位,79.6,低估价值,,28.74,64.74,28.68444558,64.74,1.252609603340292,1.2569723308558367
sh.688187,时代电气,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,46.2,85.0,68.0,88.1,34.0,56.4,78.0,64.2,71.1,"价值线=59.67, 现价/价值=0.77, 扣非EPS=2.28, akshare东方财富扣非净利润同比=29.5%, 市值=653.6亿",-0.01492537313432829,0.029641185647426127,653.6079847868422,59.66821245512368,0.7742816166103,2.28,2.28,1.0,年报扣非EPS,,,,,低估价值,深度低估,78.0,低估价值,,46.2,53.8,44.80245,53.8,0.16450216450216426,0.20082718690607315
sh.688582,芯动联科,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,67.74,55.0,23.7,75.8,89.3,65.2,65.7,77.9,71.8,"价值线=62.48, 现价/价值=1.08, 扣非EPS=0.53, akshare东方财富扣非净利润同比=971.7%, 市值=270.6亿",0.06593233674272225,0.17359667359667363,270.6120975849056,62.48452565199786,1.084108413933908,0.53,0.53,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,77.9,高质量趋势,,67.74,52.98,67.4067192,52.98,-0.21789193976970767,-0.21402494248674253
sh.605499,东鹏饮料,C15酒、饮料和精制茶制造业,消费,PE,PE低估,280.25,35.9,35.9,71.1,92.3,74.5,54.2,77.3,65.7,"PE=40.01, 低估均值=33.96, 比值=1.18, 分位=27%",0.09729835552075183,0.21058315334773225,,,,,,,,40.005524,33.9578274,1.1780943323835849,0.2693920335429769,高质量趋势,估值有约束的高质量,77.3,高质量趋势,,280.25,142.2,210.91250675,142.2,-0.49259589652096347,-0.32578678148966633
sh.603998,方盛制药,C27医药制造业,医药医疗,PE,PE低估,9.81,98.1,98.1,44.4,58.5,44.0,75.3,52.0,63.6,"PE=15.76, 低估均值=37.89, 比值=0.42, 分位=8%",-0.029673590504450953,0.03154574132492116,,,,,,,,15.761873,37.894039,0.41594597503844866,0.07918367346938776,低估价值,价值线内/历史低位,75.3,低估价值,,9.81,10.54,9.37514232,10.54,0.07441386340468892,0.12424959965834415
sh.688128,中国电研,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,24.75,75.0,56.8,86.8,64.9,36.3,73.7,71.0,72.3,"价值线=29.03, 现价/价值=0.85, 扣非EPS=0.97, akshare东方财富扣非净利润同比=113.8%, 市值=100.5亿",0.09756097560975596,0.1619718309859155,100.53100759128866,29.031452575726906,0.8525236529395497,0.97,0.97,1.0,年报扣非EPS,,,,,低估价值,价值线内/历史低位,73.7,低估价值,,24.75,27.16,24.02519625,27.16,0.09737373737373733,0.13047983947269515
sh.603920,世运电路,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,27.51,51.8,51.8,89.0,25.0,70.3,0.0,0.0,0.0,"Q1价值线=25.91, 现价/价值=1.06, akshare东方财富扣非净利润同比=57.3%, 市值=170.2亿",-0.10970873786407753,-0.10039241334205351,170.17898379535754,25.912687549011533,1.061642098989821,1.06,1.06,1.0,年报扣非EPS,,,,,财报后主线候选,价值线附近/业绩强,73.0,财报后主线候选,0.5725666955272201,27.51,63.98,26.68813875,63.98,1.3256997455470736,1.3973196707095208
sh.603939,益丰药房,F52零售业,医药医疗,PE,PE低估,28.18,98.2,98.2,0.0,92.2,56.5,68.9,45.7,57.3,"PE=21.74, 低估均值=38.48, 比值=0.57, 分位=8%",0.08845113943607563,0.21517895644674412,,,,,,,,21.743482,38.480763,0.565048099488048,0.07877551020408163,低估价值,价值线内/历史低位,68.9,低估价值,,28.18,22.13,27.39792046,22.13,-0.21469127040454228,-0.19227446359262856
sh.688183,生益电子,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,29.78,85.0,66.8,57.5,28.3,61.6,68.7,49.3,59.0,"价值线=38.06, 现价/价值=0.78, 扣非EPS=0.40, akshare东方财富扣非净利润同比=715.7%, 市值=243.5亿",0.006421088205474934,-0.1043609022556391,243.48843847172998,38.06464352306596,0.7823533138292565,0.4,0.4,1.0,年报扣非EPS,,,,,低估价值,深度低估,68.7,低估价值,,29.78,106.14,29.42686876,106.14,2.564137004701142,2.6069077164022394
sh.603995,甬金股份,C31黑色金属冶炼和压延加工业,资源金属,PB,PB低估,16.47,93.3,93.3,45.0,20.0,39.1,68.5,37.8,53.1,"PB=1.06, 低估均值=1.57, 比值=0.68, 分位=0%",-0.1926470588235294,-0.1601223865374809,,,,,,,,1.059208,1.5651115000000002,0.6767620070518936,0.002313030069390902,低估价值,价值线内/历史低位,68.5,低估价值,,16.47,18.71,15.70307445,18.71,0.13600485731633283,0.19148642258395454
sh.688122,西部超导,C32有色金属冶炼和压延加工业,资源金属,PB,PB低估,49.79,75.0,63.9,42.6,89.0,64.9,67.3,63.8,65.6,"PB=4.72, 低估均值=5.16, 比值=0.91, 分位=19%",0.025963321656707228,0.1983152827918171,,,,,,,,4.717738,5.156849285714286,0.9148489200701035,0.1890156918687589,低估价值,价值线内/历史低位,67.3,低估价值,,49.79,63.44,49.23523982,63.44,0.2741514360313315,0.28850799207907674
sh.605338,巴比食品,C14食品制造业,消费,PE,PE低估,18.24,84.5,84.5,41.8,52.9,46.6,66.9,48.6,57.7,"PE=15.94, 低估均值=21.08, 比值=0.76, 分位=8%",-0.0016420361247948545,-0.002188183807440014,,,,,,,,15.938203,21.079136833333333,0.7561126969296126,0.08039747064137308,低估价值,价值线内/历史低位,66.9,低估价值,,18.24,23.42,17.46423456,23.42,0.28399122807017574,0.34102642286087104
sh.688278,特宝生物,C27医药制造业,医药医疗,PE,PE低估,73.92,81.5,81.5,56.3,21.4,54.2,66.4,45.0,55.7,"PE=34.14, 低估均值=41.95, 比值=0.81, 分位=1%",-0.05521472392638027,-0.09189189189189195,,,,,,,,34.135375,41.9515172,0.8136863045325093,0.01484375,低估价值,价值线内/历史低位,66.4,低估价值,,73.92,57.65,73.30269408,57.65,-0.22010281385281394,-0.21353504501372345
sh.688089,嘉必优,C14食品制造业,消费,PE,PE低估,25.33,75.0,61.5,42.8,92.7,43.6,65.6,62.0,63.8,"PE=29.42, 低估均值=30.44, 比值=0.97, 分位=16%",0.009163346613545675,0.2857868020304568,,,,,,,,29.422943,30.443817714285718,0.966466928561109,0.15538461538461537,低估价值,价值线内/历史低位,65.6,低估价值,,25.33,14.8,25.12670142,14.8,-0.41571259376233705,-0.4109851606618088
sh.605599,菜百股份,F52零售业,F52零售业,PE,PE低估,14.48,75.0,54.9,37.8,100.0,45.3,65.2,62.5,63.9,"PE=14.70, 低估均值=15.37, 比值=0.96, 分位=27%",0.19570602807597037,0.3419833178869325,,,,,,,,14.698579,15.3671512,0.9564934195480552,0.27386363636363636,低估价值,价值线内/历史低位,65.2,低估价值,,14.48,16.54,13.92515536,16.54,0.14226519337016574,0.1877784895320549
sh.605116,奥锐特,C27医药制造业,医药医疗,PE,PE低估,21.29,84.3,84.3,38.6,60.7,26.9,64.8,46.9,55.8,"PE=22.06, 低估均值=28.23, 比值=0.78, 分位=1%",-0.022946305644791165,0.06931190356604722,,,,,,,,22.059524,28.225328333333334,0.7815506604381396,0.0062724014336917565,低估价值,价值线内/历史低位,64.8,低估价值,,21.29,21.22,20.9917271,21.22,-0.0032879286049788403,0.010874422047912446
sh.688639,华恒生物,C26化学原料和化学制品制造业,医药医疗,PB,PB低估,29.13,100.0,100.0,9.0,35.9,35.2,64.3,26.9,45.6,"PB=2.78, 低估均值=6.24, 比值=0.45, 分位=1%",-0.03670634920634919,0.08491620111731835,,,,,,,,2.780144,6.2404125,0.44550644688952856,0.007172131147540984,低估价值,价值线内/历史低位,64.3,低估价值,,29.13,26.47,28.74350316,26.47,-0.0913147957432201,-0.07909624471814036
