code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,end_quote_time,end_quote_trade_date,buy_close_raw,end_close_raw,raw_return,qfq_return,earnings_yoy,buy_close_qfq,end_close_qfq
sh.603236,移远通信,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,106.81,0.0,0.0,92.5,100.0,85.2,46.3,89.4,67.8,"价值线=64.94, 现价/价值=1.64, 扣非EPS=2.01, akshare东方财富扣非净利润同比=139.4%, 市值=282.8亿",0.2992336698698457,0.3902121567096186,282.79701539133936,64.93555764345689,1.644861519269058,2.01,2.01,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,89.4,高质量趋势,2026-05-19 16:11:45,2026-05-19,106.81,74.7,-0.3006272820896919,-0.3006272820896919,,106.81,74.7
sz.002432,九安医疗,C35专用设备制造业,医药医疗,VALUE,基本价值线,39.64,100.0,100.0,78.7,35.9,66.5,89.2,62.9,73.4,"Q1价值线=94.39, 现价/价值=0.42, akshare东方财富扣非净利润同比=26.3%, 市值=173.4亿",0.0135515213500383,0.0464625131995775,173.4437819084066,94.39280647447278,0.4199472553103937,3.8408,3.8408,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,89.2,价值线左侧确认,2026-05-19 15:34:00,2026-05-19,39.64,73.44,0.8526740665993944,0.8526740665993944,0.26273993642527,39.64,73.44
sz.301345,涛涛车业,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,183.28,0.0,0.0,100.0,98.7,64.2,46.3,89.2,67.7,"价值线=103.85, 现价/价值=1.76, 扣非EPS=3.87, akshare东方财富扣非净利润同比=89.6%, 市值=199.2亿",0.1462163852407754,1.2381243131029431,199.2470398407421,103.84602622358716,1.7649206875320045,3.87,3.87,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,89.2,高质量趋势,2026-05-19 15:34:09,2026-05-19,183.28,231.88,0.265168048886949,0.2811309404043876,,180.9963312,231.88
sh.603259,药明康德,M73研究和试验发展,医药医疗,VALUE,基本价值线,111.58,0.0,0.0,86.3,100.0,100.0,45.9,88.8,67.4,"价值线=64.62, 现价/价值=1.73, 扣非EPS=3.46, akshare东方财富扣非净利润同比=26.5%, 市值=3221.0亿",0.2148067501360915,0.7219135802469137,3221.018811494448,64.61635543188176,1.7268073888448736,3.46,3.46,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,88.8,高质量趋势,2026-05-19 16:11:36,2026-05-19,111.58,102.05,-0.08540957160781504,-0.08241917570142598,,111.21636078,102.05
sz.002947,恒铭达,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,43.7,14.9,14.9,93.5,100.0,69.4,52.5,88.2,70.3,"价值线=38.15, 现价/价值=1.15, 扣非EPS=1.88, akshare东方财富扣非净利润同比=38.9%, 市值=104.3亿",0.302145411203814,0.3072090936284775,104.28963339488298,38.15387513778771,1.1453620331403611,1.88,1.88,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,88.2,高质量趋势,2026-05-19 15:34:36,2026-05-19,43.7,86.84,0.9871853546910754,0.9996692900689761,,43.4271809,86.84
sh.600585,海螺水泥,C30非金属矿物制品业,资源金属,VALUE,基本价值线,24.31,100.0,100.0,71.9,62.7,79.6,88.1,54.2,64.1,"Q1价值线=54.14, 现价/价值=0.45, akshare东方财富扣非净利润同比=31.8%, 市值=1278.8亿",0.0362318840579709,0.065293602103418,1278.8282445714285,54.13569268619224,0.4490567829420324,1.4,1.4,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,88.1,价值线左侧确认,2026-05-19 16:11:45,2026-05-19,24.31,20.04,-0.17564788153023447,-0.16708720381100395,0.31813183776866,24.06014182,20.04
sh.603129,春风动力,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,272.0,0.0,0.0,93.2,100.0,68.8,44.8,87.3,66.1,"价值线=176.40, 现价/价值=1.54, 扣非EPS=9.54, akshare东方财富扣非净利润同比=38.4%, 市值=411.0亿",0.2088888888888889,0.3525609149676778,411.0134981928721,176.4007067130385,1.5419439358736728,9.54,9.54,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,87.3,高质量趋势,2026-05-19 16:11:34,2026-05-19,272.0,247.46,-0.09022058823529411,-0.09022058823529411,,272.0,247.46
sz.002299,圣农发展,C13农副食品加工业,消费,VALUE,基本价值线,17.6,99.1,99.1,76.5,88.7,60.0,87.3,79.4,83.4,"Q1价值线=31.65, 现价/价值=0.56, akshare东方财富扣非净利润同比=305.4%, 市值=217.0亿",0.0810810810810811,0.150326797385621,217.00437158601,31.653492201646657,0.5560207982070435,0.5604,0.5604,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,87.3,价值线左侧确认,2026-05-19 15:34:06,2026-05-19,17.6,17.74,0.007954545454545325,0.02673663878789223,3.0543791940445497,17.2780432,17.74
sz.002056,横店东磁,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,18.54,85.0,72.0,80.9,100.0,78.7,84.7,87.5,86.1,"价值线=24.86, 现价/价值=0.75, 扣非EPS=1.04, akshare东方财富扣非净利润同比=77.8%, 市值=298.8亿",0.195357833655706,0.3733333333333333,298.7861010506024,24.86094808942558,0.7457479068501757,1.0375,1.0375,1.0,年报扣非EPS,,,,,低估且高质量,深度低估且高质量,86.1,低估且高质量,2026-05-19 15:34:21,2026-05-19,18.54,19.61,0.057713052858684,0.07716448920474317,,18.20520468,19.61
sz.002594,比亚迪,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,109.7,100.0,100.0,76.9,29.8,100.0,86.1,65.1,75.6,"价值线=209.60, 现价/价值=0.52, 扣非EPS=12.71, akshare东方财富扣非净利润同比=10.4%, 市值=3192.0亿",0.045957284515637,-0.6848968805652897,3191.992685995279,209.60406023522643,0.5233677242553894,12.71,12.71,1.0,年报扣非EPS,,,,,低估价值,深度低估,86.1,低估价值,2026-05-19 15:34:12,2026-05-19,109.7,94.51,-0.13846855059252505,-0.13846855059252505,,109.7,94.51
sz.000039,中集集团,C33金属制品业,资源金属,VALUE,基本价值线,8.07,100.0,100.0,70.5,34.2,63.7,86.0,58.3,69.6,"Q1价值线=19.10, 现价/价值=0.42, akshare东方财富扣非净利润同比=51.2%, 市值=449.1亿",-0.0146520146520146,0.0346153846153847,449.1480851612904,19.10344133996488,0.4224369764790681,0.62,0.62,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,86.0,价值线左侧确认,2026-05-19 15:34:33,2026-05-19,8.07,11.53,0.42874845105328374,0.42874845105328374,0.51184537741369,8.07,11.53
sz.002353,杰瑞股份,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,47.2,75.0,51.5,90.6,100.0,66.1,81.3,89.4,85.4,"价值线=53.07, 现价/价值=0.89, 扣非EPS=2.37, akshare东方财富扣非净利润同比=33.9%, 市值=478.4亿",0.2016293279022403,0.3649508386350493,478.40063891665824,53.07300797692399,0.8893409625571335,2.37,2.37,1.0,年报扣非EPS,,,,,低估且高质量,低估且高质量,85.4,低估且高质量,2026-05-19 15:34:24,2026-05-19,47.2,139.15,1.9480932203389831,1.9568039648193412,,47.0609488,139.15
sz.002475,立讯精密,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,45.27,0.0,0.0,78.4,100.0,100.0,43.5,85.3,64.4,"价值线=28.64, 现价/价值=1.58, 扣非EPS=1.63, akshare东方财富扣非净利润同比=12.9%, 市值=3247.9亿",0.2491721854304636,0.4177889132477295,3247.8602015290367,28.638463042511955,1.5807412546127075,1.63,1.63,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,85.3,高质量趋势,2026-05-19 15:34:30,2026-05-19,45.27,72.9,0.6103379721669979,0.6153909149489585,,45.12839544,72.9
sz.300763,锦浪科技,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,69.19,0.0,0.0,85.0,99.3,81.7,43.6,85.3,64.4,"价值线=49.87, 现价/价值=1.39, 扣非EPS=1.61, akshare东方财富扣非净利润同比=71.8%, 市值=273.8亿",0.1989256627967421,0.285342745680847,273.8272646266689,49.86797268768642,1.3874636619644385,1.61,1.61,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,85.3,高质量趋势,2026-05-19 15:34:45,2026-05-19,69.19,104.11,0.5046972105795635,0.5046972105795635,,69.19,104.11
sz.300926,博俊科技,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,28.82,75.0,40.4,100.0,91.2,53.4,82.0,88.7,85.3,"价值线=29.80, 现价/价值=0.97, 扣非EPS=1.51, akshare东方财富扣非净利润同比=51.7%, 市值=116.8亿",0.0838661150808575,0.1988352745424293,116.79010486702254,29.80073772716577,0.9670901527289456,1.51,1.51,1.0,年报扣非EPS,,,,,低估且高质量,低估且高质量,85.3,低估且高质量,2026-05-19 15:34:36,2026-05-19,28.82,22.14,-0.23178348369188062,-0.23178348369188062,,28.82,22.14
sh.601877,正泰电器,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,27.9,85.4,85.4,82.4,97.2,72.0,84.3,86.2,85.2,"价值线=42.77, 现价/价值=0.65, 扣非EPS=1.72, akshare东方财富扣非净利润同比=32.6%, 市值=596.7亿",0.2274527056753188,0.2444246208742193,596.6842800059477,42.76986762878724,0.6523284159341486,1.72,1.72,1.0,年报扣非EPS,,,,,低估且高质量,深度低估且高质量,85.2,低估且高质量,2026-05-19 16:12:02,2026-05-19,27.9,32.21,0.15448028673835124,0.15448028673835124,,27.9,32.21
sz.300533,冰川网络,I64互联网和相关服务,I64互联网和相关服务,RIGHT,右侧趋势,41.8,0.0,0.0,70.0,99.3,78.5,38.8,84.9,61.8,轻资产行业不做左侧估值，仅按右侧趋势观察,0.1617565314063369,0.5899581589958158,,,,,,,,,,,,高质量趋势,右侧高质量,84.9,高质量趋势,2026-05-19 15:34:03,2026-05-19,41.8,26.23,-0.37248803827751187,-0.3563814849380875,,40.753955,26.23
sh.601336,新华保险,J68保险业,金融,PE,PE低估,65.75,87.4,87.4,94.0,65.0,87.6,86.9,82.5,84.7,"PE=6.85, 低估均值=9.20, 比值=0.74, 分位=3%",0.0027451578465762,0.2354378053363397,,,,,,,,6.849564,9.1956168,0.7448727093543089,0.0289677682578539,低估且高质量,低估且高质量,84.7,低估且高质量,2026-05-19 16:11:36,2026-05-19,65.75,60.12,-0.0856273764258556,-0.07640248444044673,,65.093289,60.12
sh.601766,中国中车,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,7.59,94.3,94.3,71.2,82.3,78.8,84.7,77.4,81.0,"Q1价值线=12.86, 现价/价值=0.59, akshare东方财富扣非净利润同比=98.2%, 市值=2199.6亿",0.0383036935704514,0.0556328233657856,2199.5952282857143,12.860048687245165,0.590199942829758,0.35,0.35,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,84.7,价值线左侧确认,2026-05-19 16:11:51,2026-05-19,7.59,5.88,-0.22529644268774707,-0.21387323466060026,0.98247678084919,7.47970971,5.88
sz.300373,扬杰科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,69.1,0.0,0.0,82.2,100.0,81.7,42.8,84.2,63.5,"价值线=40.06, 现价/价值=1.72, 扣非EPS=1.76, akshare东方财富扣非净利润同比=32.3%, 市值=374.3亿",0.2627923976608186,0.4183087027914614,374.29423766827273,40.06473008676673,1.7247089859423148,1.76,1.76,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,84.2,高质量趋势,2026-05-19 15:34:12,2026-05-19,69.1,81.4,0.17800289435600591,0.1930013067849059,,68.2312748,81.4
sh.601717,中创智领,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,21.71,89.1,89.1,76.8,98.8,68.1,84.3,83.8,84.0,"价值线=34.66, 现价/价值=0.63, 扣非EPS=2.03, akshare东方财富扣非净利润同比=10.2%, 市值=386.2亿",0.2549132947976877,0.2755581668625146,386.15151310512886,34.65888463994577,0.6263906131294931,2.026,2.026,1.0,年报扣非EPS,,,,,低估且高质量,深度低估且高质量,84.0,低估且高质量,2026-05-19 16:11:59,2026-05-19,21.71,18.1,-0.1662828189774297,-0.1662828189774297,,21.71,18.1
sh.600961,株冶集团,C32有色金属冶炼和压延加工业,资源金属,PB,PB低估,14.28,85.2,85.2,79.0,100.0,66.0,83.2,84.7,83.9,"PB=4.49, 低估均值=10.74, 比值=0.42, 分位=28%",0.221556886227545,0.3345794392523364,,,,,,,,4.494497,10.739101857142856,0.4185170286852799,0.2829606784888203,低估且高质量,低估且高质量,83.9,低估且高质量,2026-05-19 16:11:58,2026-05-19,14.28,28.96,1.028011204481793,1.028011204481793,,14.28,28.96
sz.300433,蓝思科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,32.34,0.0,0.0,74.2,100.0,100.0,42.3,83.4,62.8,"价值线=18.95, 现价/价值=1.71, 扣非EPS=0.66, akshare东方财富扣非净利润同比=41.8%, 市值=1609.9亿",0.4443948191156768,0.4673321234119785,1609.9136964154998,18.95122544521788,1.7064859522401294,0.66,0.66,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,83.4,高质量趋势,2026-05-19 15:34:45,2026-05-19,32.34,38.7,0.19666048237476796,0.20067915550825433,,32.23175802,38.7
sh.603799,华友钴业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,50.22,75.0,49.9,91.1,99.8,100.0,83.2,80.0,80.7,"Q1价值线=55.76, 现价/价值=0.90, akshare东方财富扣非净利润同比=47.7%, 市值=835.9亿",0.1741875146130465,0.4615832363213039,835.9189709892158,55.76252682318713,0.9006048122467355,2.28,2.28,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,83.2,价值线左侧确认,2026-05-19 16:12:01,2026-05-19,50.22,58.31,0.1610911987256074,0.1610911987256074,0.47676581759812,50.22,58.31
sh.689009,九号公司,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,73.17,0.0,0.0,100.0,73.3,83.9,45.7,83.2,64.5,"价值线=43.25, 现价/价值=1.69, 扣非EPS=1.50, akshare东方财富扣非净利润同比=125.3%, 市值=517.8亿",0.19990160708429,0.1654985664224275,517.8167863714398,43.25029032387509,1.6917805511147883,1.501,1.501,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,83.2,高质量趋势,2026-05-19 16:11:43,2026-05-19,73.17,40.51,-0.4463577969113025,-0.4424566662047371,,72.65802951,40.51
sh.601900,南方传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,14.11,92.0,92.0,78.6,2.5,47.2,82.8,47.9,61.2,"Q1价值线=23.28, 现价/价值=0.61, akshare东方财富扣非净利润同比=31.7%, 市值=124.1亿",-0.0139762403913348,-0.1306223043746149,124.05739480628785,23.28296306488727,0.6060225221625294,1.07,1.07,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,82.8,价值线左侧确认,2026-05-19 16:11:59,2026-05-19,14.11,12.3,-0.12827781715095665,-0.12827781715095665,0.31657538884638,14.11,12.3
sh.600031,三一重工,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,21.16,55.0,24.1,78.2,88.7,89.7,68.8,82.5,75.6,"价值线=19.57, 现价/价值=1.08, 扣非EPS=0.63, akshare东方财富扣非净利润同比=73.1%, 市值=1792.4亿",0.0746571863890299,0.1550218340611353,1792.3964942035889,19.568198724338146,1.0813463363739266,0.6297,0.6297,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,82.5,高质量趋势,2026-05-19 16:11:58,2026-05-19,21.16,19.39,-0.08364839319470696,-0.07115072621594254,,20.8752922,19.39
sh.600866,星湖科技,C14食品制造业,消费,PE,PE低估,7.91,100.0,100.0,65.6,54.4,56.8,82.5,62.1,72.3,"PE=10.32, 低估均值=20.84, 比值=0.50, 分位=3%",-0.0075282308657464,0.0326370757180156,,,,,,,,10.321696,20.840886,0.4952618617077988,0.0252199413489736,低估价值,价值线内/历史低位,82.5,低估价值,2026-05-19 16:11:46,2026-05-19,7.91,5.58,-0.2945638432364096,-0.2945638432364096,,7.91,5.58
sh.600179,安通控股,G58多式联运和运输代理业,G58多式联运和运输代理业,VALUE,基本价值线,3.5,100.0,100.0,57.7,94.8,54.6,82.3,72.3,77.3,"价值线=10.80, 现价/价值=0.32, 扣非EPS=0.11, akshare东方财富扣非净利润同比=643.4%, 市值=148.1亿",0.0971786833855798,0.2589928057553958,148.07861270155394,10.799003359455888,0.3241039828860974,0.1094,0.1094,1.0,年报扣非EPS,,,,,低估价值,深度低估,82.3,低估价值,2026-05-19 16:11:58,2026-05-19,3.5,4.36,0.24571428571428577,0.24571428571428577,,3.5,4.36
sh.600988,赤峰黄金,B09有色金属矿采选业,资源金属,PB,PB低估,28.05,37.7,37.7,88.2,60.8,88.7,0.0,0.0,0.0,"Q1价值线=24.03, 现价/价值=1.17, akshare东方财富扣非净利润同比=74.0%, 市值=463.0亿",0.1425661914460285,0.0454714871412598,463.0302391266991,24.027652927530863,1.1674049098595198,1.03,1.03,1.0,年报扣非EPS,,,,,财报后主线候选,价值线附近/业绩强,82.3,财报后主线候选,2026-05-19 16:11:54,2026-05-19,28.05,36.66,0.30695187165775395,0.30695187165775395,0.73983683521989,28.05,36.66
sh.603998,方盛制药,C27医药制造业,医药医疗,PE,PE低估,11.86,94.0,94.0,63.1,83.3,65.4,82.3,72.0,77.2,"PE=18.11, 低估均值=37.89, 比值=0.48, 分位=14%",0.0268398268398266,0.0831050228310501,,,,,,,,18.10612,37.894039,0.4778091878778084,0.1444308445532435,低估价值,价值线内/历史低位,82.3,低估价值,2026-05-19 16:11:49,2026-05-19,11.86,10.54,-0.11129848229342332,-0.08782362323743875,,11.5547829,10.54
sh.688093,世华科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,40.5,0.0,0.0,87.2,100.0,53.7,41.5,82.3,61.9,"价值线=27.94, 现价/价值=1.45, 扣非EPS=0.99, akshare东方财富扣非净利润同比=101.0%, 市值=106.1亿",0.2078735460781389,0.5016685205784206,106.07908719681818,27.94158489846199,1.44945249695658,0.99,0.99,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,82.3,高质量趋势,2026-05-19 16:11:53,2026-05-19,40.5,32.69,-0.19283950617283951,-0.18338803934016257,,40.031253,32.69
sz.000333,美的集团,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,74.03,85.0,65.7,88.3,33.8,98.3,82.2,70.6,76.4,"价值线=93.71, 现价/价值=0.79, 扣非EPS=5.04, akshare东方财富扣非净利润同比=30.0%, 市值=5249.9亿",0.0435579362841838,-0.0181697612732095,5249.875346309524,93.71079278809594,0.7899837126274318,5.04,5.04,1.0,年报扣非EPS,,,,,低估价值,深度低估,82.2,低估价值,2026-05-19 15:34:57,2026-05-19,74.03,82.83,0.11887072808320953,0.12590538492824122,,73.56746056,82.83
sz.002001,新和成,C27医药制造业,医药医疗,PE,PE低估,24.83,85.8,85.8,76.6,89.6,74.9,82.8,81.4,82.1,"PE=10.50, 低估均值=14.03, 比值=0.75, 分位=7%",0.1220063262539539,0.1358645928636779,,,,,,,,10.500581,14.0297758,0.7484496651756902,0.0709914320685434,低估且高质量,低估且高质量,82.1,低估且高质量,2026-05-19 15:34:21,2026-05-19,24.83,31.74,0.27829238824003233,0.28933164579129733,,24.61740554,31.74
