code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,raw_return,qfq_return,segment_file,segment_order,end_quote_time,end_quote_trade_date,buy_trade_date,end_trade_date
sh.600037,歌华有线,I63电信、广播电视和卫星传输服务,I63电信、广播电视和卫星传输服务,PB,PB低估,7.23,76.7,76.7,0.0,52.4,39.2,51.3,28.1,39.7,"PB=0.79, 低估均值=0.94, 比值=0.84, 分位=9%",-0.0136425648021827,-0.0027586206896551,,,,,,,,0.789537,0.9402472000000002,0.839712152293567,0.0897959183673469,低估价值,价值线内/历史低位,51.3,低估价值,,7.23,7.9,7.20115953,7.9,0.09266943291839547,0.09704554760780315,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600048,保利发展,K70房地产业,K70房地产业,PB,PB低估,8.35,100.0,100.0,0.0,34.1,83.0,66.7,29.4,48.0,"PB=0.51, 低估均值=1.10, 比值=0.47, 分位=3%",0.0072376357056695,0.0145808019441069,,,,,,,,0.513983,1.098714375,0.467804018674098,0.026938775510204,低估价值,价值线内/历史低位,66.7,低估价值,,8.35,6.05,8.17233705,6.05,-0.27544910179640714,-0.25969768953667904,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600050,中国联通,I63电信、广播电视和卫星传输服务,I63电信、广播电视和卫星传输服务,PB,PB低估,5.48,75.0,46.6,0.0,57.3,86.6,55.6,36.8,46.2,"PB=1.02, 低估均值=1.04, 比值=0.99, 分位=36%",-0.0179211469534049,0.0981963927855711,,,,,,,,1.023177,1.035126,0.9884564777621276,0.36,低估价值,价值线内/历史低位,55.6,低估价值,,5.48,4.92,5.31114476,4.92,-0.10218978102189791,-0.07364603633963096,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600060,海信视像,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,23.58,85.0,73.3,79.2,75.3,64.5,80.2,75.9,78.1,"价值线=32.01, 现价/价值=0.74, 扣非EPS=1.38, akshare东方财富扣非净利润同比=19.5%, 市值=310.1亿",-0.07890625,0.0051150895140663,310.13636165868456,32.01027679463418,0.7366384286921464,1.382,1.382,1.0,年报扣非EPS,,,,,低估且高质量,深度低估且高质量,78.1,低估且高质量,,23.58,24.6,22.66184196,24.6,0.04325699745547085,0.08552517678929217,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600062,华润双鹤,C27医药制造业,医药医疗,PE,PE低估,18.87,77.4,77.4,36.7,30.8,54.4,60.3,39.3,49.8,"PE=12.09, 低估均值=14.27, 比值=0.85, 分位=7%",-0.0278207109737248,-0.0232919254658384,,,,,,,,12.091089,14.266260909090908,0.8475303428871948,0.0677551020408163,低估价值,价值线内/历史低位,60.3,低估价值,,18.87,17.27,18.40443936,17.27,-0.08479067302596721,-0.06163944132227028,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600063,皖维高新,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,PB,PB低估,4.54,75.0,64.5,32.5,84.8,45.9,62.4,55.0,58.7,"PB=1.13, 低估均值=1.24, 比值=0.92, 分位=18%",-0.0257510729613734,0.1552162849872773,,,,,,,,1.131023,1.2359792727272725,0.9150824977059046,0.1787755102040816,低估价值,价值线内/历史低位,62.4,低估价值,,4.54,6.23,4.41712944,6.23,0.3722466960352424,0.41041825570771606,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600064,南京高科,K70房地产业,K70房地产业,PB,PB低估,7.26,78.9,78.9,42.3,32.7,44.2,61.7,41.1,51.4,"PB=0.65, 低估均值=0.82, 比值=0.79, 分位=12%",-0.009549795361528,0.0,,,,,,,,0.651314,0.8203690909090909,0.7939280102304284,0.116734693877551,低估价值,价值线内/历史低位,61.7,低估价值,,7.26,7.64,6.99177204,7.64,0.052341597796143224,0.0927129712312531,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600066,宇通客车,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,26.72,19.9,19.9,78.1,75.4,68.2,47.8,72.8,60.3,"价值线=24.06, 现价/价值=1.11, 扣非EPS=1.57, akshare东方财富扣非净利润同比=12.5%, 市值=590.3亿",-0.0107367641614217,-0.0443490701001431,590.3270193121018,24.06032940962078,1.1105417363619186,1.57,1.57,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,72.8,高质量趋势,,26.72,31.71,23.8343736,31.71,0.18675149700598803,0.3304314404134372,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600085,同仁堂,C27医药制造业,医药医疗,PE,PE低估,36.58,75.0,66.4,16.2,31.9,59.0,54.4,31.1,42.7,"PE=32.73, 低估均值=34.60, 比值=0.95, 分位=11%",-0.006248302091823,-0.0193029490616621,,,,,,,,32.734069,34.59839681818182,0.946115196378056,0.106938775510204,低估价值,价值线内/历史低位,54.4,低估价值,,36.58,26.3,36.0801343,26.3,-0.2810278840896664,-0.27106701484755835,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
sh.600089,特变电工,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,11.66,90.0,90.0,31.4,30.4,62.6,63.7,38.7,51.2,"价值线=18.81, 现价/价值=0.62, 扣非EPS=0.76, akshare东方财富扣非净利润同比=-22.6%, 市值=606.5亿",-0.033167495854063,-0.0275229357798165,606.5494421872936,18.81200647786635,0.6198169245645758,0.7571,0.7571,1.0,年报扣非EPS,,,,,低估价值,深度低估,63.7,低估价值,,11.66,26.76,11.42605376,26.76,1.2950257289879934,1.3420159367428006,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18
