code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,buy_close_raw,end_close_raw,raw_return,qfq_return
sh.600866,星湖科技,C14食品制造业,消费,PE,PE低估,7.7,100.0,100.0,47.5,95.5,62.0,82.6,69.1,75.9,"PE=10.97, 低估均值=19.14, 比值=0.57, 分位=4%",0.1809815950920246,0.21069182389937113,,,,10.973479,19.144063499999998,0.5732053176693652,0.04254007398273736,低估价值,价值线内/历史低位,82.6,低估价值,7.7,,,
sh.603236,移远通信,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,77.61,85.0,61.8,92.5,45.5,78.0,82.6,73.5,78.1,"价值线=94.94, 现价/价值=0.82, 反推扣非EPS同比=290.1%, 市值=204.6亿",-0.0702048640230023,-0.09703315881326358,204.6398206278027,94.93993483701752,0.8174642223341774,,,,,低估价值,深度低估,82.6,低估价值,77.61,,,
sz.000039,中集集团,C33金属制品业,资源金属,VALUE,基本价值线,7.79,100.0,100.0,70.4,48.1,63.7,82.3,63.1,72.7,"价值线=25.89, 现价/价值=0.30, 反推扣非EPS同比=175.4%, 市值=436.8亿",-0.08995327102803741,-0.037082818294190356,436.8279245283018,25.88841309834043,0.30090681767201005,,,,,低估价值,深度低估,82.3,低估价值,7.79,,,
sh.601766,中国中车,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,7.05,100.0,100.0,71.3,31.8,75.9,82.2,59.6,70.9,"价值线=19.40, 现价/价值=0.36, 反推扣非EPS同比=281.4%, 市值=2031.1亿",0.017316017316017396,-0.038199181446111896,2031.0558139534883,19.39799930933496,0.36343954278868884,,,,,低估价值,深度低估,82.2,低估价值,7.05,,,
sh.600482,中国动力,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,21.63,100.0,100.0,76.5,27.6,62.7,82.0,58.5,70.2,"价值线=55.90, 现价/价值=0.39, 反推扣非EPS同比=586.3%, 市值=477.6亿",-0.013229927007299414,-0.12108898821617231,477.57666666666654,55.89512026798451,0.3869747465663686,,,,,低估价值,深度低估,82.0,低估价值,21.63,,,
sz.002396,星网锐捷,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,19.85,100.0,100.0,70.4,53.2,53.6,81.8,63.4,72.6,"价值线=562.97, 现价/价值=0.04, 反推扣非EPS同比=8833.4%, 市值=115.4亿",-0.01243781094527363,0.011722731906218087,115.42354630294331,562.9709238091401,0.03525936981912338,,,,,低估价值,深度低估,81.8,低估价值,19.85,,,
sz.300548,长芯博创,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,48.61,100.0,100.0,60.0,60.6,77.0,81.8,64.8,73.3,"价值线=235.90, 现价/价值=0.21, 扣非净利润同比=11416.8%, 市值=140.1亿",0.2457713992824191,0.012708333333333321,140.132908,235.89727318058831,0.20606427257337223,,,,,低估价值,深度低估,81.8,低估价值,48.61,,,
sh.601336,新华保险,J68保险业,金融,PE,PE低估,48.6,99.4,99.4,55.5,52.3,78.9,81.7,60.1,70.9,"PE=5.58, 低估均值=9.20, 比值=0.61, 分位=0%",-0.06735751295336789,0.03602643359624813,,,,5.580256,9.1956168,0.606838684274012,0.0008163265306122449,低估价值,价值线内/历史低位,81.7,低估价值,48.6,,,
sh.600741,华域汽车,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,17.76,100.0,100.0,67.1,56.7,57.2,81.5,63.6,72.6,"价值线=39.54, 现价/价值=0.45, 反推扣非EPS同比=6.4%, 市值=560.0亿",-0.011686143572620877,0.08094948265368229,560.0331138287867,39.543548784341574,0.4491250923597579,,,,,低估价值,深度低估,81.5,低估价值,17.76,,,
sh.600323,瀚蓝环境,N77生态保护和环境治理业,N77生态保护和环境治理业,VALUE,基本价值线,23.28,94.5,94.5,78.6,54.0,50.5,81.3,66.6,73.9,"价值线=39.55, 现价/价值=0.59, 反推扣非EPS同比=13.4%, 市值=189.9亿",-0.035225859925403946,0.044883303411131115,189.89176470588234,39.548424433171775,0.5886454475408529,,,,,低估价值,深度低估,81.3,低估价值,23.28,,,
