code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,buy_close_raw,end_close_raw,raw_return,qfq_return,earnings_yoy
sh.600031,三一重工,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,19.68,75,38.6,78.3,91.0,82.3,78.3,83.1,80.7,"价值线=20.08, 现价/价值=0.98, 市值=1665.4亿",0.016528925619834656,0.24478178368121428,1665.445865302643,20.083383394358627,0.9799145698492249,,,,,低估且高质量,低估且高质量,80.7,低估且高质量,19.68,21.39,0.08689024390243905,0.123970014686962,
sh.600030,中信证券,J67资本市场服务,金融,PB,PB低估,25.51,100,100.0,79.1,28.9,91.8,0.0,0.0,0.0,"Q1价值线=36.52, 现价/价值=0.70, 扣非同比=31.2%, 市值=3926.7亿",-0.03880934438583261,-0.05343228200371053,3926.7307801418447,36.51578010412827,0.6986020818193059,,,,,财报后主线候选,价值线附近/业绩强,73.4,财报后主线候选,25.51,27.15,0.06428851430811444,0.08479548821737559,0.3123
