code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,raw_return,qfq_return
sh.603799,华友钴业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,34.46,100.0,100.0,92.5,61.7,81.7,95.5,59.0,68.9,"Q1价值线=70.99, 现价/价值=0.49, akshare东方财富扣非净利润同比=116.1%, 市值=573.6亿",0.015022091310751051,0.1618341200269724,573.5915519770684,70.99335334816661,0.4853975530779731,2.28,2.28,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,95.5,价值线左侧确认,1.16054575066279,34.46,58.31,33.96146718,58.31,0.692106790481718,0.7169458460363256
sh.601600,中国铝业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,6.49,100.0,100.0,80.0,0.0,81.8,91.2,34.4,35.5,"Q1价值线=15.23, 现价/价值=0.43, akshare东方财富扣非净利润同比=57.8%, 市值=1113.3亿",-0.1300268096514745,-0.17219387755102034,1113.3095697707738,15.22629322330738,0.4262363731486234,0.698,0.698,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,91.2,价值线左侧确认,0.57824440783802,6.49,10.52,6.29032866,10.52,0.6209553158705701,0.6724086400916292
sh.601677,明泰铝业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,12.12,100.0,100.0,80.4,31.4,52.3,88.4,43.1,53.9,"Q1价值线=31.38, 现价/价值=0.39, akshare东方财富扣非净利润同比=41.7%, 市值=144.8亿",-0.05312500000000009,0.006644518272425293,144.82764665092563,31.381216638304238,0.3862182954757147,1.21,1.21,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,88.4,价值线左侧确认,0.4172846952144,12.12,16.95,11.91901404,16.95,0.39851485148514865,0.4220974942319977
sh.601717,中创智领,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,15.37,100.0,100.0,74.8,88.2,67.0,87.9,79.6,83.8,"Q1价值线=34.22, 现价/价值=0.45, akshare东方财富扣非净利润同比=6.9%, 市值=273.4亿",-0.009664948453608324,0.21023622047244106,273.3831762517656,34.22439389727171,0.4490948779439235,2.026,2.026,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,87.9,价值线左侧确认,0.06861366118276,15.37,18.1,14.40398013,18.1,0.1776187378009111,0.2565971236173874
sh.601137,博威合金,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,18.1,96.2,96.2,83.6,46.4,56.3,87.8,41.4,46.1,"Q1价值线=31.41, 现价/价值=0.58, akshare东方财富扣非净利润同比=21.9%, 市值=141.1亿",-0.1008445106805761,-0.07227063044592519,141.07236421255297,31.409445358645232,0.5762597776983064,1.7,1.7,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,87.8,价值线左侧确认,0.21947775046718998,18.1,19.85,17.5846206,19.85,0.09668508287292821,0.12882731174763018
sh.601766,中国中车,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,7.05,100.0,100.0,71.2,31.8,75.9,87.5,59.6,70.9,"Q1价值线=20.68, 现价/价值=0.34, akshare东方财富扣非净利润同比=320.2%, 市值=2043.1亿",0.017316017316017396,-0.038199181446111896,2043.102287142857,20.6812539219362,0.34088842130225977,0.35,0.35,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,87.5,价值线左侧确认,3.2019862195352,7.05,5.88,6.7540551,5.88,-0.16595744680851066,-0.12941189952684873
sh.601900,南方传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,17.61,91.8,91.8,89.2,84.6,50.6,86.8,82.0,84.1,"Q1价值线=29.01, 现价/价值=0.61, akshare东方财富扣非净利润同比=81.4%, 市值=154.8亿",0.10754716981132062,0.04759071980963725,154.82995907432522,29.00561281000656,0.6071238734154507,1.07,1.07,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,86.8,价值线左侧确认,0.81445737250594,17.61,12.3,16.96473438,12.3,-0.30153321976149905,-0.27496654386167874
sh.601019,山东出版,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,9.85,98.0,98.0,71.6,28.1,48.5,83.8,54.2,66.2,"Q1价值线=17.47, 现价/价值=0.56, akshare东方财富扣非净利润同比=49.3%, 市值=205.4亿",-0.011044176706827447,-0.09132841328413288,205.4421304539338,17.47164094483891,0.56377074317737,0.68,0.68,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,83.8,价值线左侧确认,0.49257343387631003,9.85,7.25,9.49627665,7.25,-0.2639593908629442,-0.23654288230956289
sh.601899,紫金矿业,B09有色金属矿采选业,资源金属,VALUE,基本价值线,17.76,75.0,74.9,92.5,82.6,100.0,83.6,70.0,52.9,"Q1价值线=24.48, 现价/价值=0.73, akshare东方财富扣非净利润同比=58.8%, 市值=4690.5亿",0.014857142857142902,0.0783242258652097,4690.494389532,24.48172023462888,0.725439218722827,1.2,1.2,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,83.6,价值线左侧确认,0.58761386050299,17.76,31.3,17.370612,31.3,0.7623873873873872,0.8018939113947166
sh.601811,新华文轩,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,15.26,97.1,97.1,72.7,35.3,40.9,83.0,56.1,67.0,"Q1价值线=26.76, 现价/价值=0.57, akshare东方财富扣非净利润同比=10.1%, 市值=188.8亿",-0.01293661060802076,0.05386740331491713,188.83991178100894,26.76221569641638,0.5702068981546773,1.34,1.34,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,83.0,价值线左侧确认,0.10124582886167,15.26,13.17,14.6608924,13.17,-0.13695937090432497,-0.10169179060341516
sh.603129,春风动力,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,167.5,75.0,51.3,100.0,45.0,66.0,82.8,74.4,76.5,"Q1价值线=188.08, 现价/价值=0.89, akshare东方财富扣非净利润同比=50.8%, 市值=253.1亿",-0.12441191845269217,-0.14836282285946722,253.10573877686062,188.07521148730578,0.8906011519296124,9.54,9.54,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,82.8,价值线左侧确认,0.50840973468244,167.5,247.46,163.9173425,247.46,0.47737313432835826,0.5096633231471528
sh.603236,移远通信,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,77.61,85.0,61.6,92.5,45.5,78.0,82.6,73.5,78.1,"价值线=94.77, 现价/价值=0.82, 扣非EPS=2.01, akshare东方财富扣非净利润同比=290.8%, 市值=205.5亿",-0.0702048640230023,-0.09703315881326358,205.48522015281196,94.77324506024333,0.8189020007773989,2.01,2.01,1.0,年报扣非EPS,,,,,低估价值,深度低估,82.6,低估价值,,77.61,74.7,76.77002697,74.7,-0.037495168148434455,-0.026963999515187353
sh.601336,新华保险,J68保险业,金融,PE,PE低估,48.6,99.4,99.4,55.5,52.3,78.9,81.7,60.1,70.9,"PE=5.58, 低估均值=9.20, 比值=0.61, 分位=0%",-0.06735751295336789,0.03602643359624813,,,,,,,,5.580256,9.1956168,0.606838684274012,0.0008163265306122449,低估价值,价值线内/历史低位,81.7,低估价值,,48.6,60.12,46.6745652,60.12,0.23703703703703694,0.2880677033066392
sh.601098,中南传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,14.14,85.1,85.1,82.9,55.5,53.5,81.2,69.0,73.6,"Q1价值线=21.61, 现价/价值=0.65, akshare东方财富扣非净利润同比=48.1%, 市值=255.3亿",-0.014634146341463317,0.05917602996254678,255.26236024656745,21.614141904190618,0.6542013123943863,0.86,0.86,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,81.2,价值线左侧确认,0.4806082160017,14.14,11.2,13.56512416,11.2,-0.207920792079208,-0.17435329983739722
