code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,end_quote_time,end_quote_trade_date,buy_close_raw,end_close_raw,raw_return,qfq_return,earnings_yoy,buy_close_qfq,end_close_qfq,buy_trade_date,end_trade_date,source_layer,theme_momentum_score,relative_ret60,volume_ratio_20_120,portfolio_score,final_selected,final_rank,portfolio_profile
sz.300373,扬杰科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,69.1,50.0,0.0,82.2,100.0,81.7,0.0,92.9,0.0,"半导体/电子右侧动量, 20/60日涨幅=26.3%/41.8%, 相对60日=27.8%, 量能20/120=1.64, 市值=374.3亿",0.2627923976608186,0.4183087027914614,374.29423766827273,40.06473008676673,1.7247089859423148,1.76,1.76,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,92.9,主题右侧动量,,,69.1,81.4,0.1780028943560059,0.1930013067849059,,68.2312748,81.4,,,theme_momentum,92.9,0.278,1.64,125.006,True,11,theme
sh.603019,中科曙光,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,92.14,50.0,0.0,86.0,100.0,100.0,0.0,95.0,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=32.9%/48.9%, 相对60日=34.9%, 量能20/120=2.38, 市值=1344.5亿",0.3288145370637438,0.4885298869143781,1344.5387175949002,28.81505972767249,3.1976334899460053,0.94,0.94,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,92.14,98.7,0.0711960060777079,0.0720665240952731,,92.06518232,98.7,,,theme_momentum,95.0,0.349,2.38,124.953,True,12,theme
sh.688591,泰凌微,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,58.47,50.0,0.0,64.5,100.0,73.1,0.0,93.1,0.0,"半导体/电子右侧动量, 20/60日涨幅=25.0%/55.7%, 相对60日=41.7%, 量能20/120=1.59, 市值=139.8亿",0.2496259884590723,0.5567092651757186,139.76386839195789,23.66964499486207,2.4702525117166725,0.38,0.38,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,93.1,主题右侧动量,,,58.47,36.32,-0.3788267487600478,-0.3788267487600478,,58.47,36.32,,,theme_momentum,93.1,0.41700000000000004,1.59,124.887,True,13,theme
sz.002273,水晶光电,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,27.32,50.0,0.0,59.1,100.0,91.6,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=31.5%/41.4%, 相对60日=27.4%, 量能20/120=2.04, 市值=372.9亿",0.3147256977863328,0.4140786749482401,372.8758318883257,14.646630875900868,1.8652753818594223,0.7,0.7,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,27.32,37.3,0.3653001464128842,0.3706016335313837,,27.21432624,37.3,,,theme_momentum,95.0,0.27399999999999997,2.04,124.854,True,14,theme
sh.603486,科沃斯,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,93.0,50.0,0.0,86.8,98.1,74.9,0.0,90.6,0.0,"半导体/电子右侧动量, 20/60日涨幅=13.2%/74.7%, 相对60日=60.8%, 量能20/120=1.58, 市值=524.5亿",0.1316622049160378,0.7474633596392335,524.471111672126,33.41291526152539,2.783354857607665,1.27,1.27,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,90.6,主题右侧动量,,,93.0,68.12,-0.26752688172043,-0.26752688172043,,93.0,68.12,,,theme_momentum,90.6,0.608,1.58,124.846,True,15,theme
sz.300602,飞荣达,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,32.1,50.0,0.0,69.2,100.0,89.3,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=30.2%/68.5%, 相对60日=54.5%, 量能20/120=3.14, 市值=233.8亿",0.3017031630170317,0.6850393700787403,233.8220150033333,11.939533640546111,2.6885472218939825,0.27,0.27,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,32.1,38.79,0.2084112149532708,0.2084112149532708,,32.1,38.79,,,theme_momentum,95.0,0.545,3.14,124.836,True,16,theme
sz.300747,锐科激光,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,33.87,50.0,0.0,22.5,96.1,77.6,0.0,89.8,0.0,"半导体/电子右侧动量, 20/60日涨幅=7.9%/61.7%, 相对60日=47.8%, 量能20/120=1.73, 市值=190.3亿",0.0793499043977055,0.6174785100286531,190.3182721305085,6.206275390536038,5.4573794858746405,0.0531,0.0531,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,89.8,主题右侧动量,,,33.87,38.01,0.1222320637732508,0.1233239346377184,,33.83707836,38.01,,,theme_momentum,89.8,0.478,1.73,124.666,True,17,theme
sh.688400,凌云光,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,38.86,50.0,0.0,28.8,100.0,73.8,0.0,93.5,0.0,"半导体/电子右侧动量, 20/60日涨幅=24.1%/43.0%, 相对60日=29.0%, 量能20/120=2.06, 市值=183.3亿",0.2407407407407407,0.4302539565697458,183.31983695075715,10.246648945162033,3.792459389208195,0.14,0.14,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,93.5,主题右侧动量,,,38.86,68.9,0.7730313947503862,0.7730313947503862,,38.86,68.9,,,theme_momentum,93.5,0.29,2.06,124.472,True,18,theme
sz.002185,华天科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,11.9,50.0,0.0,50.0,100.0,85.7,0.0,86.8,0.0,"半导体/电子右侧动量, 20/60日涨幅=17.9%/33.1%, 相对60日=19.1%, 量能20/120=2.11, 市值=382.4亿",0.1793855302279485,0.331096196868009,382.3951324105769,5.45071634486473,2.1831992800746858,0.0104,0.0104,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,86.8,主题右侧动量,,,11.9,14.69,0.2344537815126048,0.2344537815126048,,11.9,14.69,,,theme_momentum,86.8,0.191,2.11,124.412,True,19,theme
sh.600118,中国卫星,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,36.73,50.0,0.0,15.0,100.0,91.5,0.0,88.7,0.0,"半导体/电子右侧动量, 20/60日涨幅=24.2%/33.3%, 相对60日=19.3%, 量能20/120=2.99, 市值=512.6亿",0.2421373013189041,0.3327285921625544,512.6406099999999,4.798321726158917,7.65475974646714,0.0034290320269398,0.0034290320269398,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,88.7,主题右侧动量,,,36.73,96.92,1.6387149469098832,1.6387149469098832,,36.73,96.92,,,theme_momentum,88.7,0.193,2.99,124.397,True,20,theme
sz.300709,精研科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,57.71,50.0,0.0,58.1,100.0,77.4,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=30.2%/52.1%, 相对60日=38.1%, 量能20/120=2.07, 市值=107.9亿",0.3018272050530115,0.5210859251449658,107.91976691571112,19.78245839431542,2.917230955308529,0.54,0.54,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,57.71,48.8,-0.1543926529197713,-0.1543926529197713,,57.71,48.8,,,theme_momentum,95.0,0.381,2.07,124.203,True,21,theme
sz.300035,中科电气,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,21.4,75.0,45.3,67.5,100.0,79.6,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=30.3%/45.3%, 相对60日=31.3%, 量能20/120=1.68, 市值=147.7亿",0.3032886723507915,0.4528173794976238,147.6501993088112,22.93355946173439,0.9331303339853022,0.5005,0.5005,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,21.4,18.77,-0.1228971962616821,-0.1228971962616821,,21.4,18.77,,,theme_momentum,95.0,0.313,1.68,124.119,True,22,theme
sh.600460,士兰微,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,31.83,50.0,0.0,58.8,100.0,96.1,0.0,87.1,0.0,"半导体/电子右侧动量, 20/60日涨幅=22.0%/30.2%, 相对60日=16.2%, 量能20/120=2.99, 市值=534.1亿",0.2200076657723264,0.3023731587561373,534.10807763948,10.58891721383481,3.005973071393261,0.15,0.15,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,87.1,主题右侧动量,,,31.83,31.05,-0.0245051837888783,-0.0245051837888783,,31.83,31.05,,,theme_momentum,87.1,0.162,2.99,123.925,True,23,theme
sh.603236,移远通信,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,106.81,50.0,0.0,92.5,100.0,85.2,0.0,90.6,0.0,"半导体/电子右侧动量, 20/60日涨幅=29.9%/39.0%, 相对60日=25.0%, 量能20/120=1.55, 市值=282.8亿",0.2992336698698457,0.3902121567096186,282.79701539133936,64.93555764345689,1.644861519269058,2.01,2.01,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,90.6,主题右侧动量,,,106.81,74.7,-0.3006272820896919,-0.3006272820896919,,106.81,74.7,,,theme_momentum,90.6,0.25,1.55,123.912,True,24,theme
sh.600498,烽火通信,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,27.16,50.0,0.0,66.0,99.7,87.2,0.0,84.5,0.0,"半导体/电子右侧动量, 20/60日涨幅=23.0%/29.4%, 相对60日=15.4%, 量能20/120=2.31, 市值=311.2亿",0.2295156179266637,0.2939494997617915,311.21438493870176,18.755456770812486,1.4481118925488814,0.57,0.57,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,84.5,主题右侧动量,,,27.16,56.17,1.068114874815906,1.068114874815906,,27.16,56.17,,,theme_momentum,84.5,0.154,2.31,123.892,True,25,theme
sz.001267,汇绿生态,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,15.9,50.0,0.0,50.0,100.0,71.0,0.0,94.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=19.3%/78.3%, 相对60日=64.3%, 量能20/120=2.41, 市值=128.0亿",0.1927981995498875,0.782511210762332,127.958631877,2.930688481350676,5.425346331136538,0.06,0.06,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.0,主题右侧动量,,,15.9,66.82,3.20251572327044,3.2061329976484174,,15.886326,66.82,,,theme_momentum,94.0,0.643,2.41,123.699,True,26,theme
sh.600330,天通股份,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,10.05,50.0,0.0,15.0,100.0,76.3,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=28.0%/45.2%, 相对60日=31.2%, 量能20/120=2.90, 市值=117.6亿",0.2802547770700638,0.4523121387283237,117.612788652,6.509288283530647,1.543947596456562,0.01,0.01,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,10.05,30.08,1.9930348258706465,1.9930348258706465,,10.05,30.08,,,theme_momentum,95.0,0.312,2.9,123.574,True,27,theme
sh.688347,华虹公司,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,85.71,50.0,0.0,16.0,100.0,93.7,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=35.8%/70.3%, 相对60日=56.3%, 量能20/120=2.96, 市值=1501.6亿",0.3583201267828841,0.7032988871224164,1501.6425391391567,25.68353351926082,3.337157635872946,0.14,0.14,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,,,85.71,147.8,0.7244195543110492,0.7244195543110492,,85.71,147.8,,,theme_momentum,95.0,0.563,2.96,123.494,True,28,theme
sz.302132,中航成飞,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,105.59,50.0,0.0,59.0,98.3,95.0,0.0,79.1,0.0,"半导体/电子右侧动量, 20/60日涨幅=25.1%/26.5%, 相对60日=12.6%, 量能20/120=1.23, 市值=624.7亿",0.2507699597251835,0.2654602109300097,624.7355118833062,27.4548284476764,3.8459537345583534,0.16,0.16,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,79.1,主题右侧动量,,,105.59,67.21,-0.3634813902831708,-0.3634813902831708,,105.59,67.21,,,theme_momentum,79.1,0.126,1.23,123.489,True,29,theme
sz.301308,江波龙,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,100.14,50.0,0.0,22.5,98.2,79.3,0.0,84.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=13.4%/35.5%, 相对60日=21.5%, 量能20/120=1.60, 市值=416.9亿",0.1340883352208381,0.3550744248985114,416.939487047955,16.31841930869064,6.1366237811200754,0.4,0.4,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,84.0,主题右侧动量,,,100.14,592.22,4.913920511284203,4.913920511284203,,100.14,592.22,,,theme_momentum,84.0,0.215,1.6,123.435,True,30,theme
