code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,end_quote_time,end_quote_trade_date,buy_close_raw,end_close_raw,raw_return,qfq_return,earnings_yoy,buy_close_qfq,end_close_qfq,buy_trade_date,end_trade_date,portfolio_score,final_selected,final_rank,portfolio_profile
sz.002056,横店东磁,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,18.54,85.0,72.0,80.9,100.0,78.7,84.7,87.5,86.1,"价值线=24.86, 现价/价值=0.75, 扣非EPS=1.04, akshare东方财富扣非净利润同比=77.8%, 市值=298.8亿",0.195357833655706,0.3733333333333333,298.7861010506024,24.86094808942558,0.7457479068501757,1.0375,1.0375,1.0,年报扣非EPS,,,,,低估且高质量,深度低估且高质量,86.1,低估且高质量,2026-05-19 15:34:21,2026-05-19,18.54,19.61,0.057713052858684,0.0771644892047431,,18.20520468,19.61,2025-09-01,2026-05-18,107.693,True,11,focused
sh.601877,正泰电器,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,27.9,85.4,85.4,82.4,97.2,72.0,84.3,86.2,85.2,"价值线=42.77, 现价/价值=0.65, 扣非EPS=1.72, akshare东方财富扣非净利润同比=32.6%, 市值=596.7亿",0.2274527056753188,0.2444246208742193,596.6842800059477,42.76986762878724,0.6523284159341486,1.72,1.72,1.0,年报扣非EPS,,,,,低估且高质量,深度低估且高质量,85.2,低估且高质量,2026-05-19 16:12:02,2026-05-19,27.9,32.21,0.1544802867383512,0.1544802867383512,,27.9,32.21,2025-09-01,2026-05-18,105.893,True,12,focused
sh.601717,中创智领,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,21.71,89.1,89.1,76.8,98.8,68.1,84.3,83.8,84.0,"价值线=34.66, 现价/价值=0.63, 扣非EPS=2.03, akshare东方财富扣非净利润同比=10.2%, 市值=386.2亿",0.2549132947976877,0.2755581668625146,386.15151310512886,34.65888463994577,0.6263906131294931,2.026,2.026,1.0,年报扣非EPS,,,,,低估且高质量,深度低估且高质量,84.0,低估且高质量,2026-05-19 16:11:59,2026-05-19,,,,,,,,,,105.093,True,13,focused
sz.002353,杰瑞股份,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,47.2,75.0,51.5,90.6,100.0,66.1,81.3,89.4,85.4,"价值线=53.07, 现价/价值=0.89, 扣非EPS=2.37, akshare东方财富扣非净利润同比=33.9%, 市值=478.4亿",0.2016293279022403,0.3649508386350493,478.40063891665824,53.07300797692399,0.8893409625571335,2.37,2.37,1.0,年报扣非EPS,,,,,低估且高质量,低估且高质量,85.4,低估且高质量,2026-05-19 15:34:24,2026-05-19,47.2,139.15,1.9480932203389831,1.9568039648193407,,47.0609488,139.15,2025-09-01,2026-05-18,104.18,True,14,focused
sh.601900,南方传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,14.11,92.0,92.0,78.6,2.5,47.2,82.8,47.9,61.2,"Q1价值线=23.28, 现价/价值=0.61, akshare东方财富扣非净利润同比=31.7%, 市值=124.1亿",-0.0139762403913348,-0.1306223043746149,124.05739480628785,23.28296306488727,0.6060225221625294,1.07,1.07,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,82.8,价值线左侧确认,2026-05-19 16:11:59,2026-05-19,14.11,12.3,-0.1282778171509566,-0.1282778171509566,0.31657538884638,14.11,12.3,2025-09-01,2026-05-18,102.88,True,15,focused
sh.601137,博威合金,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,25.25,75.0,53.5,75.4,100.0,85.1,76.2,65.4,46.8,"Q1价值线=28.85, 现价/价值=0.88, akshare东方财富扣非净利润同比=7.9%, 市值=196.8亿",0.3656030286641429,0.4387464387464386,196.79984510314708,28.852126680075912,0.8751521258721149,1.7,1.7,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,76.2,价值线左侧确认,2026-05-19 16:11:59,2026-05-19,25.25,19.85,-0.2138613861386138,-0.2138613861386138,0.07884748673123,25.25,19.85,2025-09-01,2026-05-18,101.465,True,16,focused
sh.603979,金诚信,B11开采专业及辅助性活动,资源金属,VALUE,基本价值线,69.05,16.9,16.9,100.0,100.0,64.0,54.8,90.4,72.6,"价值线=61.01, 现价/价值=1.13, 扣非EPS=2.54, akshare东方财富扣非净利润同比=78.5%, 市值=426.9亿",0.4287192220153113,0.6915727584517393,426.8789484199881,61.00687218202494,1.1318397015007906,2.54,2.54,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,90.4,高质量趋势,2026-05-19 16:11:56,2026-05-19,69.05,63.2,-0.0847212165097754,-0.0847212165097754,,69.05,63.2,2025-09-01,2026-05-18,101.45,True,17,focused
sz.000960,锡业股份,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,23.06,75.0,56.0,80.0,100.0,72.9,76.6,61.2,43.5,"Q1价值线=26.87, 现价/价值=0.86, akshare东方财富扣非净利润同比=30.6%, 市值=387.7亿",0.2853957636566331,0.615977575332866,387.71065044214447,26.868666014024683,0.8582487864475048,1.1555,1.1555,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,76.6,价值线左侧确认,2026-05-19 15:34:36,2026-05-19,23.06,37.7,0.6348655680832613,0.6502308676923447,0.30554329422031,22.84528834,37.7,2025-09-01,2026-05-18,101.293,True,18,focused
sh.603508,思维列控,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,37.16,55.0,24.6,98.5,100.0,61.6,73.2,91.3,82.3,"价值线=34.48, 现价/价值=1.08, 扣非EPS=1.44, akshare东方财富扣非净利润同比=56.5%, 市值=141.6亿",0.2448911222780567,0.3357296908698777,141.56176301419998,34.47868204199274,1.077767414506784,1.44,1.44,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,91.3,高质量趋势,2026-05-19 16:11:45,2026-05-19,37.16,25.39,-0.3167384284176533,-0.2748940120659555,,35.01557072,25.39,2025-09-01,2026-05-18,101.072,True,19,focused
sh.601336,新华保险,J68保险业,金融,PE,PE低估,65.75,87.4,87.4,94.0,65.0,87.6,86.9,82.5,84.7,"PE=6.85, 低估均值=9.20, 比值=0.74, 分位=3%",0.0027451578465762,0.2354378053363397,,,,,,,,6.849564,9.1956168,0.7448727093543089,0.0289677682578539,低估且高质量,低估且高质量,84.7,低估且高质量,2026-05-19 16:11:36,2026-05-19,65.75,60.12,-0.0856273764258556,-0.0764024844404467,,65.093289,60.12,2025-09-01,2026-05-18,100.945,True,20,focused
