bucket_set,sort,ptv_min,ptv_max,ret20_min,ret20_max,ret60_min,ret60_max,vol_min,vol_max,score_min,liq_min,sample,count,train_ret_count,train_mean_return,train_median_return,train_win_rate,min_return,max_return,train_names,codes,validate_ret_count,validate_mean_return,validate_median_return,validate_win_rate,validate_names,overfit_gap,joint_score
all,momentum,,,0.0,0.35,0.2,1.5,,,70.0,60.0,train,15,12,0.12727527184264806,-0.016511777455545048,0.5,-0.3563814849380875,0.9118628978410864,同飞股份、冰川网络、阳光电源、成都先导、微导纳米、运达股份、中科电气、扬杰科技,"sz.300990,sz.300533,sz.300274,sh.688222,sh.688147,sz.300772,sz.300035,sz.300373",20,0.3813940055160261,0.373369294055635,0.8,莱特光电、欧科亿、佰维存储、南亚新材、欧陆通、芯碁微装、广钢气体、新锐股份,0.0,0.3943534588261861
all,momentum,,,0.0,0.35,0.2,1.5,,,70.0,,train,19,16,0.09055446433925919,-0.016511777455545048,0.5,-0.3933674226045848,0.9118628978410864,同飞股份、冰川网络、阳光电源、成都先导、微导纳米、新强联、世华科技、运达股份,"sz.300990,sz.300533,sz.300274,sh.688222,sh.688147,sz.300850,sh.688093,sz.300772",20,0.3813940055160261,0.373369294055635,0.8,莱特光电、欧科亿、佰维存储、南亚新材、欧陆通、芯碁微装、广钢气体、新锐股份,0.0,0.3943534588261861
all,value,,,0.0,0.35,0.0,0.8,0.8,,,60.0,train,20,16,0.47140627768707744,0.2807235119336886,0.6875,-0.3776825353147141,4.188522004581535,长芯博创、新强联、成都先导、时代电气、运达股份、微导纳米、中科电气、阳光电源,"sz.300548,sz.300850,sh.688222,sh.688187,sz.300772,sh.688147,sz.300035,sz.300274",20,0.32867054044661626,0.2054237829209283,0.9,锐科激光、麦捷科技、宇瞳光学、路维光电、明阳电路、聚飞光电、上海新阳、电连技术,0.14273573724046118,0.39083880109053193
all,momentum,,,-0.2,0.2,,,0.8,,,60.0,train,20,19,0.23496189014322286,0.0472696673168642,0.631578947368421,-0.3613756613756613,3.402231391399943,胜宏科技、冰川网络、成都先导、英科医疗、铁建重工、南微医学、安科生物、星源材质,"sz.300476,sz.300533,sh.688222,sz.300677,sh.688425,sh.688029,sz.300009,sz.300568",14,0.3629488227407296,0.2970150585691812,0.7857142857142857,佰维存储、欧陆通、芯碁微装、华丰科技、德科立、光库科技、龙磁科技、明阳电路,0.0,0.3893913402930652
all,momentum,,,-0.2,0.2,0.0,0.8,0.8,,,60.0,train,20,19,0.23496189014322286,0.0472696673168642,0.631578947368421,-0.3613756613756613,3.402231391399943,胜宏科技、冰川网络、成都先导、英科医疗、铁建重工、南微医学、安科生物、星源材质,"sz.300476,sz.300533,sh.688222,sz.300677,sh.688425,sh.688029,sz.300009,sz.300568",13,0.3680113675995071,0.2968943775617403,0.7692307692307693,欧陆通、芯碁微装、华丰科技、德科立、光库科技、龙磁科技、明阳电路、聚飞光电,0.0,0.38866053326924965
all,momentum,,,0.0,0.35,,,,,,,train,20,18,0.06388107396821119,-0.032480258312741345,0.4444444444444444,-0.3933674226045848,0.9118628978410864,同飞股份、冰川网络、阳光电源、成都先导、微导纳米、新强联、世华科技、运达股份,"sz.300990,sz.300533,sz.300274,sh.688222,sh.688147,sz.300850,sh.688093,sz.300772",20,0.3813940055160261,0.373369294055635,0.8,莱特光电、欧科亿、佰维存储、南亚新材、欧陆通、芯碁微装、广钢气体、新锐股份,0.0,0.3864026311420511
all,momentum,,,0.0,0.35,0.2,1.5,,,,,train,20,18,0.06388107396821119,-0.032480258312741345,0.4444444444444444,-0.3933674226045848,0.9118628978410864,同飞股份、冰川网络、阳光电源、成都先导、微导纳米、新强联、世华科技、运达股份,"sz.300990,sz.300533,sz.300274,sh.688222,sh.688147,sz.300850,sh.688093,sz.300772",20,0.3813940055160261,0.373369294055635,0.8,莱特光电、欧科亿、佰维存储、南亚新材、欧陆通、芯碁微装、广钢气体、新锐股份,0.0,0.3864026311420511
all,momentum,,,-0.2,0.2,,,0.8,,,,train,20,20,0.26236115402663346,0.045164158083079456,0.6,-0.4109851606618088,3.402231391399943,胜宏科技、冰川网络、成都先导、英科医疗、新强联、铁建重工、南微医学、金博股份,"sz.300476,sz.300533,sh.688222,sz.300677,sz.300850,sh.688425,sh.688029,sh.688598",14,0.3629488227407296,0.2970150585691812,0.7857142857142857,佰维存储、欧陆通、芯碁微装、华丰科技、德科立、光库科技、龙磁科技、明阳电路,0.0,0.3859176191711554
all,value,,,-0.2,0.2,0.0,0.8,0.8,,,60.0,train,20,18,0.2915419033740189,0.038461963615574246,0.6111111111111112,-0.3776825353147141,3.402231391399943,锦浪科技、新强联、中科电气、成都先导、时代电气、英科医疗、铁建重工、阿特斯,"sz.300763,sz.300850,sz.300035,sh.688222,sh.688187,sz.300677,sh.688425,sh.688472",13,0.3680113675995071,0.2968943775617403,0.7692307692307693,麦捷科技、宇瞳光学、明阳电路、聚飞光电、华虹公司、铂科新材、华丰科技、芯碁微装,0.0,0.3852925940883252
all,momentum,,,-0.2,0.2,0.0,0.8,0.8,,,,train,20,20,0.26236115402663346,0.045164158083079456,0.6,-0.4109851606618088,3.402231391399943,胜宏科技、冰川网络、成都先导、英科医疗、新强联、铁建重工、南微医学、金博股份,"sz.300476,sz.300533,sh.688222,sz.300677,sz.300850,sh.688425,sh.688029,sh.688598",13,0.3680113675995071,0.2968943775617403,0.7692307692307693,欧陆通、芯碁微装、华丰科技、德科立、光库科技、龙磁科技、明阳电路、聚飞光电,0.0,0.38518681214733985
