code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,raw_return,qfq_return,end_quote_time,end_quote_trade_date
sz.300133,华策影视,R87广播、电视、电影和录音制作业,R87广播、电视、电影和录音制作业,VALUE,基本价值线,7.35,100.0,100.0,50.0,30.7,66.9,74.8,48.3,61.5,"价值线=48.73, 现价/价值=0.15, 扣非EPS=0.09, akshare东方财富扣非净利润同比=4892.1%, 市值=139.2亿",-0.010767160161507361,-0.03921568627450989,139.1529163395,48.73089690211344,0.15082833412165728,0.09,0.09,1.0,年报扣非EPS,,,,,低估价值,深度低估,74.8,低估价值,,7.35,9.66,7.33899705,9.66,0.3142857142857143,0.3162561497418779,,
sz.300433,蓝思科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,21.5,53.3,53.3,79.0,45.0,91.3,0.0,0.0,0.0,"Q1价值线=20.48, 现价/价值=1.05, akshare东方财富扣非净利润同比=61.0%, 市值=1070.3亿",-0.14952531645569622,-0.16309848189957188,1070.2889447412877,20.478065855198295,1.0499038411160442,0.66,0.66,1.0,年报扣非EPS,,,,,财报后主线候选,价值线附近/业绩强,73.2,财报后主线候选,0.60986306093656,21.5,38.7,21.0388035,38.7,0.8,0.8394582182394545,,
sz.300596,利安隆,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,PB,PB低估,28.65,99.2,99.2,28.6,51.6,45.1,71.4,42.7,57.0,"PB=1.44, 低估均值=3.28, 比值=0.44, 分位=6%",-0.061271297509829625,0.018123667377398567,,,,,,,,1.439331,3.2845748333333336,0.43820922738402107,0.0626865671641791,低估价值,价值线内/历史低位,71.4,低估价值,,28.65,45.76,28.2792117,45.76,0.5972076788830716,0.6181497732484529,,
sz.300618,寒锐钴业,C32有色金属冶炼和压延加工业,资源金属,PB,PB低估,32.73,95.3,95.3,40.2,29.6,53.4,70.7,41.2,56.0,"PB=1.83, 低估均值=6.05, 比值=0.30, 分位=12%",-0.09284922394678496,-0.007881176113974098,,,,,,,,1.832893,6.048595199999999,0.30302788323477164,0.12405446293494705,低估价值,价值线内/历史低位,70.7,低估价值,,32.73,42.26,32.58572616,42.26,0.291170180262756,0.2968868575307513,,
sz.300285,国瓷材料,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,PB,PB低估,17.27,100.0,100.0,19.2,30.5,52.1,68.1,32.1,50.1,"PB=2.51, 低估均值=4.54, 比值=0.55, 分位=2%",-0.0690026954177898,0.0005793742757820297,,,,,,,,2.513071,4.542415909090909,0.5532454645930804,0.018775510204081632,低估价值,价值线内/历史低位,68.1,低估价值,,17.27,38.9,17.07336378,38.9,1.252460914881297,1.278402809267618,,
sz.003037,三和管桩,C30非金属矿物制品业,资源金属,PB,PB低估,6.88,88.4,88.4,31.1,69.6,39.7,67.3,48.7,58.0,"PB=1.48, 低估均值=2.36, 比值=0.63, 分位=20%",0.12418300653594772,0.13531353135313529,,,,,,,,1.477458,2.35901875,0.6263019316823997,0.19707317073170733,低估价值,价值线内/历史低位,67.3,低估价值,,6.88,6.93,6.8345576,6.93,0.007267441860465018,0.013964678562369492,,
sz.300573,兴齐眼药,C27医药制造业,医药医疗,PE,PE低估,82.72,75.0,73.8,57.0,44.0,67.3,66.6,54.9,60.8,"PE=32.27, 低估均值=35.77, 比值=0.90, 分位=1%",0.046558704453441235,0.18340486409155932,,,,,,,,32.271494,35.773605,0.9021034922256226,0.007356547327121138,低估价值,价值线内/历史低位,66.6,低估价值,,82.72,66.73,57.72648288,66.73,-0.1933027079303674,0.15596857232262407,,
sz.300705,九典制药,C27医药制造业,医药医疗,PE,PE低估,16.26,100.0,100.0,18.4,7.2,59.7,66.3,24.7,45.5,"PE=15.74, 低估均值=26.42, 比值=0.60, 分位=1%",-0.13141025641025628,0.043645699614891065,,,,,,,,15.743261,26.420471555555558,0.59587358109396,0.00979858464888405,低估价值,价值线内/历史低位,66.3,低估价值,,16.26,12.07,15.94258854,12.07,-0.2576875768757688,-0.24290839158795718,,
sz.300140,节能环境,N77生态保护和环境治理业,N77生态保护和环境治理业,VALUE,基本价值线,5.73,85.0,64.8,56.6,32.4,29.8,65.7,45.5,55.6,"价值线=7.19, 现价/价值=0.80, 扣非EPS=0.19, akshare东方财富扣非净利润同比=44.7%, 市值=178.2亿",-0.018835616438356073,0.0017482517482518833,178.1697918668572,7.194461376989755,0.7964460019656813,0.189,0.189,1.0,年报扣非EPS,,,,,低估价值,深度低估,65.7,低估价值,,5.73,6.78,5.6184942,6.78,0.18324607329842935,0.20672902002817772,,
sz.300174,元力股份,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,PB,PB低估,14.74,100.0,100.0,13.3,29.1,39.8,65.2,27.1,46.2,"PB=1.60, 低估均值=3.11, 比值=0.51, 分位=4%",-0.06826801517067005,-0.026420079260237816,,,,,,,,1.600774,3.113702625,0.5141062563737923,0.03877551020408163,低估价值,价值线内/历史低位,65.2,低估价值,,14.74,17.9,14.53411168,17.9,0.21438263229307997,0.23158541740337024,,
