code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,buy_trade_date,end_trade_date,raw_return,qfq_return,earnings_yoy,theme_momentum_score,relative_ret20,relative_ret60,volume_ratio_20_120,portfolio_score,final_selected,final_rank,portfolio_profile
sh.603002,宏昌电子,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,15.83,50.0,0.0,15.0,100.0,84.6,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=22.8%/67.3%, 相对60日=66.3%, 量能20/120=2.22, 市值=158.0亿",0.22808378588052758,0.6733615221987315,158.04560171603333,3.0085402453820036,5.261687964553061,0.03,0.03,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,15.83,15.83,15.83,15.83,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.19997635533626656,0.6633903546218474,2.2220604414878316,126.66,True,11,theme
sz.001309,德明利,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,699.16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,"价值线=1418.79, 现价/价值=0.49, 扣非EPS=2.99, akshare东方财富扣非净利润同比=4547.5%, 市值=1562.6亿",0.35286377708978334,1.9432119553778149,1562.5922669550912,1418.7949047167986,0.49278440292929954,2.99,2.99,1.0,年报扣非EPS,,,,,低估且高质量,深度低估且高质量,100.0,低估且高质量,699.16,699.16,699.16,699.16,2026-05-19,2026-05-19,0.0,0.0,,,,,,126.473,True,12,theme
sz.301150,中一科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,71.75,50.0,0.0,50.2,99.9,81.8,0.0,94.2,0.0,"半导体/电子右侧动量, 20/60日涨幅=17.8%/59.4%, 相对60日=58.4%, 量能20/120=1.60, 市值=168.7亿",0.17796749302249237,0.5937361172812083,168.70919956227272,23.134256738046304,3.1014612145287064,0.11,0.11,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.2,主题右侧动量,71.75,71.75,71.75,71.75,2026-05-19,2026-05-19,0.0,0.0,,94.2,0.14986006247823136,0.5837649497043242,1.5952668420038432,126.207,True,13,theme
sz.001389,广合科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,176.32,50.0,0.0,100.0,100.0,90.6,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=30.0%/73.5%, 相对60日=72.5%, 量能20/120=1.79, 市值=744.5亿",0.2998157021747143,0.7345794392523364,744.4981799585366,54.541789367462165,3.232750557780319,2.34,2.34,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,176.32,176.32,176.32,176.32,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.2717082716304533,0.7246082716754523,1.789553711109392,125.989,True,14,theme
sz.002432,九安医疗,C35专用设备制造业,医药医疗,VALUE,基本价值线,73.93,94.6,94.6,99.9,67.4,95.9,96.6,87.7,90.6,"2026Q1价值线=125.72, 现价/价值=0.59, akshare东方财富扣非净利润同比=49.9%, 市值=320.5亿",-0.017933049946864954,0.7494084240416472,320.47024400574327,125.71643308307355,0.588069500437918,5.2878,5.2878,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,96.6,价值线左侧确认,73.93,73.93,73.93,73.93,2026-05-19,2026-05-19,0.0,0.0,0.49851347868192003,,,,,125.901,True,15,theme
sh.600498,烽火通信,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,56.61,50.0,0.0,28.0,98.9,100.0,0.0,87.1,0.0,"半导体/电子右侧动量, 20/60日涨幅=16.4%/29.1%, 相对60日=28.1%, 量能20/120=1.31, 市值=695.3亿",0.1640962368908081,0.2906976744186047,695.2717694190937,14.99640103528596,3.7749057168315803,0.32,0.32,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,87.1,主题右侧动量,56.61,56.61,56.61,56.61,2026-05-19,2026-05-19,0.0,0.0,,87.1,0.1359888063465471,0.2807265068417206,1.3101478579083567,125.87,True,16,theme
sz.002273,水晶光电,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,38.54,50.0,0.0,58.0,100.0,98.4,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=30.9%/43.0%, 相对60日=42.0%, 量能20/120=1.88, 市值=529.4亿",0.30865874363327683,0.43005565862708717,529.430248252092,15.672775842492118,2.4590411033321957,0.76,0.76,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,38.54,38.54,38.54,38.54,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.2805513130890158,0.42008449105020307,1.8843527695336113,125.735,True,17,theme
sz.000938,紫光股份,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,32.49,50.0,0.0,69.3,98.3,100.0,0.0,89.5,0.0,"半导体/电子右侧动量, 20/60日涨幅=15.7%/28.4%, 相对60日=27.4%, 量能20/120=2.59, 市值=929.3亿",0.15663937344250622,0.28368233899644424,929.310990847827,14.095220455627906,2.3050366684422783,0.5715,0.5715,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,89.5,主题右侧动量,32.49,32.49,32.49,32.49,2026-05-19,2026-05-19,0.0,0.0,,89.5,0.1285319428982452,0.27371117141956014,2.590276851132655,125.665,True,18,theme
sz.301389,隆扬电子,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,72.14,50.0,0.0,28.0,100.0,77.7,0.0,94.9,0.0,"半导体/电子右侧动量, 20/60日涨幅=25.5%/43.9%, 相对60日=42.9%, 量能20/120=1.78, 市值=206.4亿",0.2550452331245652,0.43905844803510874,206.39306362368126,10.383247731940552,6.947729830049771,0.32,0.32,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,94.9,主题右侧动量,72.14,72.14,72.14,72.14,2026-05-19,2026-05-19,0.0,0.0,,94.9,0.22693780258030416,0.42908728045822464,1.7798474118798042,125.58,True,19,theme
sz.300236,上海新阳,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,103.33,50.0,0.0,84.5,100.0,86.4,0.0,87.3,0.0,"半导体/电子右侧动量, 20/60日涨幅=23.5%/30.6%, 相对60日=29.6%, 量能20/120=1.33, 市值=322.0亿",0.2346755884813001,0.305825856186023,322.0434285081726,33.7791417378656,3.0589883189414953,0.8794,0.8794,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,87.3,主题右侧动量,103.33,103.33,103.33,103.33,2026-05-19,2026-05-19,0.0,0.0,,87.3,0.2065681579370391,0.2958546886091389,1.3311833415569871,125.54,True,20,theme
