code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,raw_return,qfq_return,segment_file,segment_order,end_quote_time,end_quote_trade_date,buy_trade_date,end_trade_date,portfolio_score,final_selected,final_rank,portfolio_profile
sh.600060,海信视像,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,23.58,85.0,73.3,79.2,75.3,64.5,80.2,75.9,78.1,"价值线=32.01, 现价/价值=0.74, 扣非EPS=1.38, akshare东方财富扣非净利润同比=19.5%, 市值=310.1亿",-0.07890625,0.0051150895140663,310.13636165868456,32.01027679463418,0.7366384286921464,1.382,1.382,1.0,年报扣非EPS,,,,,低估且高质量,深度低估且高质量,78.1,低估且高质量,,23.58,24.6,22.66184196,24.6,0.0432569974554708,0.0855251767892921,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18,94.321,True,17,theme
sz.300548,长芯博创,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,48.61,100.0,100.0,60.0,60.6,77.0,81.8,64.8,73.3,"价值线=236.11, 现价/价值=0.21, 扣非EPS=0.20, akshare东方财富扣非净利润同比=11416.7%, 市值=140.0亿",0.2457713992824191,0.0127083333333333,140.00038136605497,236.11450290007696,0.2058746896228209,0.2,0.2,1.0,年报扣非EPS,,,,,低估价值,深度低估,81.8,低估价值,,48.61,251.98,48.56488992,251.98,4.183707056161284,4.188522004581535,q1_backtest_2025-05-06_2026-05-18_181316.csv,5,,,2025-05-06,2026-05-18,92.578,True,18,theme
sh.600741,华域汽车,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,17.76,100.0,100.0,67.5,56.7,57.2,81.7,63.8,72.7,"价值线=39.73, 现价/价值=0.45, 扣非EPS=1.83, akshare东方财富扣非净利润同比=7.2%, 市值=560.1亿",-0.0116861435726208,0.0809494826536822,560.0672135905049,39.729810905549975,0.4470194948126233,1.83,1.83,1.0,年报扣非EPS,,,,,低估价值,深度低估,81.7,低估价值,,17.76,17.56,17.00464944,17.56,-0.0112612612612613,0.0326587479477022,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18,91.811,True,19,theme
sz.000333,美的集团,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,74.05,85.0,72.3,93.0,33.4,96.2,83.4,72.2,77.8,"价值线=99.57, 现价/价值=0.74, 扣非EPS=5.04, akshare东方财富扣非净利润同比=38.0%, 市值=5251.3亿",-0.025144813059505,0.0254812352859714,5251.293656547619,99.56930836134208,0.7437030669256915,5.04,5.04,1.0,年报扣非EPS,,,,,低估价值,深度低估,83.4,低估价值,,74.05,82.83,70.19503105,82.83,0.1185685347738014,0.1799980534377154,q1_backtest_2025-05-06_2026-05-18_174148.csv,3,,,2025-05-06,2026-05-18,91.691,True,20,theme
sz.002048,宁波华翔,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,17.0,91.7,91.7,64.8,72.3,63.9,78.9,68.6,73.8,"价值线=27.97, 现价/价值=0.61, 扣非EPS=1.13, akshare东方财富扣非净利润同比=18.3%, 市值=138.4亿",0.1103853690398433,0.3621794871794872,138.40990944044248,27.965614623008555,0.6078893751905364,1.13,1.13,1.0,年报扣非EPS,,,,,低估价值,深度低估,78.9,低估价值,,17.0,29.18,16.579913,29.18,0.7164705882352942,0.7599609841137283,q1_backtest_2025-05-06_2026-05-18_174148.csv,3,,,2025-05-06,2026-05-18,90.945,True,21,theme
sz.002155,湖南黄金,B09有色金属矿采选业,资源金属,PB,PB低估,23.65,22.9,22.9,77.8,95.8,89.9,0.0,0.0,0.0,"Q1价值线=18.50, 现价/价值=1.28, akshare东方财富扣非净利润同比=104.6%, 市值=285.7亿",0.07207615593835,0.3124306326304107,285.7461122609653,18.49889780286326,1.2784545464292174,0.6127659574468085,0.72,1.175,年报扣非EPS送转可比口径(原始0.72/月度加权1.1750),,,,,财报后主线候选,价值线附近/业绩强,76.4,财报后主线候选,1.04566643965031,23.65,26.02,18.0250367,26.02,0.1002114164904863,0.4435476849819673,q1_backtest_2025-05-06_2026-05-18_174148.csv,3,,,2025-05-06,2026-05-18,90.742,True,22,theme
sz.300604,长川科技,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,42.92,100.0,100.0,64.0,32.3,72.2,79.6,55.9,67.8,"价值线=190.93, 现价/价值=0.22, 扣非EPS=0.66, akshare东方财富扣非净利润同比=2709.6%, 市值=269.3亿",0.0182680901542111,-0.0300564971751412,269.320620086,190.9278445102708,0.2247969651052712,0.66,0.66,1.0,年报扣非EPS,,,,,低估价值,深度低估,79.6,低估价值,,42.92,209.17,42.82437424,209.17,3.8734855545200366,3.884367926259744,q1_backtest_2025-05-06_2026-05-18_181316.csv,5,,,2025-05-06,2026-05-18,89.504,True,23,theme
sz.002683,广东宏大,B11开采专业及辅助性活动,B11开采专业及辅助性活动,VALUE,基本价值线,30.56,8.9,8.9,90.3,87.8,55.7,45.9,80.2,63.0,"价值线=25.73, 现价/价值=1.19, 扣非EPS=1.11, akshare东方财富扣非净利润同比=53.2%, 市值=232.2亿",0.0320837554880106,0.169089517980107,232.198125820284,25.733575890705147,1.1875535731914404,1.1126,1.1126,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,80.2,高质量趋势,,30.56,37.36,29.60689472,37.36,0.2225130890052356,0.2618682355351045,q1_backtest_2025-05-06_2026-05-18_181235.csv,4,,,2025-05-06,2026-05-18,87.257,True,24,theme
sz.300888,稳健医疗,C17纺织业,医药医疗,VALUE,基本价值线,50.87,0.0,0.0,80.2,98.1,55.1,39.4,78.7,59.1,"价值线=36.01, 现价/价值=1.41, 扣非EPS=1.01, akshare东方财富扣非净利润同比=62.5%, 市值=297.6亿",0.1446894689468947,0.2888269571826702,297.59355891226335,36.00502903769481,1.4128581856368614,1.01,1.01,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,78.7,高质量趋势,,50.87,30.37,50.06325267,30.37,-0.4029880086494987,-0.3933674226045848,q1_backtest_2025-05-06_2026-05-18_175835.csv,6,,,2025-05-06,2026-05-18,87.148,True,25,theme
sh.605499,东鹏饮料,C15酒、饮料和精制茶制造业,消费,PE,PE低估,280.25,35.9,35.9,71.1,92.3,74.5,54.2,77.3,65.7,"PE=40.01, 低估均值=33.96, 比值=1.18, 分位=27%",0.0972983555207518,0.2105831533477322,,,,,,,,40.005524,33.9578274,1.1780943323835849,0.2693920335429769,高质量趋势,估值有约束的高质量,77.3,高质量趋势,,280.25,142.2,210.91250675,142.2,-0.4925958965209634,-0.3257867814896663,q1_backtest_2025-05-06_2026-05-18_173240.csv,2,,,2025-05-06,2026-05-18,86.264,True,26,theme
sh.600584,长电科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,34.32,45.5,45.5,76.5,27.1,81.5,0.0,0.0,0.0,"Q1价值线=30.96, 现价/价值=1.11, akshare东方财富扣非净利润同比=79.3%, 市值=617.6亿",-0.0258302583025828,-0.133114422834049,617.6104547862419,30.95649911533447,1.108652495624074,0.86,0.86,1.0,年报扣非EPS,,,,,财报后主线候选,价值线附近/业绩强,76.7,财报后主线候选,0.79264458811645,34.32,58.33,34.16713872,58.33,0.6995920745920745,0.7071959252431075,q1_backtest_2025-05-06_2026-05-18_174533.csv,0,,,2025-05-06,2026-05-18,86.062,True,27,theme
sh.688582,芯动联科,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,67.74,55.0,23.7,75.8,89.3,65.2,65.7,77.9,71.8,"价值线=62.48, 现价/价值=1.08, 扣非EPS=0.53, akshare东方财富扣非净利润同比=971.7%, 市值=270.6亿",0.0659323367427222,0.1735966735966736,270.6120975849056,62.48452565199786,1.084108413933908,0.53,0.53,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,77.9,高质量趋势,,67.74,52.98,67.4067192,52.98,-0.2178919397697076,-0.2140249424867425,q1_backtest_2025-05-06_2026-05-18_173240.csv,2,,,2025-05-06,2026-05-18,85.919,True,28,theme
sz.002595,豪迈科技,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,57.19,0.0,0.0,90.5,83.9,50.7,40.6,77.7,59.1,"价值线=44.74, 现价/价值=1.28, 扣非EPS=2.37, akshare东方财富扣非净利润同比=33.7%, 市值=454.6亿",-0.060611038107753,0.1623983739837398,454.642396559962,44.73582710063503,1.2783937105119083,2.3732,2.3732,1.0,年报扣非EPS,,,,,高质量趋势,估值有约束的高质量,77.7,高质量趋势,,57.19,57.35,38.7193457,57.35,0.0027976919041792,0.4811717234157706,q1_backtest_2025-05-06_2026-05-18_181235.csv,4,,,2025-05-06,2026-05-18,84.301,True,29,theme
sz.300433,蓝思科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,21.5,53.3,53.3,79.0,45.0,91.3,0.0,0.0,0.0,"Q1价值线=20.48, 现价/价值=1.05, akshare东方财富扣非净利润同比=61.0%, 市值=1070.3亿",-0.1495253164556962,-0.1630984818995718,1070.2889447412877,20.47806585519829,1.0499038411160442,0.66,0.66,1.0,年报扣非EPS,,,,,财报后主线候选,价值线附近/业绩强,73.2,财报后主线候选,0.60986306093656,21.5,38.7,21.0388035,38.7,0.8,0.8394582182394545,q1_backtest_2025-05-06_2026-05-18_181316.csv,5,,,2025-05-06,2026-05-18,83.817,True,30,theme
