code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,raw_return,qfq_return
sz.002705,新宝股份,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,14.04,100.0,100.0,68.0,46.9,42.7,79.4,58.4,68.9,"价值线=25.66, 现价/价值=0.55, 市值=114.6亿",-0.1370620774431469,-0.06149732620320869,114.57893513136479,25.660451184045584,0.547145484672124,,,,,低估价值,深度低估,79.4,低估价值,,14.04,14.07,0.002136752136752129,0.04492540244132193
sz.000425,徐工机械,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,9.07,85.0,69.4,67.0,90.3,72.7,78.9,76.9,77.9,"价值线=11.87, 现价/价值=0.76, 市值=1072.7亿",0.03185437997724705,0.2207267833109019,1072.7498039215686,11.868406923076925,0.7642137701197534,,,,,低估价值,深度低估,78.9,低估价值,,9.07,10.52,0.15986769570011017,0.1837389758878647
sh.688187,时代电气,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,46.2,85.0,68.0,88.1,34.0,56.4,78.0,64.2,71.1,"价值线=59.70, 现价/价值=0.77, 市值=653.0亿",-0.01492537313432829,0.029641185647426127,652.9717557251909,59.703018698352686,0.7738302184253666,,,,,低估价值,深度低估,78.0,低估价值,,46.2,59.29,0.2833333333333332,0.3233651284695367
sz.002202,金风科技,C34通用设备制造业,资源金属,VALUE,基本价值线,8.84,97.4,97.4,65.0,31.4,61.8,77.5,54.4,66.0,"价值线=15.56, 现价/价值=0.57, 市值=390.9亿",-0.01118568232662187,-0.02535832414553474,390.9272467902997,15.557240760322578,0.5682241559535203,,,,,低估价值,深度低估,77.5,低估价值,,8.84,27.8,2.1447963800904977,2.1884753032699935
sz.002444,巨星科技,C33金属制品业,资源金属,VALUE,基本价值线,24.24,79.1,79.1,75.0,25.0,74.4,77.2,57.9,66.4,"Q1价值线=34.83, 现价/价值=0.70, 扣非同比=7.2%, 市值=289.6亿",-0.20236920039486683,-0.23701605288007555,289.5829098828165,34.8288062,0.6959756203185625,,,,,价值线左侧确认,基本价值线左侧,77.2,价值线左侧确认,0.0717,24.24,35.85,0.47896039603960405,0.4914302443122991
sz.002249,大洋电机,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,7.07,85.0,65.2,67.0,61.9,73.8,76.2,67.2,71.7,"价值线=8.91, 现价/价值=0.79, 市值=169.7亿",-0.05984042553191482,0.22318339100346019,169.68000000000004,8.910847499999997,0.7934149922327817,,,,,低估价值,深度低估,76.2,低估价值,,7.07,9.63,0.36209335219236216,0.40258167747606377
sz.000568,泸州老窖,C15酒、饮料和精制茶制造业,消费,PE,PE低估,125.47,98.5,98.5,40.0,36.9,82.4,76.1,48.2,62.2,"PE=13.69, 低估均值=22.19, 比值=0.62, 分位=5%",-0.0326883046796701,0.10245145417801593,,,,13.688724,22.1939747,0.6167765884674997,0.05020408163265306,低估价值,价值线内/历史低位,76.1,低估价值,,125.47,92.7,-0.2611779708296804,-0.2253065660647422
sz.000921,海信家电,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,26.91,75.0,68.7,82.7,0.1,58.0,76.0,50.2,61.6,"Q1价值线=34.98, 现价/价值=0.77, 扣非同比=20.3%, 市值=366.2亿",-0.07779300891021246,-0.1308139534883721,366.23853658536575,34.97933408602151,0.7693113863695253,,,,,价值线左侧确认,基本价值线左侧,76.0,价值线左侧确认,0.2027,26.91,24.03,-0.10702341137123739,-0.0615991813433433
sz.000338,潍柴动力,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,15.51,85.0,82.5,67.1,57.5,73.9,75.8,65.6,70.7,"价值线=23.07, 现价/价值=0.67, 市值=1350.1亿",-0.02941176470588236,0.11023622047244097,1350.0803816793891,23.06683252302026,0.6723940092130688,,,,,低估价值,深度低估,75.8,低估价值,,15.51,34.34,1.2140554480980015,1.3207812137759145
sz.002001,新和成,C27医药制造业,医药医疗,PE,PE低估,21.98,94.8,94.8,53.9,32.3,67.8,75.7,50.5,63.1,"PE=9.82, 低估均值=14.89, 比值=0.66, 分位=2%",-0.00226963231956423,-0.01302200269420739,,,,9.820533,14.889518454545454,0.6595601483002963,0.02326530612244898,低估价值,价值线内/历史低位,75.7,低估价值,,21.98,32.92,0.4977252047315741,0.5446676547597222
sz.002432,九安医疗,C35专用设备制造业,医药医疗,VALUE,基本价值线,37.9,100.0,100.0,57.5,28.0,56.9,75.7,49.2,62.5,"价值线=73.29, 现价/价值=0.52, 市值=165.9亿",-0.10359508041627252,-0.039777045857613436,165.85411258816438,73.29475908250448,0.5170901777211347,,,,,低估价值,深度低估,75.7,低估价值,,37.9,77.92,1.0559366754617416,1.0658154047271466
sz.000688,国城矿业,B09有色金属矿采选业,资源金属,PB,PB低估,12.0,82.9,82.9,91.2,32.7,34.9,75.2,61.8,68.5,"PB=3.87, 低估均值=4.86, 比值=0.80, 分位=3%",0.005025125628140836,-0.011532125205930832,,,,3.874403,4.862802454545454,0.7967428321869094,0.02979591836734694,低估价值,价值线内/历史低位,75.2,低估价值,,12.0,41.27,2.439166666666667,2.450113878001566
sz.000977,浪潮信息,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,52.28,2.0,2.0,86.8,49.4,93.6,0.0,0.0,0.0,"Q1价值线=36.43, 现价/价值=1.44, 扣非同比=78.0%, 市值=769.8亿",-0.015071590052750494,-0.0615688386286124,769.7709884467265,36.428795412380126,1.4351284309069667,,,,,财报后主线候选,价值线附近/业绩强,73.3,财报后主线候选,0.7803,52.28,77.38,0.480107115531752,0.4834032375255337
sz.002155,湖南黄金,B09有色金属矿采选业,资源金属,PB,PB低估,23.65,8.4,8.4,76.4,95.8,89.9,0.0,0.0,0.0,"Q1价值线=17.05, 现价/价值=1.39, 扣非同比=104.6%, 市值=371.0亿",0.07207615593835004,0.3124306326304107,370.95462962962966,17.053270365997637,1.3868307657371997,,,,,财报后主线候选,价值线附近/业绩强,73.1,财报后主线候选,1.0456999999999999,23.65,28.95,0.2241014799154335,0.6060993651125268
sz.002463,沪电股份,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,30.03,42.5,42.5,95.8,25.0,90.8,0.0,0.0,0.0,"Q1价值线=26.54, 现价/价值=1.13, 扣非同比=50.1%, 市值=574.8亿",-0.09765625,-0.19791666666666663,574.7825540100622,26.541999310088904,1.1314143915520813,,,,,财报后主线候选,价值线附近/业绩强,72.6,财报后主线候选,0.5007,30.03,112.58,2.7489177489177488,2.8275548635902097
