code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,raw_return,qfq_return
sh.600362,江西铜业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,21.79,100.0,100.0,92.5,53.1,68.8,94.3,53.6,55.4,"Q1价值线=58.91, 现价/价值=0.37, akshare东方财富扣非净利润同比=53.0%, 市值=752.5亿",-0.04680664916885391,0.03712517848643482,752.5131476183614,58.91208910142199,0.3698731505258068,2.38,2.38,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,94.3,价值线左侧确认,0.5295069417810501,21.79,45.44,20.9377931,45.44,1.0853602569986234,1.1702382759718835
sz.002432,九安医疗,C35专用设备制造业,医药医疗,VALUE,基本价值线,37.9,100.0,100.0,92.5,28.0,56.9,93.1,65.0,75.6,"Q1价值线=106.37, 现价/价值=0.36, akshare东方财富扣非净利润同比=67.4%, 市值=165.8亿",-0.10359508041627252,-0.039777045857613436,165.83045747549468,106.36927747774921,0.35630588924445866,3.8408,3.8408,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,93.1,价值线左侧确认,0.67387130952349,37.9,73.44,37.7187622,73.44,0.937730870712401,0.9470416237572079
sh.600066,宇通客车,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,26.72,92.9,92.9,100.0,75.4,68.2,92.9,86.3,88.5,"Q1价值线=44.56, 现价/价值=0.60, akshare东方财富扣非净利润同比=145.2%, 市值=590.3亿",-0.010736764161421775,-0.044349070100143106,590.3270193121018,44.56181259199703,0.5996165426358512,1.57,1.57,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,92.9,价值线左侧确认,1.45213463430911,26.72,31.71,23.8343736,31.71,0.18675149700598803,0.3304314404134372
sh.601336,新华保险,J68保险业,金融,PE,PE低估,48.6,99.4,99.4,100.0,52.3,78.9,92.8,80.1,86.4,"PE=5.58, 低估均值=9.20, 比值=0.61, 分位=0%",-0.06735751295336789,0.03602643359624813,,,,,,,,5.580256,9.1956168,0.606838684274012,0.0008163265306122449,低估价值,价值线内/历史低位,92.8,低估价值,,48.6,60.12,46.6745652,60.12,0.23703703703703694,0.2880677033066392
sz.300677,英科医疗,C29橡胶和塑料制品业,医药医疗,VALUE,基本价值线,22.55,100.0,100.0,92.5,25.0,52.1,92.6,63.2,74.3,"Q1价值线=267.97, 现价/价值=0.08, akshare东方财富扣非净利润同比=1239.1%, 市值=146.2亿",-0.08741400242816677,-0.16357566765578635,146.23237328678613,267.9715081684852,0.08415073734563545,1.8,1.8,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,92.6,价值线左侧确认,12.3910242293704,22.55,51.31,22.4225925,51.31,1.2753880266075388,1.2883170177578709
sz.000960,锡业股份,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,14.11,100.0,100.0,85.8,28.2,67.7,91.8,39.6,49.6,"Q1价值线=27.68, 现价/价值=0.51, akshare东方财富扣非净利润同比=40.5%, 市值=237.2亿",-0.11812500000000004,-0.036202185792349795,237.2331863720147,27.684805636053675,0.5096658501233858,1.1555,1.1555,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,91.8,价值线左侧确认,0.40483418725458004,14.11,37.7,13.79039439,37.7,1.6718639262934092,1.7337869341385823
sh.601600,中国铝业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,6.49,100.0,100.0,80.0,0.0,81.8,91.2,56.9,53.0,"Q1价值线=16.67, 现价/价值=0.39, akshare东方财富扣非净利润同比=81.9%, 市值=1113.3亿",-0.1300268096514745,-0.17219387755102034,1113.3095697707738,16.672242828753944,0.3892697621226437,0.698,0.698,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,91.2,价值线左侧确认,0.81913735082535,6.49,10.52,6.29032866,10.52,0.6209553158705701,0.6724086400916292
sh.603993,洛阳钼业,B09有色金属矿采选业,资源金属,VALUE,基本价值线,7.1,100.0,100.0,77.8,30.0,87.6,91.0,69.7,73.1,"Q1价值线=16.08, 现价/价值=0.44, akshare东方财富扣非净利润同比=110.5%, 市值=1526.9亿",-0.05710491367861892,-0.016620498614958512,1526.9453146409674,16.0812037679326,0.4415092366504337,0.61,0.61,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,91.0,价值线左侧确认,1.10480074151682,7.1,18.31,6.8822075,18.31,1.5788732394366196,1.6604835730396097
sz.000651,格力电器,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,45.47,100.0,100.0,76.2,60.2,90.9,90.8,74.0,81.0,"Q1价值线=84.04, 现价/价值=0.54, akshare东方财富扣非净利润同比=9.2%, 市值=2511.3亿",0.006641576267434113,0.0374172940908053,2511.258907549643,84.04316678563451,0.5410314929704931,5.45,5.45,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,90.8,价值线左侧确认,0.09193748852488999,45.47,39.71,41.58281517,39.71,-0.12667692984385304,-0.04503820057260455
sh.601717,中创智领,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,15.37,100.0,100.0,81.9,88.2,67.0,90.4,82.8,86.5,"Q1价值线=36.41, 现价/价值=0.42, akshare东方财富扣非净利润同比=19.0%, 市值=273.4亿",-0.009664948453608324,0.21023622047244106,273.3831762517656,36.413308441144075,0.4220984210990603,2.026,2.026,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,90.4,价值线左侧确认,0.19045885372798999,15.37,18.1,14.40398013,18.1,0.1776187378009111,0.2565971236173874
sz.002444,巨星科技,C33金属制品业,资源金属,VALUE,基本价值线,24.24,91.8,91.8,91.7,25.0,74.4,90.0,65.8,74.5,"Q1价值线=39.92, 现价/价值=0.61, akshare东方财富扣非净利润同比=35.7%, 市值=289.5亿",-0.20236920039486683,-0.23701605288007555,289.53632170520683,39.91555110077928,0.6072821076376609,1.929,1.929,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,90.0,价值线左侧确认,0.35736044082495,24.24,33.66,24.03732936,33.66,0.3886138613861385,0.40032195323715425
