bucket_set,sort,ptv_min,ptv_max,ret20_min,ret20_max,ret60_min,ret60_max,vol_min,vol_max,score_min,liq_min,sample,count,ret_count,mean_return,median_return,win_rate,min_return,max_return,names,codes
all,value,,,,,0.0,0.8,,,,,train,20,18,0.7258917067128963,0.20377810346712538,0.8333333333333334,-0.1747787610619467,5.046035995587445,长芯博创、仕佳光子、锦浪科技、新强联、中科电气、碧水源、成都先导、伟测科技,"sz.300548,sh.688313,sz.300763,sz.300850,sz.300035,sz.300070,sh.688222,sh.688372"
all,value,,,,,0.0,0.8,,,,,validate,20,20,0.20290935671487004,0.1248227770960631,0.55,-0.1845973237401208,1.2831240868514202,香农芯创、拓斯达、华锐精密、当升科技、先惠技术、中伟新材、新锐股份、亿联网络,"sz.300475,sz.300607,sh.688059,sz.300073,sh.688155,sz.300919,sh.688257,sz.300628"
all,value,,,,,0.0,0.8,,,,60.0,train,20,17,0.9571032485230084,0.4119371018372113,0.7647058823529411,-0.3776825353147141,5.046035995587445,长芯博创、仕佳光子、锦浪科技、新强联、中科电气、成都先导、伟测科技、时代电气,"sz.300548,sh.688313,sz.300763,sz.300850,sz.300035,sh.688222,sh.688372,sh.688187"
all,value,,,,,0.0,0.8,,,,60.0,validate,20,20,0.17826000047822663,0.0647001308622252,0.55,-0.1845973237401208,1.2831240868514202,香农芯创、拓斯达、华锐精密、当升科技、先惠技术、中伟新材、新锐股份、亿联网络,"sz.300475,sz.300607,sh.688059,sz.300073,sh.688155,sz.300919,sh.688257,sz.300628"
all,value,,,,,0.0,0.8,,,70.0,,train,20,18,0.710891806204428,0.21453182812845545,0.7777777777777778,-0.3776825353147141,5.046035995587445,长芯博创、仕佳光子、锦浪科技、新强联、中科电气、成都先导、伟测科技、时代电气,"sz.300548,sh.688313,sz.300763,sz.300850,sz.300035,sh.688222,sh.688372,sh.688187"
all,value,,,,,0.0,0.8,,,70.0,,validate,20,20,0.1821694104159459,0.13018108630953523,0.65,-0.1845973237401208,0.8818736019291902,香农芯创、华锐精密、当升科技、先惠技术、中伟新材、新锐股份、传音控股、睿创微纳,"sz.300475,sh.688059,sz.300073,sh.688155,sz.300919,sh.688257,sh.688036,sh.688002"
all,value,,,,,0.0,0.8,,,70.0,60.0,train,20,17,0.9658341782701918,0.3939874840417952,0.7647058823529411,-0.3776825353147141,5.046035995587445,长芯博创、仕佳光子、锦浪科技、新强联、中科电气、成都先导、伟测科技、时代电气,"sz.300548,sh.688313,sz.300763,sz.300850,sz.300035,sh.688222,sh.688372,sh.688187"
all,value,,,,,0.0,0.8,,,70.0,60.0,validate,20,20,0.16276932439618966,0.12459587125867795,0.65,-0.1845973237401208,0.8818736019291902,香农芯创、华锐精密、当升科技、先惠技术、中伟新材、新锐股份、传音控股、睿创微纳,"sz.300475,sh.688059,sz.300073,sh.688155,sz.300919,sh.688257,sh.688036,sh.688002"
all,value,,,,,0.0,0.8,0.8,,,,train,20,18,0.7258917067128963,0.20377810346712538,0.8333333333333334,-0.1747787610619467,5.046035995587445,长芯博创、仕佳光子、锦浪科技、新强联、中科电气、碧水源、成都先导、伟测科技,"sz.300548,sh.688313,sz.300763,sz.300850,sz.300035,sz.300070,sh.688222,sh.688372"
all,value,,,,,0.0,0.8,0.8,,,,validate,20,20,0.3022102117846849,0.17445538212308825,0.9,-0.107910906298003,1.2831240868514202,锐科激光、麦捷科技、凌云光、宇瞳光学、普冉股份、路维光电、明阳电路、聚飞光电,"sz.300747,sz.300319,sh.688400,sz.300790,sh.688766,sh.688401,sz.300739,sz.300303"
all,value,,,,,0.0,0.8,0.8,,,60.0,train,20,17,0.9571032485230084,0.4119371018372113,0.7647058823529411,-0.3776825353147141,5.046035995587445,长芯博创、仕佳光子、锦浪科技、新强联、中科电气、成都先导、伟测科技、时代电气,"sz.300548,sh.688313,sz.300763,sz.300850,sz.300035,sh.688222,sh.688372,sh.688187"
all,value,,,,,0.0,0.8,0.8,,,60.0,validate,20,20,0.3022102117846849,0.17445538212308825,0.9,-0.107910906298003,1.2831240868514202,锐科激光、麦捷科技、凌云光、宇瞳光学、普冉股份、路维光电、明阳电路、聚飞光电,"sz.300747,sz.300319,sh.688400,sz.300790,sh.688766,sh.688401,sz.300739,sz.300303"
all,value,,,,,0.0,0.8,0.8,,70.0,,train,20,18,0.710891806204428,0.21453182812845545,0.7777777777777778,-0.3776825353147141,5.046035995587445,长芯博创、仕佳光子、锦浪科技、新强联、中科电气、成都先导、伟测科技、时代电气,"sz.300548,sh.688313,sz.300763,sz.300850,sz.300035,sh.688222,sh.688372,sh.688187"
all,value,,,,,0.0,0.8,0.8,,70.0,,validate,20,20,0.24737048684286295,0.17348789288947214,0.9,-0.107910906298003,0.8699078402564444,锐科激光、凌云光、宇瞳光学、普冉股份、路维光电、明阳电路、聚飞光电、上海新阳,"sz.300747,sh.688400,sz.300790,sh.688766,sh.688401,sz.300739,sz.300303,sz.300236"
all,value,,,,,0.0,0.8,0.8,,70.0,60.0,train,20,17,0.9658341782701918,0.3939874840417952,0.7647058823529411,-0.3776825353147141,5.046035995587445,长芯博创、仕佳光子、锦浪科技、新强联、中科电气、成都先导、伟测科技、时代电气,"sz.300548,sh.688313,sz.300763,sz.300850,sz.300035,sh.688222,sh.688372,sh.688187"
all,value,,,,,0.0,0.8,0.8,,70.0,60.0,validate,20,20,0.24737048684286295,0.17348789288947214,0.9,-0.107910906298003,0.8699078402564444,锐科激光、凌云光、宇瞳光学、普冉股份、路维光电、明阳电路、聚飞光电、上海新阳,"sz.300747,sh.688400,sz.300790,sh.688766,sh.688401,sz.300739,sz.300303,sz.300236"
