code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,total_score,selection_bucket,valuation_state,selection_mode,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,current_valuation,low_avg,pepb_ratio,valuation_percentile,earnings_yoy,buy_close_raw,end_close_raw,raw_return,qfq_return
sh.601899,紫金矿业,B09有色金属矿采选业,资源金属,PB,PB低估,17.76,96.4,96.4,92.4,82.6,100.0,0.0,0.0,0.0,92.3,财报后主线候选,价值线附近/业绩强,财报后主线候选,"Q1价值线=24.43, 现价/价值=0.73, 扣非同比=58.8%, 市值=4704.3亿",0.014857142857142902,0.0783242258652097,4704.345123966943,24.425390542572774,0.7271122223837042,,,,,0.5876,17.76,34.66,0.9515765765765762,0.9953240565156827
sh.600362,江西铜业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,21.79,100.0,100.0,85.0,53.1,68.8,91.6,45.1,48.8,91.6,价值线左侧确认,基本价值线左侧,价值线左侧确认,"Q1价值线=55.90, 现价/价值=0.39, 扣非同比=37.1%, 市值=754.7亿",-0.04680664916885391,0.03712517848643482,754.7362189054727,55.896951157713296,0.38982448145551796,,,,,0.37079999999999996,21.79,50.06,1.2973841211564938,1.3908919035024758
sh.601600,中国铝业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,6.49,100.0,100.0,79.9,0.0,81.8,91.2,34.4,35.5,91.2,价值线左侧确认,基本价值线左侧,价值线左侧确认,"Q1价值线=15.22, 现价/价值=0.43, 扣非同比=57.8%, 市值=1114.1亿",-0.1300268096514745,-0.17219387755102034,1114.0867036011082,15.220276421171533,0.42640487074021566,,,,,0.5778,6.49,11.87,0.8289676425269643,0.8870238172896994
sh.600489,中金黄金,B09有色金属矿采选业,资源金属,PB,PB低估,14.07,91.2,91.2,80.8,55.4,86.2,0.0,0.0,0.0,89.9,财报后主线候选,价值线附近/业绩强,财报后主线候选,"Q1价值线=18.37, 现价/价值=0.77, 扣非同比=71.1%, 市值=680.6亿",0.034558823529411864,0.019565217391304346,680.5860000000001,18.365623508564678,0.7661052179055373,,,,,0.7112999999999999,14.07,26.82,0.9061833688699361,0.957559518431162
sh.600757,长江传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,9.76,100.0,100.0,83.1,66.8,48.6,89.0,73.1,79.8,89.0,价值线左侧确认,基本价值线左侧,价值线左侧确认,"Q1价值线=20.91, 现价/价值=0.47, 扣非同比=54.5%, 市值=118.1亿",0.0966292134831459,0.100338218714769,118.12102564102562,20.90982216101695,0.4667662845165643,,,,,0.5446,9.76,8.65,-0.11372950819672123,-0.07543977086742493
sh.601677,明泰铝业,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,12.12,100.0,100.0,80.4,31.4,52.3,88.4,43.1,53.9,88.4,价值线左侧确认,基本价值线左侧,价值线左侧确认,"Q1价值线=31.35, 现价/价值=0.39, 扣非同比=41.7%, 市值=145.1亿",-0.05312500000000009,0.006644518272425293,145.10794520547944,31.347546155606405,0.3866331335740733,,,,,0.41729999999999995,12.12,17.87,0.4744224422442247,0.4992850868392802
sh.601717,中创智领,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,15.37,100.0,100.0,74.8,88.2,67.0,87.9,79.6,83.8,87.9,价值线左侧确认,基本价值线左侧,价值线左侧确认,"Q1价值线=34.22, 现价/价值=0.45, 扣非同比=6.9%, 市值=273.4亿",-0.009664948453608324,0.21023622047244106,273.3525316455696,34.224627587188614,0.4490918114695129,,,,,0.06860000000000001,15.37,18.93,0.23162003903708528,0.3142200856396209
sh.601137,博威合金,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,18.1,96.0,96.0,83.6,46.4,56.3,87.7,41.4,46.1,87.7,价值线左侧确认,基本价值线左侧,价值线左侧确认,"Q1价值线=31.33, 现价/价值=0.58, 扣非同比=21.9%, 市值=141.7亿",-0.1008445106805761,-0.07227063044592519,141.66127167630057,31.32548652141802,0.5778042740892333,,,,,0.2195,18.1,19.96,0.10276243093922655,0.13508277795882617
sh.600961,株冶集团,C32有色金属冶炼和压延加工业,资源金属,PB,PB低估,10.19,100.0,100.0,77.8,91.2,61.1,0.0,0.0,0.0,87.5,财报后主线候选,价值线附近/业绩强,财报后主线候选,"Q1价值线=15.14, 现价/价值=0.67, 扣非同比=112.9%, 市值=121.5亿",0.0692549842602308,0.20877817319098457,121.50803030303028,15.143964421855147,0.6728753261790691,,,,,1.1294,10.19,29.38,1.8832188420019627,1.8832188420019627
sh.601766,中国中车,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,7.05,100.0,100.0,71.3,31.8,75.9,87.5,59.6,70.9,87.5,价值线左侧确认,基本价值线左侧,价值线左侧确认,"Q1价值线=13.01, 现价/价值=0.54, 扣非同比=320.2%, 市值=2031.1亿",0.017316017316017396,-0.038199181446111896,2031.0558139534883,13.01147562156926,0.5418293977597084,,,,,3.202,7.05,6.07,-0.13900709219858154,-0.10128065138230813
sh.600988,赤峰黄金,B09有色金属矿采选业,资源金属,PB,PB低估,27.24,56.0,56.0,88.3,100.0,97.8,0.0,0.0,0.0,87.4,财报后主线候选,价值线附近/业绩强,财报后主线候选,"Q1价值线=26.45, 现价/价值=1.03, 扣非同比=138.6%, 市值=449.1亿",0.24383561643835616,0.4048478597215057,449.07813084112144,26.453582766439908,1.0297281937385725,,,,,1.3858000000000001,27.24,40.8,0.4977973568281937,0.5072917877995431
sh.601900,南方传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,17.61,91.8,91.8,89.2,84.6,50.6,86.8,81.9,84.1,86.8,价值线左侧确认,基本价值线左侧,价值线左侧确认,"Q1价值线=28.98, 现价/价值=0.61, 扣非同比=81.5%, 市值=155.0亿",0.10754716981132062,0.04759071980963725,155.0445652173913,28.983196790123458,0.6075934317225118,,,,,0.8145,17.61,12.59,-0.28506530380465644,-0.25787225912345824
sh.600487,亨通光电,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,15.77,91.8,91.8,78.9,32.9,72.1,85.3,62.4,71.2,85.3,价值线左侧确认,基本价值线左侧,价值线左侧确认,"Q1价值线=25.96, 现价/价值=0.61, 扣非同比=32.7%, 市值=383.0亿",-0.044242424242424305,0.030718954248365904,383.045,25.960206890574213,0.6074681941662747,,,,,0.3267,15.77,75.43,3.783132530120483,3.8560855026264393
sh.600323,瀚蓝环境,N77生态保护和环境治理业,N77生态保护和环境治理业,VALUE,基本价值线,23.28,94.2,94.2,78.3,54.0,50.5,84.3,66.4,73.7,84.3,价值线左侧确认,基本价值线左侧,价值线左侧确认,"Q1价值线=39.43, 现价/价值=0.59, 扣非同比=12.8%, 市值=189.9亿",-0.035225859925403946,0.044883303411131115,189.89176470588234,39.431875000000005,0.5903853164476708,,,,,0.128,23.28,30.97,0.3303264604810996,0.38763003020859355
sh.601019,山东出版,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,9.85,98.1,98.1,71.6,28.1,48.5,83.9,54.2,66.2,83.9,价值线左侧确认,基本价值线左侧,价值线左侧确认,"Q1价值线=17.49, 现价/价值=0.56, 扣非同比=49.3%, 市值=205.1亿",-0.011044176706827447,-0.09132841328413288,205.0737704918033,17.485898803149606,0.5633110491423976,,,,,0.4926,9.85,7.49,-0.23959390862944152,-0.21126981910325882
sh.600482,中国动力,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,21.63,90.4,90.4,76.5,27.6,62.7,0.0,0.0,0.0,83.3,财报后主线候选,价值线附近/业绩强,财报后主线候选,"Q1价值线=28.74, 现价/价值=0.75, 扣非同比=600.4%, 市值=477.6亿",-0.013229927007299414,-0.12108898821617231,477.57666666666654,28.73879942487419,0.7526410439149612,,,,,6.004099999999999,21.63,41.39,0.9135460009246419,0.9380821205710717
sh.601811,新华文轩,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,15.26,97.2,97.2,72.8,35.3,40.9,83.0,56.1,67.1,83.0,价值线左侧确认,基本价值线左侧,价值线左侧确认,"Q1价值线=26.78, 现价/价值=0.57, 扣非同比=10.1%, 市值=188.6亿",-0.01293661060802076,0.05386740331491713,188.6136,26.78176051779935,0.5697907719643036,,,,,0.1012,15.26,13.61,-0.10812581913499342,-0.07167997495159306
sh.600866,星湖科技,C14食品制造业,消费,PE,PE低估,7.7,100.0,100.0,47.5,95.5,62.0,82.6,69.1,75.9,82.6,低估价值,价值线内/历史低位,低估价值,"PE=10.97, 低估均值=19.14, 比值=0.57, 分位=4%",0.1809815950920246,0.21069182389937113,,,,10.973479,19.144063499999998,0.5732053176693652,0.04254007398273736,,7.7,5.92,-0.23116883116883125,-0.18913180205074598
sh.601098,中南传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,14.14,86.4,86.4,84.0,55.5,53.5,82.3,69.6,74.4,82.3,价值线左侧确认,基本价值线左侧,价值线左侧确认,"Q1价值线=21.91, 现价/价值=0.65, 扣非同比=51.5%, 市值=255.3亿",-0.014634146341463317,0.05917602996254678,255.2642105263158,21.91039443148688,0.6453557942197408,,,,,0.5146999999999999,14.14,11.6,-0.17963224893917973,-0.1448659176887328
sh.601336,新华保险,J68保险业,金融,PE,PE低估,48.6,99.4,99.4,55.5,52.3,78.9,81.7,60.1,70.9,81.7,低估价值,价值线内/历史低位,低估价值,"PE=5.58, 低估均值=9.20, 比值=0.61, 分位=0%",-0.06735751295336789,0.03602643359624813,,,,5.580256,9.1956168,0.606838684274012,0.0008163265306122449,,48.6,64.05,0.3179012345679011,0.37226773780422895
sh.600741,华域汽车,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,17.76,100.0,100.0,67.2,56.7,57.2,81.5,63.6,72.6,81.5,低估价值,深度低估,低估价值,"价值线=39.57, 现价/价值=0.45, 市值=560.0亿",-0.011686143572620877,0.08094948265368229,560.0331138287867,39.56968835859188,0.4488284021611133,,,,,,17.76,18.04,0.015765765765765716,0.060886321923493636
sh.600031,三一重工,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,19.68,75.0,38.6,78.3,91.0,82.3,78.3,83.1,80.7,80.7,低估且高质量,低估且高质量,低估且高质量,"价值线=20.08, 现价/价值=0.98, 市值=1665.4亿",0.016528925619834656,0.24478178368121428,1665.445865302643,20.083383394358627,0.9799145698492249,,,,,,19.68,21.39,0.08689024390243905,0.123970014686962
sh.601877,正泰电器,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,22.3,95.2,95.2,66.4,52.2,55.1,78.2,61.2,69.7,78.2,低估价值,深度低估,低估价值,"价值线=38.19, 现价/价值=0.58, 市值=477.3亿",-0.06420478388585804,0.031452358926919555,477.29392265193366,38.18845631388746,0.5839460966085313,,,,,,22.3,34.6,0.5515695067264574,0.5939035859698156
sh.600968,海油发展,B11开采专业及辅助性活动,B11开采专业及辅助性活动,VALUE,基本价值线,3.94,100.0,100.0,57.8,57.3,48.7,77.9,58.4,68.1,77.9,低估价值,深度低估,低估价值,"价值线=7.44, 现价/价值=0.53, 市值=400.5亿",0.0025445292620864812,-0.0174563591022443,400.4626077286628,7.4409405262582045,0.5295029554525,,,,,,3.94,4.19,0.06345177664974622,0.09708851037793376
sh.600690,海尔智家,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,25.12,75.3,75.3,79.9,27.6,83.1,77.7,62.3,69.9,77.7,价值线左侧确认,基本价值线左侧,价值线左侧确认,"Q1价值线=34.75, 现价/价值=0.72, 扣非同比=15.6%, 市值=2329.3亿",-0.07031828275351582,-0.05599398722284854,2329.320396039604,34.74871240723934,0.7229044836425839,,,,,0.1561,25.12,21.08,-0.16082802547770714,-0.12157287407434114
