code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,buy_trade_date,end_trade_date,raw_return,qfq_return,earnings_yoy,theme_momentum_score,relative_ret20,relative_ret60,volume_ratio_20_120
sh.688150,莱特光电,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,64.66,50.0,0.0,40.2,100.0,76.5,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=30.5%/125.3%, 相对60日=124.3%, 量能20/120=1.76, 市值=261.7亿",0.30468119451170295,1.2529616724738677,261.706944625451,8.716251555291876,7.418326512242884,0.51,0.51,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,64.66,64.66,64.66,64.66,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.27657376396744193,1.2429905048969836,1.763966113204344
sh.688300,联瑞新材,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,124.51,50.0,0.0,65.5,100.0,77.9,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=35.4%/99.0%, 相对60日=98.0%, 量能20/120=1.75, 市值=301.8亿",0.35425277354796614,0.9896132949824226,301.81086360477616,19.1807153115211,6.49141588193073,1.09,1.09,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,124.51,124.51,124.51,124.51,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.3261453430037051,0.9796421274055385,1.7514609586212024
sh.688400,凌云光,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,67.7,50.0,0.0,61.8,100.0,85.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=40.4%/52.5%, 相对60日=51.5%, 量能20/120=1.73, 市值=308.1亿",0.403690648973668,0.5254619197836863,308.1053453148148,29.769516256813354,2.2741383976807312,0.27,0.27,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,67.7,67.7,67.7,67.7,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.375583218429407,0.5154907522068022,1.7277017369391803
sh.688519,南亚新材,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,185.5,50.0,0.0,79.2,100.0,83.8,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=20.2%/91.2%, 相对60日=90.2%, 量能20/120=1.63, 市值=416.9亿",0.20181405895691618,0.9123711340206186,416.9301818813918,101.83173831253964,1.821632460310828,0.97,0.97,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,185.5,185.5,185.5,185.5,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.17370662841265516,0.9023999664437345,1.6325418640301839
sh.688525,佰维存储,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,313.43,50.0,16.9,92.5,96.6,100.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=9.3%/94.7%, 相对60日=93.7%, 量能20/120=1.76, 市值=1430.7亿",0.09285216178521627,0.9466492764424572,1430.7415942084897,277.03832150965945,1.131359727751858,1.72,1.72,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,313.43,313.43,313.43,313.43,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.06474473124095526,0.9366781088655731,1.7608722457458716
sh.688548,广钢气体,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,34.78,50.0,0.0,60.0,100.0,82.6,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=33.7%/61.7%, 相对60日=60.7%, 量能20/120=1.88, 市值=447.7亿",0.33717800845828516,0.6169223616922361,447.73916706114,7.90083160655958,4.402068254577693,0.2,0.2,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,34.78,34.78,34.78,34.78,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.30907057791402415,0.606951194115352,1.8822161519227383
sh.688630,芯碁微装,C35专用设备制造业,半导体/电子,VALUE,基本价值线,279.3,50.0,0.0,92.5,100.0,88.9,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=17.9%/68.4%, 相对60日=67.4%, 量能20/120=1.57, 市值=365.8亿",0.17937674182923757,0.6837472871955632,365.77533589929385,61.476943206708924,4.54316668056977,2.11,2.11,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,279.3,279.3,279.3,279.3,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.15126931128497656,0.6737761196186791,1.5701925815734918
sh.688629,华丰科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,147.24,50.0,0.0,65.5,97.6,100.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=11.6%/55.1%, 相对60日=54.1%, 量能20/120=1.63, 市值=675.9亿",0.1164695177434032,0.5507109004739337,675.9076551451,34.63290141957221,4.251448592660786,0.72,0.72,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,147.24,147.24,147.24,147.24,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.08836208719914218,0.5407397328970496,1.6269347841923671
sh.688668,鼎通科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,279.98,50.0,0.0,100.0,100.0,88.1,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=35.1%/78.4%, 相对60日=77.4%, 量能20/120=1.54, 市值=388.4亿",0.3510592095739036,0.7836529273109514,388.3822581459488,39.7148510581744,7.049755759876442,1.6,1.6,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,279.98,279.98,279.98,279.98,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.32295177902964256,0.7736817597340673,1.5438120562928648
sh.688800,瑞可达,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,139.3,50.0,0.0,61.5,100.0,86.6,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=44.1%/71.6%, 相对60日=70.6%, 量能20/120=1.57, 市值=284.7亿",0.44068673078912,0.7155172413793105,284.68820484989703,22.059248581861592,6.314811652947265,1.36,1.36,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,139.3,139.3,139.3,139.3,2026-05-19,2026-05-19,0.0,0.0,,95.0,0.412579300244859,0.7055460738024264,1.5683750053468484
