code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,theme_momentum_score,buy_close_raw,end_close_raw,buy_close_qfq,end_close_qfq,raw_return,qfq_return,earnings_yoy
sz.002273,水晶光电,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,27.32,50.0,0.0,59.1,100.0,91.6,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=31.5%/41.4%, 相对60日=27.4%, 量能20/120=2.04, 市值=372.9亿",0.31472569778633286,0.41407867494824013,372.8758318883257,14.646630875900868,1.8652753818594225,0.7,0.7,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,27.32,37.3,27.21432624,37.3,0.3653001464128842,0.37060163353138376,
sz.002384,东山精密,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,68.82,50.0,0.0,47.5,100.0,100.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=29.1%/116.4%, 相对60日=102.4%, 量能20/120=1.57, 市值=1166.9亿",0.29093978615644334,1.1641509433962263,1166.8590434904452,18.140144461636964,3.7937955866636845,0.53,0.53,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,68.82,211.25,68.82,211.25,2.069601859924441,2.069601859924441,
sz.002396,星网锐捷,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,35.74,50.0,0.0,70.4,100.0,75.2,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=29.9%/80.1%, 相对60日=66.1%, 量能20/120=2.03, 市值=207.6亿",0.2986918604651163,0.8005037783375315,207.64332487739833,22.439847751531453,1.5927024280973945,0.6173,0.6173,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,35.74,31.41,35.74,31.41,-0.12115277000559599,-0.12115277000559599,
sz.002463,沪电股份,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,69.8,50.0,0.0,94.5,100.0,100.0,0.0,95.0,0.0,"AI算力/CPO右侧动量, 20/60日涨幅=29.4%/91.7%, 相对60日=77.7%, 量能20/120=1.55, 市值=1336.1亿",0.2940304041527624,0.91705575391376,1336.1287839603067,26.295007718057935,2.6544962735289586,1.3302,1.3302,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,69.8,104.26,69.476477,104.26,0.4936962750716334,0.5006517961467736,
sz.002484,江海股份,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,36.64,50.0,0.0,49.2,100.0,89.9,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=40.0%/89.2%, 相对60日=75.2%, 量能20/120=2.32, 市值=309.4亿",0.39954163483575256,0.8915849251419721,309.38027088659044,14.951829180639633,2.4505362893954996,0.7259,0.7259,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,36.64,53.35,36.64,53.35,0.4560589519650655,0.4560589519650655,
sz.002815,崇达技术,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,17.24,50.0,0.0,24.3,100.0,84.4,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=26.2%/65.1%, 相对60日=51.1%, 量能20/120=3.24, 市值=186.8亿",0.26207906295754024,0.6513409961685823,186.79921819796797,9.068915117836825,1.9009991576712642,0.25,0.25,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,17.24,15.76,17.24,15.76,-0.08584686774941985,-0.08584686774941985,
sz.002938,鹏鼎控股,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,58.49,50.0,0.0,92.5,100.0,94.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=17.9%/95.1%, 相对60日=81.1%, 量能20/120=1.83, 市值=1358.9亿",0.17899617012699065,0.9509673115410273,1358.882560311937,36.56239752869812,1.599730979186765,1.52,1.52,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,58.49,89.23,58.49,89.23,0.5255599247734655,0.5255599247734655,
sz.300035,中科电气,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,21.4,75.0,45.3,67.5,100.0,79.6,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=30.3%/45.3%, 相对60日=31.3%, 量能20/120=1.68, 市值=147.7亿",0.3032886723507915,0.4528173794976238,147.6501993088112,22.93355946173439,0.9331303339853022,0.5005,0.5005,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,21.4,18.77,21.4,18.77,-0.12289719626168216,-0.12289719626168216,
sz.300037,新宙邦,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,48.29,50.0,0.0,54.8,100.0,83.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=42.2%/47.5%, 相对60日=33.5%, 量能20/120=2.71, 市值=361.4亿",0.421967020023557,0.4745038167938931,361.35468044643784,26.679312716830474,1.810016641453307,1.27,1.27,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,48.29,62.67,47.93907657,62.67,0.29778422033547325,0.30728425501667944,
sz.300236,上海新阳,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,56.16,50.0,0.0,75.4,100.0,81.0,0.0,95.0,0.0,"半导体/电子右侧动量, 20/60日涨幅=34.9%/51.7%, 相对60日=37.7%, 量能20/120=3.09, 市值=174.5亿",0.34902714388662015,0.5170178282009723,174.5328626689967,22.920162077426983,2.4502444533457033,0.5173,0.5173,1.0,年报扣非EPS,,,,,主题右侧动量,主题右侧确认,95.0,主题右侧动量,95.0,56.16,100.66,56.16,100.66,0.7923789173789175,0.7923789173789175,
