date,code,name,action,price,execution_price,position_change_pct,reason,phase,realized_account_pct,execution_quantity,cost_basis,trade_side,quantity,trade_amount,commission_amount,stamp_duty_amount,slippage_amount,transaction_cost_amount,allocated_entry_fee_amount,cost_amount,gross_pnl_amount,profit_loss_amount,profit_loss_pct,cash_change_amount,requested_position_pct,cash_limited,lot_rounded,board_lot_size,grid_slot,value_line,account_mode,selection_reason,trade_basis_score,trade_basis_reason,technical_alignment,ima_web_validation,signal_type,entry_evidence_score,entry_evidence,industry_tags,structure_ratio,anchor_low,anchor_high,anchor_pullback_low,anchor_low_date,anchor_high_date,anchor_pullback_low_date,gap_up,volume_node_date,volume_node_confirmed_on,valid_volume_node_count
2024-11-05,sz.300525,博思软件,右侧买入,16.89,16.89,29.9,R7; 33未三日下行首仓; 跳空长阳越过MA20/MA60; 缺口下沿止损; close_confirmed,active,-0.0175,17700.0,16.89,买入,17700.0,298953.0,25.41,0.0,149.48,174.89,0.0,,,-174.89,-0.0585,-299127.89,30.0,False,True,100.0,,,,主流标准基本面模型入选；MA20/MA60同步上扬；贴近上扬MA20支撑；基本面硬条件通过且多周期强度居前；20日强度+7.7%；60日强度+41.9%；120日强度+35.2%；距120日高点-7.5%；MA20/MA60同步上扬；贴近上扬MA20支撑,6.0,MA20/MA60同步上扬；贴近上扬MA20支撑,watch,aligned,gap_long_ma_breakout,12.0,"['primary:gap_long_ma_breakout+5', 'volume_confirmed+1', 'entry_within_structure_zone', 'close_above_rising_or_reclaimed_ma20+1', 'entry_near_or_reclaims_ma20+2', 'ma20_ma60_rising_alignment+2', 'gap_up+1']",软件开发,,,,,,,,,,,
2024-11-12,sz.300394,天孚通信,右侧买入,64.91,64.91,12.98,"R8; 浮盈加仓50%; 上涨波段75.0%拉回支撑5%区域; 共振=MA5,MA10,MA20; close_confirmed",active,-0.0076,2000.0,64.91,买入,2000.0,129820.0,11.03,0.0,64.91,75.94,0.0,,,-75.94,-0.0585,-129895.94,13.612175,False,True,100.0,,,,基本面硬条件通过且多周期强度居前；20日强度+27.6%；60日强度+59.0%；120日强度+36.1%；距120日高点-5.6%；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.22倍；多周期均量扣低走高,9.0,MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.22倍；多周期均量扣低走高,trade_ready,aligned,uptrend_support_pullback,12.0,"['primary:uptrend_support_pullback+4', 'entry_within_structure_zone', 'entry_tight_to_structure+1', 'close_above_rising_or_reclaimed_ma20+1', 'entry_near_or_reclaims_ma20+2', 'ma20_ma60_rising_alignment+2', 'large_wave_structure+2']",,0.75,31.69,75.71,,2023-07-21,2024-11-08,,,,,
2024-11-13,sz.300525,博思软件,右侧买入,19.12,19.12,14.91,R9; 浮盈加仓50%; 上涨波段75.0%拉回支撑5%区域; 共振=MA5; close_confirmed,active,-0.0087,7800.0,19.12,买入,7800.0,149136.0,12.68,0.0,74.57,87.24,0.0,,,-87.24,-0.0585,-149223.24,14.947650000000001,False,True,100.0,,,,基本面硬条件通过且多周期强度居前；20日强度+20.5%；60日强度+74.7%；120日强度+59.6%；距120日高点-2.0%；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,10.0,MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,trade_ready,aligned,uptrend_support_pullback,8.0,"['primary:uptrend_support_pullback+4', 'entry_within_structure_zone', 'entry_tight_to_structure+1', 'close_above_rising_or_reclaimed_ma20+1', 'ma20_ma60_rising_alignment+2']",,0.75,15.89,19.84,,2024-11-04,2024-11-11,,,,,
2024-11-14,sz.300394,天孚通信,收盘条件退出,63.39,63.39,-12.98,R8; condition stop; 14:55/close proxy,active,-0.3178,-2000.0,64.91,卖出,2000.0,126780.0,10.78,63.39,63.39,137.56,75.94,129820.0,-3040.0,-3253.5,-2.5047,126642.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-14,sz.300525,博思软件,收盘条件退出,18.52,18.52,-14.91,R9; condition stop; 14:55/close proxy,active,-0.4837,-7800.0,19.12,卖出,7800.0,144456.0,12.28,72.23,72.23,156.73,87.24,149136.0,-4680.0,-4923.98,-3.2997,144299.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-15,sz.300394,天孚通信,收盘条件退出,58.37,58.37,-8.82,R5; condition stop; 14:55/close proxy,active,-0.6557,-1400.0,62.99,卖出,1400.0,81718.0,6.95,40.86,40.86,88.66,51.59,88186.0,-6468.0,-6608.25,-7.4892,81629.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-15,sz.300394,天孚通信,统一分仓收盘止盈2份,58.37,58.37,-12.27,"止盈条件=profit_floor,rising_ma20_break_3pct; 14:55/close proxy",active,0.557,-2200.0,55.775,卖出,2200.0,128414.0,10.92,64.21,64.21,139.33,71.78,122705.0,5709.0,5497.89,4.478,128274.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18,sz.300394,天孚通信,统一尾仓收盘退出,56.93,56.93,-6.14,止盈条件=maximum_profit_half; 14:55/close proxy,active,0.1203,-1100.0,55.775,卖出,1100.0,62623.0,5.32,31.31,31.31,67.95,35.89,61352.5,1270.5,1166.66,1.9005,62555.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18,sz.300525,博思软件,统一分仓收盘止盈2份,16.67,16.67,-11.82,"止盈条件=profit_floor,rising_ma20_break_3pct; 14:55/close proxy",active,-0.1667,-7000.0,16.89,卖出,7000.0,116690.0,9.92,58.35,58.35,126.61,69.16,118230.0,-1540.0,-1735.77,-1.4673,116563.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-22,sh.688692,达梦数据,右侧买入,269.81,269.81,26.98,R10; 33未三日下行首仓; 连阳波段一半拉回; 一半位置止损; intraday_cross,active,-0.0158,1000.0,269.81,买入,1000.0,269810.0,22.93,0.0,134.91,157.84,0.0,,,-157.84,-0.0585,-269967.84,30.0,False,True,200.0,,,,基本面硬条件通过且多周期强度居前；20日强度+34.1%；60日强度+94.9%；距120日高点-6.6%；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.24倍；多周期均量扣低走高,9.0,MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.24倍；多周期均量扣低走高,trade_ready,aligned,bull_run_half_pullback,11.0,"['primary:bull_run_half_pullback+4', 'volume_confirmed+1', 'entry_within_structure_zone', 'entry_tight_to_structure+1', 'close_above_rising_or_reclaimed_ma20+1', 'entry_near_or_reclaims_ma20+2', 'ma20_ma60_rising_alignment+2']",,,,,,,,,,,,
2024-11-25,sh.688692,达梦数据,收盘条件退出,257.59,257.59,-26.98,R10; condition stop; 14:55/close proxy,active,-1.2499,-1000.0,269.81,卖出,1000.0,257590.0,21.9,128.79,128.79,279.49,157.84,269810.0,-12220.0,-12657.32,-4.6885,257310.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06,sz.300207,欣旺达,右侧买入,23.32,23.32,29.85,R11; 33未三日下行首仓; 回调波段50%收盘放量向上突破; close_confirmed,exited,-0.0175,12800.0,23.32,买入,12800.0,298496.0,25.37,0.0,149.25,174.62,0.0,,,-174.62,-0.0585,-298670.62,30.0,False,True,100.0,,,,基本价值线模型入选；MA20/MA60同步上扬；贴近上扬MA20支撑；基本面硬条件通过且多周期强度居前；20日强度-2.3%；60日强度+38.7%；120日强度+57.3%；距120日高点-11.7%；MA20/MA60同步上扬；贴近上扬MA20支撑,6.0,MA20/MA60同步上扬；贴近上扬MA20支撑,watch,aligned,pullback_50_breakout,13.0,"['primary:pullback_50_breakout+5', 'volume_confirmed+1', 'entry_within_structure_zone', 'entry_tight_to_structure+1', 'entry_near_or_reclaims_ma20+2', 'ma20_ma60_rising_alignment+2', 'large_wave_structure+2']",,0.5,10.34,25.98,20.08,2024-02-05,2024-10-08,2024-10-11,False,,,
2024-12-13,sz.300207,欣旺达,收盘条件退出,22.84,22.84,-29.85,R11; condition stop; 14:55/close proxy,exited,-0.6461,-12800.0,23.32,卖出,12800.0,292352.0,24.85,146.18,146.18,317.2,174.62,298496.0,-6144.0,-6635.82,-2.2218,292034.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-19,sz.301498,乖宝宠物,右侧买入,70.26,70.26,29.51,R12; 33未三日下行首仓; W底收盘放量突破颈线; close_confirmed,watch,-0.0173,4200.0,70.26,买入,4200.0,295092.0,25.08,0.0,147.55,172.63,0.0,,,-172.63,-0.0585,-295264.63,30.0,False,True,100.0,,,,基本面硬条件通过且多周期强度居前；20日强度+10.3%；60日强度+32.4%；120日强度+26.3%；距120日高点-2.7%；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）,9.0,MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）,trade_ready,aligned,w_bottom_neckline,12.0,"['primary:w_bottom_neckline+6', 'volume_confirmed+1', 'entry_within_structure_zone', 'close_above_rising_or_reclaimed_ma20+1', 'entry_near_or_reclaims_ma20+2', 'ma20_ma60_rising_alignment+2']",,,,,,,,,,,,
2024-12-25,sz.300525,博思软件,收盘条件退出,15.94,15.94,-18.07,R7; condition stop; 14:55/close proxy,watch,-1.035,-10700.0,16.89,卖出,10700.0,170558.0,14.5,85.28,85.28,185.06,105.72,180723.0,-10165.0,-10455.78,-5.7821,170372.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-30,sh.688408,中信博,左侧网格买入,66.843,66.84257532961831,1.34,L4; 价值线网格第4份; intraday_cross,watch,-0.0012,200.0,66.84257532961831,买入,200.0,13368.52,5.0,0.0,6.68,11.68,0.0,,,-11.68,-0.0874,-13380.2,2.0,False,True,200.0,3.0,66.84257532961831,left,,,,,,,,,,,,,,,,,,,,
2024-12-30,sh.688408,中信博,左侧网格买入,66.843,66.84257532961831,1.34,L5; 价值线网格第5份; intraday_cross,watch,-0.0012,200.0,66.84257532961831,买入,200.0,13368.52,5.0,0.0,6.68,11.68,0.0,,,-11.68,-0.0874,-13380.2,2.0,False,True,200.0,4.0,66.84257532961831,left,,,,,,,,,,,,,,,,,,,,
2024-12-31,sh.688408,中信博,左侧网格卖出,70.185,70.18470409609924,-1.34,L4; 上一格卖出; intraday_cross,watch,0.0649,-200.0,66.84257532961831,卖出,200.0,14036.94,5.0,7.02,7.02,19.04,11.68,13368.52,668.43,637.7,4.766,14017.9,,,,,3.0,66.84257532961831,left,,,,,,,,,,,,,,,,,,,,
2025-01-02,sz.301498,乖宝宠物,右侧买入,78.02,78.02,14.04,"R13; 浮盈加仓50%; 上涨波段75.0%拉回支撑5%区域; 共振=MA5,MA10; close_confirmed",watch,-0.0082,1800.0,78.02,买入,1800.0,140436.0,11.94,0.0,70.22,82.16,0.0,,,-82.16,-0.0585,-140518.16,14.754600000000002,False,True,100.0,,,,基本面硬条件通过且多周期强度居前；20日强度+16.9%；60日强度+17.9%；120日强度+49.4%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）,9.0,MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）,trade_ready,aligned,uptrend_support_pullback,9.0,"['primary:uptrend_support_pullback+4', 'volume_confirmed+1', 'entry_within_structure_zone', 'entry_tight_to_structure+1', 'close_above_rising_or_reclaimed_ma20+1', 'ma20_ma60_rising_alignment+2']",,0.75,66.41,80.06,,2024-12-18,2024-12-30,,,,,
2025-01-03,sh.688408,中信博,左侧网格买入,66.58,66.58,1.33,L4; 价值线网格第4份; gap_or_open_fill,watch,-0.0012,200.0,66.58,买入,200.0,13316.0,5.0,0.0,6.66,11.66,0.0,,,-11.66,-0.0875,-13327.66,2.0,False,True,200.0,3.0,66.84257532961831,left,,,,,,,,,,,,,,,,,,,,
2025-01-06,sh.688408,中信博,左侧网格卖出,70.185,70.18470409609924,-1.33,L4; 上一格卖出; intraday_cross,watch,0.0702,-200.0,66.58,卖出,200.0,14036.94,5.0,7.02,7.02,19.04,11.66,13316.0,720.94,690.25,5.179,14017.9,,,,,3.0,66.84257532961831,left,,,,,,,,,,,,,,,,,,,,
2025-01-08,sh.688408,中信博,左侧网格买入,66.843,66.84257532961831,1.34,L4; 价值线网格第4份; intraday_cross,watch,-0.0012,200.0,66.84257532961831,买入,200.0,13368.52,5.0,0.0,6.68,11.68,0.0,,,-11.68,-0.0874,-13380.2,2.0,False,True,200.0,3.0,66.84257532961831,left,,,,,,,,,,,,,,,,,,,,
2025-01-09,sh.688408,中信博,左侧网格卖出,70.185,70.18470409609924,-1.34,L4; 上一格卖出; intraday_cross,exited,0.0649,-200.0,66.84257532961831,卖出,200.0,14036.94,5.0,7.02,7.02,19.04,11.68,13368.52,668.43,637.7,4.766,14017.9,,,,,3.0,66.84257532961831,left,,,,,,,,,,,,,,,,,,,,
2025-01-10,sh.688408,中信博,左侧网格买入,66.843,66.84257532961831,1.34,L4; 价值线网格第4份; intraday_cross,exited,-0.0012,200.0,66.84257532961831,买入,200.0,13368.52,5.0,0.0,6.68,11.68,0.0,,,-11.68,-0.0874,-13380.2,2.0,False,True,200.0,3.0,66.84257532961831,left,,,,,,,,,,,,,,,,,,,,
2025-01-13,sz.301498,乖宝宠物,收盘条件退出,81.57,81.57,-14.04,R13; entry time condition; 14:55/close proxy,exited,0.6231,-1800.0,78.02,卖出,1800.0,146826.0,12.48,73.41,73.41,159.31,82.16,140436.0,6390.0,6148.54,4.3756,146666.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14,sh.688408,中信博,左侧网格卖出,70.185,70.18470409609924,-1.34,L4; 上一格卖出; intraday_cross,exited,0.0649,-200.0,66.84257532961831,卖出,200.0,14036.94,5.0,7.02,7.02,19.04,11.68,13368.52,668.43,637.7,4.766,14017.9,,,,,3.0,66.84257532961831,left,,,,,,,,,,,,,,,,,,,,
2025-01-21,sz.300442,润泽科技,右侧买入,54.54,54.54,30.0,R14; 33未三日下行首仓; 回调波段50%收盘放量向上突破; 跳空向上加分; close_confirmed,exited,-0.0175,5500.0,54.54,买入,5500.0,299970.0,25.5,0.0,149.99,175.48,0.0,,,-175.48,-0.0585,-300145.48,30.0,False,True,100.0,,,,基本面硬条件通过且多周期强度居前；20日强度-5.3%；60日强度+65.0%；120日强度+156.3%；距120日高点-9.1%；MA20/MA60同步上扬；收盘站上MA20,6.0,MA20/MA60同步上扬；收盘站上MA20,watch,aligned,pullback_50_breakout,15.0,"['primary:pullback_50_breakout+5', 'volume_confirmed+1', 'entry_within_structure_zone', 'entry_tight_to_structure+1', 'close_above_rising_or_reclaimed_ma20+1', 'entry_near_or_reclaims_ma20+2', 'ma20_ma60_rising_alignment+2', 'large_wave_structure+2', 'gap_up+1']",,0.5,22.17,61.09,46.06,2024-09-23,2024-12-20,2025-01-08,True,,,
2025-01-23,sh.688408,中信博,左侧网格买入,60.75,60.75,1.21,L4; 价值线网格第4份; gap_or_open_fill,exited,-0.0011,200.0,60.75,买入,200.0,12150.0,5.0,0.0,6.08,11.07,0.0,,,-11.07,-0.0912,-12161.08,2.0,False,True,200.0,3.0,66.84257532961831,left,,,,,,,,,,,,,,,,,,,,
2025-01-23,sh.688408,中信博,左侧网格买入,60.75,60.75,1.21,L6; 价值线网格第6份; gap_or_open_fill,exited,-0.0011,200.0,60.75,买入,200.0,12150.0,5.0,0.0,6.08,11.07,0.0,,,-11.07,-0.0912,-12161.08,2.0,False,True,200.0,5.0,66.84257532961831,left,,,,,,,,,,,,,,,,,,,,
2025-01-23,sh.688408,中信博,左侧网格买入,60.325,60.325424234980524,1.21,L7; 价值线网格第7份; intraday_cross,exited,-0.0011,200.0,60.325424234980524,买入,200.0,12065.08,5.0,0.0,6.03,11.03,0.0,,,-11.03,-0.0914,-12076.12,2.0,False,True,200.0,6.0,66.84257532961831,left,,,,,,,,,,,,,,,,,,,,
