序号,日期,股票,代码,买卖,操作摘要,交易结果,成交价,数量(股),成交金额(元),手续费税费滑点(元),买卖理由,本次已实现盈亏(元),本次收益率(%),交易后持股(股),持仓状态,现金变化(元),选股理由,买卖依据对照,结构比例,锚点低/高,锚点日期
1,2024-09-25,中信博,sh.688408,买入,"买入中信博(sh.688408) 200股，成交价63.93，成交金额12,786.00元，现金-12,797.39元，交易后持股200股",建仓成本11.39元,63.93,200,12786.0,11.39,L1；价值线网格第1份；开盘已触发成交,-11.39,,200,持有200股,-12797.39,,,,,
2,2024-09-25,中信博,sh.688408,买入,"买入中信博(sh.688408) 200股，成交价63.93，成交金额12,786.00元，现金-12,797.39元，交易后持股400股",建仓成本11.39元,63.93,200,12786.0,11.39,L2；价值线网格第2份；开盘已触发成交,-11.39,,400,持有400股,-12797.39,,,,,
3,2024-09-25,中信博,sh.688408,买入,"买入中信博(sh.688408) 200股，成交价63.93，成交金额12,786.00元，现金-12,797.39元，交易后持股600股",建仓成本11.39元,63.93,200,12786.0,11.39,L3；价值线网格第3份；开盘已触发成交,-11.39,,600,持有600股,-12797.39,,,,,
4,2024-09-25,中信博,sh.688408,买入,"买入中信博(sh.688408) 200股，成交价63.93，成交金额12,786.00元，现金-12,797.39元，交易后持股800股",建仓成本11.39元,63.93,200,12786.0,11.39,L4；价值线网格第4份；开盘已触发成交,-11.39,,800,持有800股,-12797.39,,,,,
5,2024-09-25,中信博,sh.688408,买入,"买入中信博(sh.688408) 200股，成交价63.93，成交金额12,786.00元，现金-12,797.39元，交易后持股1000股",建仓成本11.39元,63.93,200,12786.0,11.39,L5；价值线网格第5份；开盘已触发成交,-11.39,,1000,持有1000股,-12797.39,,,,,
6,2024-09-25,中信博,sh.688408,买入,"买入中信博(sh.688408) 200股，成交价63.5，成交金额12,700.09元，现金-12,711.44元，交易后持股1200股",建仓成本11.35元,63.5,200,12700.09,11.35,L6；价值线网格第6份；盘中触及结构位成交,-11.35,,1200,持有1200股,-12711.44,,,,,
7,2024-09-25,中际旭创,sz.300308,买入,"买入中际旭创(sz.300308) 100股，成交价124.052，成交金额12,405.22元，现金-12,416.42元，交易后持股100股",建仓成本11.20元,124.052,100,12405.22,11.2,L1；价值线网格第1份；盘中触及结构位成交,-11.2,,100,持有100股,-12416.42,,,,,
8,2024-09-25,中际旭创,sz.300308,买入,"买入中际旭创(sz.300308) 100股，成交价124.052，成交金额12,405.22元，现金-12,416.42元，交易后持股200股",建仓成本11.20元,124.052,100,12405.22,11.2,L2；价值线网格第2份；盘中触及结构位成交,-11.2,,200,持有200股,-12416.42,,,,,
9,2024-09-25,中际旭创,sz.300308,买入,"买入中际旭创(sz.300308) 100股，成交价124.052，成交金额12,405.22元，现金-12,416.42元，交易后持股300股",建仓成本11.20元,124.052,100,12405.22,11.2,L3；价值线网格第3份；盘中触及结构位成交,-11.2,,300,持有300股,-12416.42,,,,,
10,2024-09-25,中际旭创,sz.300308,买入,"买入中际旭创(sz.300308) 100股，成交价124.052，成交金额12,405.22元，现金-12,416.42元，交易后持股400股",建仓成本11.20元,124.052,100,12405.22,11.2,L4；价值线网格第4份；盘中触及结构位成交,-11.2,,400,持有400股,-12416.42,,,,,
11,2024-09-25,中际旭创,sz.300308,买入,"买入中际旭创(sz.300308) 100股，成交价124.052，成交金额12,405.22元，现金-12,416.42元，交易后持股500股",建仓成本11.20元,124.052,100,12405.22,11.2,L5；价值线网格第5份；盘中触及结构位成交,-11.2,,500,持有500股,-12416.42,,,,,
12,2024-09-25,巨星科技,sz.002444,买入,"买入巨星科技(sz.002444) 700股，成交价26.86，成交金额18,802.00元，现金-18,816.40元，交易后持股700股",建仓成本14.40元,26.86,700,18802.0,14.4,L1；价值线网格第1份；开盘已触发成交,-14.4,,700,持有700股,-18816.4,,,,,
