date,code,name,action,price,execution_price,position_change_pct,reason,phase,realized_account_pct,execution_quantity,cost_basis,trade_side,quantity,trade_amount,commission_amount,stamp_duty_amount,slippage_amount,transaction_cost_amount,allocated_entry_fee_amount,cost_amount,gross_pnl_amount,profit_loss_amount,profit_loss_pct,cash_change_amount,requested_position_pct,cash_limited,lot_rounded,board_lot_size,grid_slot,value_line,account_mode,selection_reason,trade_basis_score,trade_basis_reason,technical_alignment,ima_web_validation,signal_type,entry_evidence_score,entry_evidence,industry_tags,structure_ratio,anchor_low,anchor_high,anchor_low_date,anchor_high_date,gap_up,anchor_pullback_low,anchor_pullback_low_date
2026-04-22,sz.001389,广合科技,突破次日确认持有,157.63,157.63,0.0,R47; 开盘仍在148.570上方,active,0.0,0.0,,状态,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-28,sz.001389,广合科技,统一分仓收盘止盈1份,164.46,164.46,-5.06,止盈条件=trailing_10; 14:55/close proxy,active,1.5125,-400.0,126.47,卖出,400.0,65784.0,5.59,32.89,32.89,71.38,29.59,50588.0,15196.0,15095.03,29.8217,65712.62,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,sz.001389,广合科技,加仓批次合并,179.67,179.67,0.0,R47; 浮盈达到10%,active,0.0,0.0,,状态,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-15,sh.688025,杰普特,右侧买入,393.96,393.96,7.88,R49; 浮盈加仓33%; 强趋势收盘放量突破21日收盘高点; 突破位止损; close_confirmed,active,-0.0046,200.0,393.96,买入,200.0,78792.0,6.7,0.0,39.4,46.09,0.0,,,-46.09,-0.0585,-78838.09,8.4488,False,True,200.0,,,,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+39.2%；60日强度+110.5%；120日强度+155.6%；距120日高点-0.3%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,10.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；多周期均量扣低走高,trade_ready,aligned,strong_trend_breakout,7.0,"['primary:strong_trend_breakout', 'ma20_ma60_strong_trend', 'durable_price_leadership', 'volume_confirmed']",自动化设备,,,,,,,,
2026-05-18,sh.688025,杰普特,突破次日确认持有,381.19,381.19,0.0,R49; 开盘仍在374.240上方,active,0.0,0.0,,状态,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-21,sh.688025,杰普特,统一分仓收盘止盈1份,379.19,379.19,-6.34,止盈条件=trailing_10; 14:55/close proxy,active,1.239,-200.0,316.83,卖出,200.0,75838.0,6.45,37.92,37.92,82.28,37.07,63366.0,12472.0,12352.65,19.4827,75755.72,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25,sh.688025,杰普特,加仓批次合并,443.68,443.68,0.0,R49; 浮盈达到10%,active,0.0,0.0,,状态,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-01,sh.688025,杰普特,收盘条件退出,369.04,369.04,-7.88,R49; condition stop; 14:55/close proxy,active,-0.5064,-200.0,393.96,卖出,200.0,73808.0,6.27,36.9,36.9,80.08,46.09,78792.0,-4984.0,-5110.18,-6.4819,73727.92,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-01,sh.688025,杰普特,统一分仓收盘止盈1份,369.04,369.04,-6.34,止盈条件=rising_ma20_break_3pct; 14:55/close proxy,active,1.0362,-200.0,316.83,卖出,200.0,73808.0,6.27,36.9,36.9,80.08,37.07,63366.0,10442.0,10324.85,16.2845,73727.92,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-03,sz.001389,广合科技,统一分仓收盘止盈1份,176.9,176.9,-7.59,止盈条件=rising_ma20_break_3pct; 14:55/close proxy,active,3.0143,-600.0,126.47,卖出,600.0,106140.0,9.02,53.07,53.07,115.16,44.39,75882.0,30258.0,30098.45,39.6416,106024.84,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-30,sz.001389,广合科技,右侧买入,236.6,236.6,7.1,R50; 浮盈加仓33%; 强趋势收盘放量突破21日收盘高点; 突破位止损; close_confirmed,active,-0.0042,300.0,236.6,买入,300.0,70980.0,6.03,0.0,35.49,41.52,0.0,,,-41.52,-0.0585,-71021.52,8.633366666666666,False,True,100.0,,,,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.54倍；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+12.3%；60日强度+88.4%；120日强度+172.8%；距120日高点-0.2%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.54倍；多周期均量扣低走高,12.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.54倍；多周期均量扣低走高,trade_ready,aligned,strong_trend_breakout,7.0,"['primary:strong_trend_breakout', 'ma20_ma60_strong_trend', 'durable_price_leadership', 'volume_confirmed']",元件,,,,,,,,
2026-07-01,sz.001389,广合科技,突破次日确认持有,234.55,234.55,0.0,R50; 开盘仍在220.230上方,active,0.0,0.0,,状态,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,sz.001389,广合科技,止损清仓,212.94,212.94,-7.1,R50; hard space stop 212.940; intraday_stop,active,-0.7167,-300.0,236.6,卖出,300.0,63882.0,5.43,31.94,31.94,69.31,41.52,70980.0,-7098.0,-7208.84,-10.1502,63812.69,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-02,sh.688025,杰普特,统一分仓收盘止盈1份,386.88,386.88,-6.34,止盈条件=volume_node_break:2026-06-25; 14:55/close proxy,active,1.3926,-200.0,316.83,卖出,200.0,77376.0,6.58,38.69,38.69,83.95,37.07,63366.0,14010.0,13888.98,21.9058,77292.05,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-02,sz.001389,广合科技,统一分仓收盘止盈1份,196.15,196.15,-7.59,止盈条件=volume_node_break:2026-06-26; 14:55/close proxy,active,4.168,-600.0,126.47,卖出,600.0,117690.0,10.0,58.84,58.84,127.69,44.39,75882.0,41808.0,41635.92,54.8372,117562.31,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-03,sh.688025,杰普特,统一尾仓收盘退出,395.0,395.0,-6.34,止盈条件=maximum_profit_half; 14:55/close proxy,active,1.5548,-200.0,316.83,卖出,200.0,79000.0,6.72,39.5,39.5,85.72,37.07,63366.0,15634.0,15511.22,24.4645,78914.29,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-08,sz.002768,国恩股份,右侧买入,60.01,60.01,29.4,R51; 33未三日下行首仓; 强趋势收盘放量突破21日收盘高点; 突破位止损; close_confirmed,active,-0.0172,4900.0,60.01,买入,4900.0,294049.0,24.99,0.0,147.02,172.02,0.0,,,-172.02,-0.0585,-294221.02,30.0,False,True,100.0,,,,基本面硬条件通过且多周期强度居前；20日强度+39.5%；60日强度+76.6%；120日强度+61.9%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.47倍；多周期均量扣低走高,12.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.47倍；多周期均量扣低走高,trade_ready,aligned,strong_trend_breakout,8.0,"['primary:strong_trend_breakout', 'ma20_ma60_strong_trend', 'durable_price_leadership', 'volume_confirmed', 'gap_up']",,,,,,,,,
2026-07-09,sz.002768,国恩股份,突破次日确认持有,58.5,58.5,0.0,R51; 开盘仍在58.000上方,active,0.0,0.0,,状态,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-10,sz.002768,国恩股份,收盘条件退出,56.85,56.85,-29.4,R51; condition stop; 14:55/close proxy,active,-1.5786,-4900.0,60.01,卖出,4900.0,278565.0,23.68,139.28,139.28,302.24,172.02,294049.0,-15484.0,-15958.26,-5.4239,278262.76,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-14,sh.688072,拓荆科技,右侧买入,850.01,850.01,17.0,R52; 33未三日下行首仓; 强趋势收盘放量突破21日收盘高点; 突破位止损; close_confirmed,active,-0.0099,200.0,850.01,买入,200.0,170002.0,14.45,0.0,85.0,99.45,0.0,,,-99.45,-0.0585,-170101.45,30.0,False,True,200.0,,,,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准2.33倍；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+34.6%；60日强度+118.4%；120日强度+139.5%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准2.33倍；多周期均量扣低走高,12.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准2.33倍；多周期均量扣低走高,trade_ready,aligned,strong_trend_breakout,7.0,"['primary:strong_trend_breakout', 'ma20_ma60_strong_trend', 'durable_price_leadership', 'volume_confirmed']",半导体,,,,,,,,
