date,current_equity,vectorbt_equity,equity_delta_pct,vectorbt_cash
2024-09-24,1.0,1.0,0.0,1000000.0
2024-09-25,0.996981595642716,0.996981595642716,0.0,923301.595642716
2024-09-26,0.9986975956427161,0.9986975956427161,0.0,923301.595642716
2024-09-27,1.0063576460719743,1.0063576460719743,0.0,950669.6460719744
2024-09-30,1.0146959200719743,1.0146959200719743,0.0,965375.9200719744
2024-10-08,1.0235339200719744,1.0235339200719744,0.0,965375.9200719744
2024-10-09,1.0137059200719745,1.0137059200719745,0.0,965375.9200719744
2024-10-10,1.0128479200719744,1.0128479200719744,0.0,965375.9200719744
2024-10-11,1.0103159200719745,1.0103159200719745,0.0,965375.9200719744
2024-10-14,1.0127219200719744,1.0127219200719744,0.0,965375.9200719744
2024-10-15,1.0117139200719745,1.0117139200719745,0.0,965375.9200719744
2024-10-16,1.0109999200719744,1.0109999200719744,0.0,965375.9200719744
2024-10-17,1.0102019200719743,1.0102019200719743,0.0,965375.9200719744
2024-10-18,1.0152599200719743,1.0152599200719743,0.0,965375.9200719744
2024-10-21,1.0164239200719745,1.0164239200719745,0.0,965375.9200719744
2024-10-22,1.0164839200719744,1.0164839200719744,0.0,965375.9200719744
2024-10-23,1.0374684896844744,1.0374684896844744,0.0,669595.4896844744
2024-10-24,1.0650774896844744,1.0650774896844744,0.0,669595.4896844744
2024-10-25,1.0749624896844745,1.0749624896844745,0.0,669595.4896844744
2024-10-28,1.0796894896844744,1.0796894896844744,0.0,669595.4896844744
2024-10-29,1.0752880351844745,1.0752880351844745,0.0,737222.0351844744
2024-10-30,1.0730251054544744,1.0730251054544744,0.0,617614.1054544745
2024-10-31,1.0628325315244744,1.0628325315244744,0.0,734145.5315244745
2024-11-01,1.0519945985644743,1.0519945985644743,0.0,708829.5985644745
2024-11-04,1.0630605985644743,1.0630605985644743,0.0,708829.5985644745
2024-11-05,1.0754437110594746,1.0754437110594743,-2.220446049250313e-14,409701.7110594745
2024-11-06,1.0746757110594747,1.0746757110594745,-2.220446049250313e-14,409701.7110594745
2024-11-07,1.0971467110594744,1.0971467110594744,0.0,409701.7110594745
2024-11-08,1.1063307110594744,1.1063307110594744,0.0,409701.7110594745
2024-11-11,1.1106497110594744,1.1106497110594744,0.0,409701.7110594745
2024-11-12,1.1038567663594745,1.1038567663594745,0.0,279805.7663594745
2024-11-13,1.1232247663594745,1.1232247663594745,0.0,279805.7663594745
2024-11-14,1.0840252100594745,1.0840252100594745,0.0,406448.2100594745
2024-11-15,1.0504682168394746,1.0504682168394746,0.0,616352.2168394745
2024-11-18,1.0225416622344745,1.0225416622344745,0.0,795470.6622344746
2024-11-19,1.0281746622344745,1.0281746622344745,0.0,795470.6622344746
2024-11-20,1.0300566622344745,1.0300566622344745,0.0,795470.6622344746
2024-11-21,1.0312366622344746,1.0312366622344746,0.0,795470.6622344746
2024-11-22,1.0226856622344747,1.0226856622344747,0.0,795470.6622344746
2024-11-25,1.0310376622344746,1.0310376622344746,0.0,795470.6622344746
2024-11-26,1.0211146622344744,1.0211146622344744,0.0,795470.6622344746
2024-11-27,1.0330306622344745,1.0330306622344745,0.0,795470.6622344746
2024-11-28,1.0288106622344746,1.0288106622344746,0.0,795470.6622344746
2024-11-29,1.0342396622344745,1.0342396622344745,0.0,795470.6622344746
2024-12-02,1.0334206622344746,1.0334206622344746,0.0,795470.6622344746
2024-12-03,1.0326036622344745,1.0326036622344745,0.0,795470.6622344746
2024-12-04,1.0244626622344746,1.0244626622344746,0.0,795470.6622344746
2024-12-05,1.0242296622344746,1.0242296622344746,0.0,795470.6622344746
2024-12-06,1.0255346622344745,1.0255346622344745,0.0,795470.6622344746
2024-12-09,1.0196896622344747,1.0196896622344747,0.0,795470.6622344746
2024-12-10,1.0274096622344746,1.0274096622344746,0.0,795470.6622344746
2024-12-11,1.0244026622344746,1.0244026622344746,0.0,795470.6622344746
2024-12-12,1.0255666622344746,1.0255666622344746,0.0,795470.6622344746
2024-12-13,1.0207396622344747,1.0207396622344747,0.0,795470.6622344746
2024-12-16,1.0154046622344746,1.0154046622344746,0.0,795470.6622344746
2024-12-17,1.0154456622344745,1.0154456622344745,0.0,795470.6622344746
2024-12-18,1.0153066622344746,1.0153066622344746,0.0,795470.6622344746
2024-12-19,1.0178206622344745,1.0178206622344745,0.0,795470.6622344746
2024-12-20,1.0182346622344745,1.0182346622344745,0.0,795470.6622344746
2024-12-23,1.0124256622344745,1.0124256622344745,0.0,795470.6622344746
2024-12-24,1.0147766622344745,1.0147766622344745,0.0,795470.6622344746
2024-12-25,1.0089596068044744,1.0089596068044744,0.0,965843.6068044745
2024-12-26,1.0078436068044745,1.0078436068044745,0.0,965843.6068044745
2024-12-27,1.0064516068044744,1.0064516068044744,0.0,965843.6068044745
2024-12-30,1.0085832081575612,1.0085832081575612,0.0,939083.2081575613
2024-12-31,1.009493112035962,1.009493112035962,0.0,953101.1120359619
2025-01-02,1.0064291120359619,1.0064291120359619,0.0,953101.1120359619
2025-01-03,1.0054434540359618,1.0054434540359618,0.0,939773.4540359619
2025-01-06,1.0092073579143626,1.0092073579143626,0.0,953791.3579143626
2025-01-07,1.0083593579143626,1.0083593579143626,0.0,953791.3579143626
2025-01-08,1.008331158590906,1.008331158590906,0.0,940411.158590906
2025-01-09,1.0090370624693066,1.0090370624693066,0.0,954429.0624693066
2025-01-10,1.00688886314585,1.00688886314585,0.0,941048.86314585
2025-01-13,1.00777886314585,1.00777886314585,0.0,941048.86314585
2025-01-14,1.0120827670242507,1.0120827670242507,0.0,955066.7670242507
2025-01-15,1.0111627670242507,1.0111627670242507,0.0,955066.7670242507
2025-01-16,1.0102987670242507,1.0102987670242507,0.0,955066.7670242507
2025-01-17,1.0102667670242507,1.0102667670242507,0.0,955066.7670242507
2025-01-20,1.0109947670242507,1.0109947670242507,0.0,955066.7670242507
