date,code,name,action,price,execution_price,position_change_pct,reason,phase,realized_account_pct,execution_quantity,cost_basis,trade_side,quantity,trade_amount,commission_amount,stamp_duty_amount,slippage_amount,transaction_cost_amount,allocated_entry_fee_amount,cost_amount,gross_pnl_amount,profit_loss_amount,profit_loss_pct,cash_change_amount,requested_position_pct,cash_limited,lot_rounded,board_lot_size,selection_reason,trade_basis_score,trade_basis_reason,technical_alignment,ima_web_validation,structure_ratio,anchor_low,anchor_high,anchor_low_date,anchor_high_date,signal_type,anchor_pullback_low,anchor_pullback_low_date,gap_up
2025-12-10,sz.002028,思源电气,突破次日未确认退出,154.66,154.66,-9.49,R91; 开盘未站上158.240; gap_stop,exited,-0.2249,-600.0,158.24,卖出,600.0,92796.0,7.89,46.4,46.4,100.68,55.54,94944.0,-2148.0,-2304.23,-2.4255,92695.32,,,,,,,,,,,,,,,,,,
2025-12-10,sz.002028,思源电气,右侧买入,154.15,154.15,13.87,R92; 浮盈加仓50%; 上涨波段75.0%拉回支撑; 共振=MA5; intraday_cross,exited,-0.0081,900.0,154.15,买入,900.0,138735.0,11.79,0.0,69.37,81.16,0.0,,,-81.16,-0.0585,-138816.16,15.068447499999998,False,True,100.0,基本面硬条件通过且多周期强度居前；20日强度+11.3%；60日强度+68.1%；120日强度+116.1%；距120日高点-1.4%；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内,9.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内,trade_ready,aligned,0.75,132.94,161.22,2025-11-24,2025-12-08,uptrend_support_pullback,,,
2025-12-11,sz.002028,思源电气,收盘条件退出,153.23,153.23,-13.87,R92; condition stop; 14:55/close proxy,exited,-0.0978,-900.0,154.15,卖出,900.0,137907.0,11.72,68.95,68.95,149.63,81.16,138735.0,-828.0,-1058.79,-0.7627,137757.37,,,,,,,,,,,,,,,,,,
2025-12-15,sz.002028,思源电气,右侧买入,149.87,149.87,14.99,R93; 浮盈加仓50%; 上涨波段62.5%拉回支撑; 共振=MA10; gap_or_open_fill,exited,-0.0088,1000.0,149.87,买入,1000.0,149870.0,12.74,0.0,74.94,87.67,0.0,,,-87.67,-0.0585,-149957.67,15.068447499999998,False,True,100.0,基本面硬条件通过且多周期强度居前；20日强度+2.0%；60日强度+63.5%；120日强度+108.8%；距120日高点-4.3%；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.22倍,8.0,MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.22倍,trade_ready,aligned,0.625,132.94,161.31,2025-11-24,2025-12-11,uptrend_support_pullback,,,
2025-12-16,sz.002028,思源电气,收盘条件退出,148.56,148.56,-14.99,R93; condition stop; 14:55/close proxy,exited,-0.1471,-1000.0,149.87,卖出,1000.0,148560.0,12.63,74.28,74.28,161.19,87.67,149870.0,-1310.0,-1558.86,-1.0395,148398.81,,,,,,,,,,,,,,,,,,
2025-12-17,sz.002028,思源电气,右侧买入,147.125,147.125,14.71,R94; 浮盈加仓50%; 上涨波段50.0%拉回支撑; 共振=MA20; intraday_cross,exited,-0.0086,1000.0,147.125,买入,1000.0,147125.0,12.51,0.0,73.56,86.07,0.0,,,-86.07,-0.0585,-147211.07,15.068447499999998,False,True,100.0,基本面硬条件通过且多周期强度居前；20日强度+4.4%；60日强度+60.0%；120日强度+108.3%；距120日高点-6.1%；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.49倍；多周期均量扣低走高,9.0,MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.49倍；多周期均量扣低走高,trade_ready,aligned,0.5,132.94,161.31,2025-11-24,2025-12-11,uptrend_support_pullback,,,
2025-12-18,sz.002028,思源电气,收盘条件退出,143.59,143.59,-14.71,R94; condition stop; 14:55/close proxy,exited,-0.3691,-1000.0,147.125,卖出,1000.0,143590.0,12.21,71.8,71.8,155.8,86.07,147125.0,-3535.0,-3776.86,-2.5656,143434.2,,,,,,,,,,,,,,,,,,
2025-12-18,sz.002028,思源电气,统一分仓收盘止盈1份,143.59,143.59,-4.57,14:55/close proxy,exited,1.169,-400.0,114.21,卖出,400.0,57436.0,5.0,28.72,28.72,62.44,26.73,45684.0,11752.0,11662.84,25.5144,57373.56,,,,,,,,,,,,,,,,,,
2025-12-23,sz.002028,思源电气,右侧买入,148.622,148.622,11.89,R95; 浮盈加仓50%; 上扬MA20/MA60结构回踩20日均线; intraday_cross,exited,-0.007,800.0,148.622,买入,800.0,118897.6,10.11,0.0,59.45,69.56,0.0,,,-69.56,-0.0585,-118967.16,12.784247500000001,False,True,100.0,基本面硬条件通过且多周期强度居前；20日强度+10.1%；60日强度+50.9%；120日强度+108.6%；距120日高点-5.4%；MA20/MA60同步上扬；收盘站上MA20,6.0,MA20/MA60同步上扬；收盘站上MA20,watch,aligned,,,,,,,,,
2026-01-12,sz.002028,思源电气,收盘条件退出,158.62,158.62,-11.89,R95; entry time condition; 14:55/close proxy,active,0.7861,-800.0,148.622,卖出,800.0,126896.0,10.79,63.45,63.45,137.68,69.56,118897.6,7998.4,7791.16,6.549,126758.32,,,,,,,,,,,,,,,,,,
