date,equity,cash,cash_pct,gross_exposure_pct,candidate_count
2024-09-24,1.0,1000000.0,100.0,0.0,0
2024-09-25,1.0,1000000.0,100.0,0.0,0
2024-09-26,1.0,1000000.0,100.0,0.0,0
2024-09-27,1.0,1000000.0,100.0,0.0,0
2024-09-30,1.0,1000000.0,100.0,0.0,0
2024-10-08,1.0,1000000.0,100.0,0.0,0
2024-10-09,1.0,1000000.0,100.0,0.0,0
2024-10-10,1.0,1000000.0,100.0,0.0,0
2024-10-11,1.0,1000000.0,100.0,0.0,0
2024-10-14,1.0,1000000.0,100.0,0.0,0
2024-10-15,1.0,1000000.0,100.0,0.0,0
2024-10-16,1.0,1000000.0,100.0,0.0,0
2024-10-17,1.0,1000000.0,100.0,0.0,0
2024-10-18,1.0,1000000.0,100.0,0.0,0
2024-10-21,1.0,1000000.0,100.0,0.0,0
2024-10-22,1.0,1000000.0,100.0,0.0,0
2024-10-23,1.0,1000000.0,100.0,0.0,0
2024-10-24,1.0,1000000.0,100.0,0.0,0
2024-10-25,1.0,1000000.0,100.0,0.0,0
2024-10-28,1.0,1000000.0,100.0,0.0,0
2024-10-29,1.0,1000000.0,100.0,0.0,0
2024-10-30,1.0,1000000.0,100.0,0.0,0
2024-10-31,1.0,1000000.0,100.0,0.0,0
2024-11-01,1.0,1000000.0,100.0,0.0,0
2024-11-04,1.0,1000000.0,100.0,0.0,0
2024-11-05,1.0,1000000.0,100.0,0.0,0
2024-11-06,1.0,1000000.0,100.0,0.0,0
2024-11-07,1.0,1000000.0,100.0,0.0,0
2024-11-08,1.0,1000000.0,100.0,0.0,0
2024-11-11,1.0,1000000.0,100.0,0.0,0
2024-11-12,1.0,1000000.0,100.0,0.0,0
2024-11-13,1.0,1000000.0,100.0,0.0,0
2024-11-14,1.0,1000000.0,100.0,0.0,0
2024-11-15,1.0,1000000.0,100.0,0.0,0
2024-11-18,1.0,1000000.0,100.0,0.0,0
2024-11-19,1.0,1000000.0,100.0,0.0,0
2024-11-20,1.0,1000000.0,100.0,0.0,0
2024-11-21,1.0,1000000.0,100.0,0.0,0
2024-11-22,1.0,1000000.0,100.0,0.0,0
2024-11-25,1.0,1000000.0,100.0,0.0,0
2024-11-26,1.0,1000000.0,100.0,0.0,0
2024-11-27,1.0,1000000.0,100.0,0.0,0
2024-11-28,1.0,1000000.0,100.0,0.0,0
2024-11-29,1.0,1000000.0,100.0,0.0,0
2024-12-02,1.0,1000000.0,100.0,0.0,0
2024-12-03,1.0,1000000.0,100.0,0.0,0
2024-12-04,1.0,1000000.0,100.0,0.0,0
2024-12-05,1.0,1000000.0,100.0,0.0,0
2024-12-06,1.0,1000000.0,100.0,0.0,0
2024-12-09,1.0,1000000.0,100.0,0.0,0
2024-12-10,1.0,1000000.0,100.0,0.0,0
2024-12-11,1.0,1000000.0,100.0,0.0,0
2024-12-12,1.0,1000000.0,100.0,0.0,0
2024-12-13,1.0,1000000.0,100.0,0.0,0
2024-12-16,1.0,1000000.0,100.0,0.0,0
2024-12-17,1.0,1000000.0,100.0,0.0,0
2024-12-18,1.0,1000000.0,100.0,0.0,0
2024-12-19,1.0,1000000.0,100.0,0.0,0
2024-12-20,1.0,1000000.0,100.0,0.0,0
2024-12-23,1.0,1000000.0,100.0,0.0,0
2024-12-24,1.0,1000000.0,100.0,0.0,0
2024-12-25,1.0,1000000.0,100.0,0.0,0
2024-12-26,1.0,1000000.0,100.0,0.0,0
2024-12-27,1.0,1000000.0,100.0,0.0,0
2024-12-30,1.0,1000000.0,100.0,0.0,0
2024-12-31,1.0,1000000.0,100.0,0.0,0
2025-01-02,1.0,1000000.0,100.0,0.0,0
2025-01-03,1.0,1000000.0,100.0,0.0,0
2025-01-06,1.0,1000000.0,100.0,0.0,0
2025-01-07,1.0,1000000.0,100.0,0.0,0
2025-01-08,1.0,1000000.0,100.0,0.0,0
2025-01-09,1.0,1000000.0,100.0,0.0,0
2025-01-10,1.0,1000000.0,100.0,0.0,0
2025-01-13,1.0,1000000.0,100.0,0.0,0
2025-01-14,1.0,1000000.0,100.0,0.0,0
2025-01-15,1.0,1000000.0,100.0,0.0,0
2025-01-16,1.0,1000000.0,100.0,0.0,0
2025-01-17,1.0,1000000.0,100.0,0.0,0
2025-01-20,1.0,1000000.0,100.0,0.0,0
2025-01-21,1.0,1000000.0,100.0,0.0,0
2025-01-22,1.0,1000000.0,100.0,0.0,0
2025-01-23,1.0,1000000.0,100.0,0.0,0
2025-01-24,1.0,1000000.0,100.0,0.0,0
2025-01-27,1.0,1000000.0,100.0,0.0,0
2025-02-05,1.0,1000000.0,100.0,0.0,0
2025-02-06,1.0,1000000.0,100.0,0.0,0
2025-02-07,1.0,1000000.0,100.0,0.0,0
2025-02-10,1.0,1000000.0,100.0,0.0,0
2025-02-11,1.0,1000000.0,100.0,0.0,0
2025-02-12,1.0,1000000.0,100.0,0.0,0
2025-02-13,1.0,1000000.0,100.0,0.0,0
2025-02-14,1.0,1000000.0,100.0,0.0,0
2025-02-17,1.0,1000000.0,100.0,0.0,0
2025-02-18,1.0,1000000.0,100.0,0.0,0
2025-02-19,1.0,1000000.0,100.0,0.0,0
2025-02-20,1.0,1000000.0,100.0,0.0,0
2025-02-21,1.0,1000000.0,100.0,0.0,0
2025-02-24,1.0,1000000.0,100.0,0.0,0
2025-02-25,1.0,1000000.0,100.0,0.0,0
2025-02-26,1.0,1000000.0,100.0,0.0,0
2025-02-27,1.0,1000000.0,100.0,0.0,0
2025-02-28,1.0,1000000.0,100.0,0.0,0
2025-03-03,1.0,1000000.0,100.0,0.0,0
2025-03-04,1.0,1000000.0,100.0,0.0,0
2025-03-05,1.0,1000000.0,100.0,0.0,0
2025-03-06,1.0,1000000.0,100.0,0.0,0
2025-03-07,1.0,1000000.0,100.0,0.0,0
2025-03-10,1.0,1000000.0,100.0,0.0,0
2025-03-11,1.0,1000000.0,100.0,0.0,0
2025-03-12,1.0,1000000.0,100.0,0.0,0
2025-03-13,1.0,1000000.0,100.0,0.0,0
2025-03-14,1.0,1000000.0,100.0,0.0,0
2025-03-17,1.0,1000000.0,100.0,0.0,0
2025-03-18,1.0,1000000.0,100.0,0.0,0
2025-03-19,1.0,1000000.0,100.0,0.0,0
2025-03-20,1.0,1000000.0,100.0,0.0,0
2025-03-21,1.0,1000000.0,100.0,0.0,0
2025-03-24,1.0,1000000.0,100.0,0.0,0
2025-03-25,1.0,1000000.0,100.0,0.0,0
2025-03-26,1.0,1000000.0,100.0,0.0,0
2025-03-27,1.0,1000000.0,100.0,0.0,0
2025-03-28,1.0,1000000.0,100.0,0.0,0
2025-03-31,1.0,1000000.0,100.0,0.0,0
2025-04-01,1.0,1000000.0,100.0,0.0,0
2025-04-02,1.0,1000000.0,100.0,0.0,0
2025-04-03,1.0,1000000.0,100.0,0.0,0
2025-04-07,1.0,1000000.0,100.0,0.0,0
2025-04-08,1.0,1000000.0,100.0,0.0,0
2025-04-09,1.0,1000000.0,100.0,0.0,0
2025-04-10,1.0,1000000.0,100.0,0.0,0
2025-04-11,1.0,1000000.0,100.0,0.0,0
2025-04-14,1.0,1000000.0,100.0,0.0,0
2025-04-15,1.0,1000000.0,100.0,0.0,0
2025-04-16,1.0,1000000.0,100.0,0.0,0
2025-04-17,1.0,1000000.0,100.0,0.0,0
2025-04-18,1.0,1000000.0,100.0,0.0,0
2025-04-21,1.0,1000000.0,100.0,0.0,0
2025-04-22,1.0,1000000.0,100.0,0.0,0
2025-04-23,1.0,1000000.0,100.0,0.0,0
2025-04-24,1.0,1000000.0,100.0,0.0,0
2025-04-25,1.0,1000000.0,100.0,0.0,0
2025-04-28,1.0,1000000.0,100.0,0.0,0
2025-04-29,1.0,1000000.0,100.0,0.0,0
2025-04-30,1.0,1000000.0,100.0,0.0,0
2025-05-06,0.996000562885,804266.562885,80.7496,19.56,10
2025-05-07,0.99614199796,796578.9979600001,79.9664,19.91,10
2025-05-08,0.9962589979600001,796578.9979600001,79.957,19.91,10
2025-05-09,1.00242099796,796578.9979600001,79.4655,19.91,10
2025-05-12,0.99887199796,796578.9979600001,79.7479,19.91,10
2025-05-13,0.99852099796,796578.9979600001,79.7759,19.91,10
2025-05-14,1.00951899796,796578.9979600001,78.9068,19.91,10
2025-05-15,1.0100259979600001,796578.9979600001,78.8672,19.91,10
2025-05-16,1.00573599796,796578.9979600001,79.2036,19.91,10
2025-05-19,1.0084659979600001,796578.9979600001,78.9892,19.91,10
