date,equity,cash,cash_pct,gross_exposure_pct,candidate_count
2024-09-24,1.0,1000000.0,100.0,0.0,0
2024-09-25,1.002688623025,800948.623025,79.8801,19.89,10
2024-09-26,1.008683623025,800948.623025,79.4053,19.89,10
2024-09-27,1.012753623025,800948.623025,79.0862,19.89,10
2024-09-30,1.033983623025,800948.623025,77.4624,19.89,10
2024-10-08,1.057248623025,800948.623025,75.7578,19.89,10
2024-10-09,1.013780634725,600851.634725,59.2684,39.89,10
2024-10-10,1.0083844237550001,506286.42375500005,50.2077,47.88,10
2024-10-11,0.9972269032000001,573637.9032000001,57.5233,39.42,10
2024-10-14,1.0109489032,573637.9032000001,56.7425,39.42,10
2024-10-15,0.9836883751500001,481056.3751500001,48.9033,48.61,10
2024-10-16,0.9824187705000001,755048.7705000001,76.8561,19.89,10
2024-10-17,0.9811788695400001,656014.8695400001,66.8599,29.79,10
2024-10-18,0.9882098695400001,656014.8695400001,66.3842,29.79,10
2024-10-21,0.9822736744900001,474378.6744900001,48.2939,47.94,10
2024-10-22,0.9848322177200001,446876.21772000013,45.3759,49.79,10
2024-10-23,0.9859464976750001,643639.4976750001,65.2814,29.79,10
2024-10-24,0.9905059095150002,444226.9095150001,44.8485,49.72,10
2024-10-25,0.9934499095150002,444226.9095150001,44.7156,49.72,10
2024-10-28,0.9926159095150002,444226.9095150001,44.7532,49.72,10
2024-10-29,0.9908499095150002,444226.9095150001,44.8329,49.72,10
2024-10-30,0.9790316402750001,542064.6402750001,55.3674,39.82,10
2024-10-31,0.9712166402750001,542064.6402750001,55.8129,39.82,10
2024-11-01,0.9689676402750002,542064.6402750001,55.9425,39.82,10
2024-11-04,0.9789548063550001,444855.8063550001,45.4419,49.54,10
2024-11-05,1.0081458063550002,444855.8063550001,44.1261,49.54,10
2024-11-06,0.998573806355,444855.8063550001,44.5491,49.54,10
2024-11-07,1.0392318063550001,444855.8063550001,42.8062,49.54,10
2024-11-08,1.03637913323,284637.13323000015,27.4646,65.55,10
2024-11-11,1.0098222409100002,320026.24091000017,31.6913,61.59,10
2024-11-12,0.9853077310600001,509230.73106000014,51.6824,42.06,10
2024-11-13,0.9894407310600002,509230.73106000014,51.4665,42.06,10
2024-11-14,0.9855067310600001,509230.73106000014,51.672,42.06,10
2024-11-15,0.9646855461952503,432274.5461952502,44.8099,48.95,10
2024-11-18,0.9404983281927503,175795.3281927502,18.6917,73.47,10
2024-11-19,0.9338566260227502,595341.6260227502,63.7509,29.61,10
2024-11-20,0.93309579517275,450246.79517275013,48.253,44.11,10
2024-11-21,0.9353557951727501,450246.79517275013,48.1364,44.11,10
