date,current_equity,vectorbt_equity,equity_delta_pct,vectorbt_cash
2024-09-24,1.0,1.0,0.0,1000000.0
2024-09-25,1.002688623025,1.002688623025,0.0,800948.623025
2024-09-26,1.008683623025,1.008683623025,0.0,800948.623025
2024-09-27,1.012753623025,1.012753623025,0.0,800948.623025
2024-09-30,1.033983623025,1.033983623025,0.0,800948.623025
2024-10-08,1.0554574367550003,1.0554574367549998,-4.440892098500626e-14,610775.4367549999
2024-10-09,0.999740946495,0.999740946495,0.0,632945.946495
2024-10-10,0.9875471251300001,0.9875471251300001,0.0,547599.1251300001
2024-10-11,0.966433517235,0.966433517235,0.0,541609.517235
2024-10-14,0.9788837753449999,0.9788837753449999,0.0,672350.775345
2024-10-15,0.970878627345,0.970878627345,0.0,614020.6273449999
2024-10-16,0.976519751345,0.976519751345,0.0,671833.751345
2024-10-17,0.971603883345,0.971603883345,0.0,614063.883345
2024-10-18,0.9937308833449999,0.9937308833449999,0.0,614063.883345
2024-10-21,1.017076246335,1.017076246335,0.0,318785.246335
2024-10-22,1.03461856921,1.03461856921,0.0,275904.56921
2024-10-23,1.01858316851,1.01858316851,0.0,224133.16851
2024-10-24,1.05487084431,1.05487084431,0.0,219661.84430999996
2024-10-25,1.06140788331,1.06140788331,0.0,177713.88330999995
2024-10-28,1.06413492531,1.0641349253099999,-2.220446049250313e-14,218625.92530999996
2024-10-29,1.04731309696,1.04731309696,0.0,83584.09695999994
2024-10-30,1.0393573137899998,1.0393573137899998,0.0,256581.31378999996
2024-10-31,1.02701231379,1.02701231379,0.0,256581.31378999996
2024-11-01,1.014449919225,1.014449919225,0.0,289339.91922499996
2024-11-04,1.028097919225,1.028097919225,0.0,289339.91922499996
2024-11-05,1.0662679192249997,1.0662679192249997,0.0,289339.91922499996
2024-11-06,1.066331919225,1.0663319192249998,-2.220446049250313e-14,289339.91922499996
2024-11-07,1.1082759192249998,1.1082759192249998,0.0,289339.91922499996
2024-11-08,1.1406084242249999,1.1406084242249999,0.0,240320.42422499997
2024-11-11,1.116654824225,1.116654824225,0.0,286868.824225
2024-11-12,1.0843668242250002,1.0843668242250002,0.0,286868.824225
2024-11-13,1.096300824225,1.096300824225,0.0,286868.824225
2024-11-14,1.0656211682599999,1.0656211682599999,0.0,356522.16826
2024-11-15,1.022075619085,1.022075619085,0.0,493479.619085
2024-11-18,1.012499619085,1.012499619085,0.0,493479.619085
2024-11-19,1.021865619085,1.021865619085,0.0,493479.619085
